58:10:001:1	Pen . x .
58:10:002:1	1 Nyd oedd ir hen Ddeddyf ddim meddiant i
58:10:003:1	10 : 0
58:10:004:1	*
58:10:005:1	’lanhau
58:10:006:1	garthu pechot 10 Eithr Christ ei gwnaeth gā aberthu ei gorph vnwaith dros y cwbl . 22 Eiriol ar dderbyn daioni Dyw yn ddiolchgar gan ddyoddefgarwch a’ ffydd ’oystatol .
58:10:001:0	OBlegid y gyfraith rron y may kenthi gyscawd y pethay da a ddaw rrag llaw , ac nid gwir‐ddelw y pethau , ni ðichin vyth deilyngu y devodiaid drwy yr vnrrywaberthay hyny , rrain y byddant o flwyðyn bigilið yn ystig yn y offrymu .
58:10:002:0	Pe na bai felly oni pheidiesent wy ac offrymu , am na biase yn awr ddim cydwybod pechod o rā y rrai a offrymasent , ac a buresid hwynt vnwaith ?
58:10:003:0	Eithr yn yr aberthe rreini y bydd bob blwyddyn adcoffa pechodau .
58:10:004:0	Can ys ni ddichin gwaed teirw a’ geifr dynnu ymaith pechodau .
58:10:005:0	O achos pam ac ef yn dyvod ir byd , y dowaid , Aberth ac offrwm nis mynaist : eythyr corph a baratoisti y myfi .
58:10:006:0	Abertheu poethion ac aberth tros bechawd ni bu gymradwy cenyt .
58:10:007:0	Yno y doydais , Wele fi yn dyvot , ( Y may yn escrifennedig ym pen cyntaf yr llyfr am danaf ) y gwnafi dy wollys di , Ddyw .
58:10:008:0	Wedi yddo ddoydyt vchod , Aberth ac offrwm , a phoeth‐aberthay , ac offrwmay tros pechawd nis mynaist , ac nis derbyniaist , ( rrain a offrymmir wrth y gyfraith )
58:10:009:0	Yno y dywod ef , Wele fi yn dyfod y wneuthyr dy wollys di , Ddyw , may y yn tynnu ymaith yr cynta , ir mwyn gosod y diwaytha .
58:10:010:0	Drwy yr hwn wollys , y ddydym wedi yn santeidio , ys trwy offrymiat Corff Iesu Christ a vvnaed vnwaith .
58:10:011:0	Am hyny pob effeiriad sy yn sefyll gar bron beunydd yn cyflownir‐crevydd , ac yn offrymnu yn fynych yr vn aberthau , rrain ni ddichin fyth dynnu ymaith pechodau :
58:10:012:0	Eithr hwn yma gwedi darfod , yðo vnwaith offrymmu aberth tros pechodau , yn dragwyddol sy yn eistedd ar y llaw ddeau i Ddyw ,
58:10:013:0	Gan aros yr hyn sy yn ol , ’sef hyd oni bo y elynion ef wedi y gwneithur yn fainc yw draed ef .
58:10:014:0	Can ys ac vn offrwm y perffeithiodd ef yn dragwyddol y rrai sy wedi y santeiddio .
58:10:015:0	Testlaythy yn wir a wna yr ysbryd glan y ni hevyd : can ys ar ol iddo ef ddoyded ymlaenllaw ,
58:10:016:0	Hwn yw ’r Testament rrwn a ammodafi ac wynt ar ol y dyddiau hyny , medd yr Arglwydd , Myfi a’ osodaf fynghyfreithiau yn eu calonau , ac ay escrifena yn y eu meddilau .
58:10:017:0	Ac y pechodau ay enwiredd hwynt nid atcoffaa mwy ,
58:10:018:0	Velly lle bo maddeuant y rrain , ni bydd mwy offrwm tros pechawd .
58:10:019:0	Am hyn vrodyr , can fod y ni rydit y fyned y mewn yr cyssegr drwy waed Iesu
58:10:020:0	Rryd y ffordd a gysegrodd ef yni yn newydd ac yn fyw , trwyr llenn sef yw trwy y gnawd ef :
58:10:021:0	A chan vod yni archoffeiriat , yn rreoli ty Ddyw ,
58:10:022:0	Nesawn a chalon gowir a sicerwydd ffydd , wedi puro yn caloneu oddiwrth cydwybod drwg , a golchi ein corff a dwr glan .
58:10:023:0	Cadwn gyffes ein gobaith , yn ddianwadal ( can ys ffyddlon yw ’r hwn a addawodd )
58:10:024:0	A’ chydystyriwn bawb y gilidd , herwydd annoc cariad , a’ gweithredoedd da ,
58:10:025:0	Ac na wrthodwn eyn cydgynulleidfa , megis y may arfer rrai : eithr ymgynghorwn , a hynny yn fwy , o aros ych bod yn gweled y dydd yn nesau .
58:10:026:0	Can ys os yn wyllyscar y pechwn i ar ol derbyn gwybodaeth y gwirionedd , ni does mwy aberth wedi y adel tros bechode ,
58:10:027:0	Eithr horribil ddiscwyl barn , a’ thandrud , yr hwn a vydd y yssu’r gwrthnebwyr .
58:10:028:0	Yr hwn a dorho cyfraith Voyses yn ddidrigaredd tann ddau , neu dri o dystion y gorfydd yddo farw .
58:10:029:0	Pa faint dybygwchi mwy dialedd y bernir hwnw a sather tan draed fab Dyw , ac a farno yn anlan waed y Testament , trwyr hwn y teilyngwyd ef , ac a dremygo Yspryt y gras ?
58:10:030:0	Can ys ni adoynom y neb a ddywedodd , Myfi pieu dialedd : myfi a dal y pwyth , medd yr Arglwyð . A’ thrachefn , Yr Arglwydd a farna eu bobl .
58:10:031:0	Peth ofnus yw cwympo y law Dyw byw .
58:10:032:0	Gelwch bellach ich kof y dyddiau ayth heibiaw yn yr rain , wedi ywch dderbyn goleuni y goddefasoch vrwydr mawr ac adfydau ,
58:10:033:0	Tra ðygid chwi allan weithiau trwy wradwyddeu a gorthrymdereu , y fod yn ddrychioleth , weithiau yn wir tra wnelid chwi yn gymedeithiō ir rrai a fyddynt yn ymdrino sut hwnw .
58:10:034:0	Can ys am fy rrwymay y royðych yn cydolurio a mi , ac a gymerasoch yn llawen yspeilfa ych da , megis rrai a wyðay fod ywch ynoch ychun golud gwell , sy yn y nefoedd , ac yn parhau .
58:10:035:0	Am hynny na fwriwch y ffordd ych hyder sy fawr eu gobrvvy .
58:10:036:0	Can ys rraid ydyw y chwi wrth ymynedd , mal y galloch wedy darffo ywch wneuthyr wollys Dyw , dderbyn yr addewid .
58:10:037:0	O blegid etto ychydigyn bychan bach , ac fo ddaw yr hwn sy yn dyvod , ac ni thrig .
58:10:038:0	Sef y kyfion trwy ffydd y bydd byw , eithr o kilia neb , yr enaid mauvi ni bydd bodlon iddo .
58:10:039:0	Eithr ni dydym ni rrai sy yn cilio y golledigaeth , namyn sy yn credu herwydd cadwadigaeth yr enaid .
