58:3:001:1	Pen . iij .
58:3:002:1	1 Y mae ef yn erchy arnynt vot an uvydd i ’air Christ , 3 Yr hwn ’sy deilyngach na Moysen . 12 Poenedigeth y cyfryw ac a galedant ei caloneu , ac ny chredant , val y caffent ’orphoysfa dragyvythawl .
58:3:001:0	AM hyn , vymrodyr santeidd , cyfranogion or galwedigaeth nefawl , ystyriwch yr Abostol ac archoffeiriad eyn cyffes ni Christ Iesu :
58:3:002:0	Ef fu ffyddlon yr neb ay gosodes ef , megis ac y bu Moyses ynghwbl oi dy ef .
58:3:003:0	Cymynt yn wir rragor ’ogoniant tu hwnt y Voyses a hayddai hwn , ac y may mwy or vrddas ir neb a edyladawdd y ty , nog ir ty y hun .
58:3:004:0	Can ys pob ty a edeilir trwy ryw vn , ar neb a wnaeth pob peth , Duw ydiw .
58:3:005:0	A’ Moses yn wir a fu ffyddlon ynghwbl oi dy ef , megys gwasaethvvr , ir testelauthu y pethau y bydday son am danyn rrac llaw .
58:3:006:0	Eythyr Christ megis mab , ar eu dy y hun , ty yr rwn ydym ni , os nyni a geidw ein hyder a’ gorhoffedd ein gobaith yn gyfan hyd y diwedd .
58:3:007:0	Am hynny megis y dowaid yr yspryd glan , Heddiw o gwrandewch i y lais ef ,
58:3:008:0	Na chaledwch ych calonau , megis yn yr emryson , ar ddull dydd y tentasiwn yn y diffaithvvch .
58:3:009:0	Lle y tentiason ych tadan chwi fi , ym profason , ac a welson fyngweithredoedd ðeugain mlynedd ,
58:3:010:0	Am hynny y sorais wrth genedleth honno , ac a ðoydais , Y mayntw fyth yny myned ar gam yn eu caloneu , ac nid adnabuont fy ffyrth i .
58:3:011:0	Ac velly y tyngais yn fyniglloni , Os caent wy entrio ym esmwythdra vi .
58:3:012:0	Disgwiliwch vymrodyr , rrac bod vn amser yn neb o honoch galon ddrwg , ac anffyddlon , y beri ymadel a Dyw byw .
58:3:013:0	Eithyr cynghorwch bawb y gilidd beunyd , tra elwer Y dyð heddiw , rrac i neb o honoch ymgaledu trwy dwyll pechawd .
58:3:014:0	Can ys cyfrannawg o grist eyn gwnaythbwyt ni , os cadwn ni y dechreuad drwyr hwn eyn cynhelir y fyny , yn gyfan hyd y dewedd .
58:3:015:0	Lle y doydir , Heddiw os gwrandewch i y lais ef , na chaledwch ych caloneu , megis ac yn yr ymryson .
58:3:016:0	Can ys rrai ar ol gwrandaw , y hannogasont ef‐y‐ðigio , ac etto , nid pawb ar a ðoythan or Ayfft trwy Voyses .
58:3:017:0	Wrth pwy y bu ef sorredic ddeugain blynedd ? onid wrth y rrai a bechasai , rrain a gwympasai eu cyrff yn y diffaethvvch ?
58:3:018:0	Wrth pwy y tyngodd na chaent wy entrio yw ’orphoysfa ef ? onid wrth y rrai , nyd uvyddhaent ?
58:3:019:0	Ac ydd ym yn gweled na allent wy entrio herwydd angrrediniaeth .
