26:32:001:1	Féro baa yínííł hasin
26:32:001:0	Naakits'áadah náhááh góne', naakits'áadah nídízííd binih, ła'a jį́į́góó yoołkáałgo Bóhólníihii shich'į' haadzíi'go kóní, 
26:32:002:0	Diné nílíinii, Ííjip dine'é aláahgo binanit'a'í Féro baa yínííł nílį́įgo nichago ábidiní, Ał'ąą dine'é bitahgóó náshdóíyáázh bitsiijį' daditł'ooígíí nahonílingo ádaa nitsísíníkééz, nidi tónteel bii' łóó'tsohígíí nahonílin; nitooh nił ch'íjiisxaal áádóó bii' dítałgo tááchxąą'go ádeinilaa. 
26:32:003:0	Bóhólníihii Diyin God kóní, Dadine'é bits'ą́ą́dę́ę́' dah yinéłígíí bee shitł'óól naneesdizígíí nik'ijį' ahideeshxą́ąłgo hadandooloh. 
26:32:004:0	Áko shiłóó' bee hahaltsósí bee dah nidideeshxéełgo doo naagháhídi t'áá áhoodzaajį' nideeshxał, áádóó tsídii t'áá ałtso naa áłah dooleełgo dandoolghał; nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'dę́ę́' naaldlooshii t'áá ałtso naa áłah dooleełgo nee nídadínóochał. 
26:32:005:0	Nits'íís éí daadziłgóó taideesxas áádóó deíldzisgóó nits'in bee hahodideeshbį́į́ł. 
26:32:006:0	Kéyah áádóó dził naaznilígíí t'áá bił nidił nílínígíí łeeh dadínóotsisgo ádeeshłííł, áko tó nídadinahígóó hadadidííbį́į́ł. 
26:32:007:0	Ninéłtsizgo yádiłhił bich'ą́ą́h ni'deeshbałgo, sǫ' bił chahałheełgo ádeeshłííł; k'os éí jį́honaa'éí bich'ą́ą́h adooldoh; ooljéé' éí doo adiníłdíin da doo. 
26:32:008:0	Wót'ááhdę́ę́' bee da'dinídíinii doo nihik'i da'diiłdííngóó ádeeshłííł, áko nihikéyahgi chahałheełgo ádeeshłííł, ní Bóhólníihii Diyin God. 
26:32:009:0	Kéyah doo hwííní'ínígóó yisnááh nílį́įgo ał'ąą dine'é bitahgóó ándeeshdįįłgo dadine'é t'óó ahayóí dabijéí bich'į' nidahwiishnáa doo. 
26:32:010:0	Dabinááł shidiltłish bee naaná'eeshxałgo nik'eh hodeesdlį́į́' bijį́ t'áá ádzíłtso t'ááłá'í jinítínígo t'áadoo bita' hoo'aahí hatah dahoditłid doo, índa dadine'é t'óó ahayóí nik'ee t'óó bił adahayóigo áádóó aláahgo binanit'a'í danilíinii niniinaa t'óó báhádzidgo nídadooldzíí ł. 
26:32:011:0	Háálá Bóhólníihii Diyin God kóní, Bábilan dine'é aláahgo binanit'a'í bidiltłish yee naatįįh doobah. 
26:32:012:0	Siláo ayóó ádabóodziilii dabidiltłish bee nidiné ninádeel'áii nidadootsił; éí t'áá ałtso ał'ąą dine'é dabitahgóó éí t'áá íiyisí t'óó báádahadzid. Ííjip dine'é bee ádaa hoji'niihii ádingo ádeidoolííł, diné deíl'áii ałtso ábididooldįįł. 
26:32:013:0	Ákwe'é tábąąhgóó da'alį́į́' nidaakaii t'áá ałtso nideestsił, áko diné dajílíinii doo ła' biih náázhdoodáałgo hakee' bee tanáázhdoołchįįł da, índa da'alį́į́' doo ła' yiih náádookahgo bikee' yee tanáádeidoołchįįł da. 
26:32:014:0	Áko índa tó niłtólígo áńdadeeshdlííł; tooh éí ak'ah nílį́ nahalingo ádadeeshłííł, ní Bóhólníihii Diyin God. 
