26:44:001:1	Kin bii' sohodizin góne' binda'anishii
26:44:001:0	Kin bii' sohodizin si'ą́ą́dóó ha'a'aahjigo aláahdi yah a'atiinjį' shił niní'áázh; éí dá'deetą́ą́ lá. 
26:44:002:0	Áko Bóhólníihii áshidííniid, Díí dáń'dítį́hígíí éí t'áá dá'deetą́ą dooleeł, índa ts'ídá doo ąą ádoolníił da; diné ła'da doo choizhdooł'įįł da, háálá shí Ízrel biDiyin God Bóhólníihii ákóne' ch'íhoníle'; éí bąą náásgóó t'áá dá'deetą́ą doo. 
26:44:003:0	Éí naat'áanii hoo'áałii ákǫ́ǫ́ nídídáahgo áadi shinááł ná'ádį́įh doo; naat'áanii nilíinii yah a'atiin góne' yah adoogááł áádóó nihééhédáahgo éí chaha'oh haz'ání góne' ch'ééhédáah doo. 
26:44:004:0	Áádóó náhookǫsdę́ę'go yah a'atiin góne' shił yah íí'áázh, áko kin bii' sohodizin si'ánígíí bidááhdóogo shił niní'áázh; déé'į́į́' nít'éé', shoo, Bóhólníihii bee bits'ádi'nílíidii kin bii' sohodizin t'áá át'é bii' hadeezbingo yiiłtsą́ áádóó ni'jį' níshjool. 
26:44:005:0	Áko índa Bóhólníihii áshíłní, Diné nílíinii, kin bii' sohodizin si'ą́ągi bik'ehgo hoogáałii índa bibee haz'áanii t'áá ałtso bee nił hodeeshnihígíí éí t'áá át'é yíní'ínígíí índa dinits'a'ígíí hanisííd; kin bii' sohodizin góne' yah anídaakah dooleełii índa áádę́ę́' ch'éédaakah dooleełii ts'ídá hazhó'ó hadíísił. 
26:44:006:0	Ízrel dine'é naastee'ii kóbididííniił, Bóhólníihii Diyin God kóní, Doo haldinígi ádaoht'ínígíí k'adí. 
26:44:007:0	Jó, doo Jew dine'é danilíinii bijéí doo daalzį́į'ii áádóó doo bąąh nídahineeshgizhii shikin bii' sohodizin góne' yah adahishoo'eezhgo shich'iyą' éí ak'ah áádóó dił náádahołniihgo t'óó baa'ih ádaohłaa, áádóó doo haldinígi ádaoht'ínígíí t'áá ałtso biniinaa nihił aha'dinisht'áanii dayiizti'. 
26:44:008:0	Índa dadólzinii doo shá baa ádahołyą́ą da nít'éé', nidi doo Jew dine'é danilíinii ákwii nidasoonilgo shikin bii' sohodizin yaa ádahalyą́ą́ nít'éé'. 
26:44:009:0	Áko Bóhólníihii Diyin God kóní, Dé'éyóní éí Ízrel dine'é bitahgi kééhojit'íinii hajéí doo daalzį́į'ii índa doo hąąh náhineeshgizhii shikin bii' sohodizin góne' ts'ídá doo yah azhdoogáał da. 
26:44:010:0	Ízrel dine'é shits'áhaaskai yę́ędą́ą́' Líívai dine'é nízaadgóó shits'ákaígíí éí ha'eda'alyaii bich'į' nidahojiłáago doo ákwii ádajíít'įįdii biniinaa atídaho'dil'į́į doo. 
