26:43:001:1	Bóhólníihii bits'ádi'nílíidii éí kin bii' sohodizin bii' hadéébįįd
26:43:001:0	Áádóó bik'ijį' ha'a'aahjigo yah a'atiinjį' shił niní'áázh, 
26:43:002:0	áádóó ákwii Ízrel dine' é biDiyin God bee bits'ádi'nílíidii ha'a'aahdę́ę'go áajį' yildohgo yiiłtsą́; tó ayóó ánéelą́ą́' dzoołhał nahalingo Diyin God biinéé' diists'ą́ą́' áádóó bee bits'ádi'nílíidii nahasdzáán bikáá'góó bee ni'deezlííd. 
26:43:003:0	Díí shił ádzaaígíí Jerúsalem atíidoolííł biniyé Diyin God honíle' yę́ędą́ą́' nahalin índa Kííbar tooh nílínígíí bibąąhdi shił ádzaa yę́ę nahalin áádóó ni'jį' níshjool. 
26:43:004:0	Bóhólníihii bits'ádi'nílídígíí ha'a'aahdę́ę'go yah a'atiindę́ę'go kin bii' sohodizin góne' yah aaldoh. 
26:43:005:0	Áko Bóhólníihii biNíłch'i Diyinii náshidiiłtį́įgo wóne'di haz'ání góne' yah ashííłtį́ áádóó, shoo, ákwii Bóhólníihii bee bits'ádi'nílíidii kin bii' sohodizin bii' hadéébįįd. 
26:43:006:0	Ákwii diné shíighahdóó sizį́įgo kin bii' sohodizin bii'dę́ę́' ła' shich'į' hadzoodzíi'go diséts'ą́ą́'. 
26:43:007:0	Áko áshíłní, Diné nílíinii, kwe'é shibikáá'dóó nahat'áii si'ą́ą doo áádóó ákwii dínís'eez doo. Ákwii Ízrel dine'é hool'áágóó bitah honishłǫ́ǫ doo, índa Ízrel dine'é áádóó aláahgo honanit'a'í nídaadleełii shízhi' doo ílį́į́góó doo ánáádazhdoodlíił da biniyé hwe'eda'alyaii doo ánáádazhdoodlíił da, índa aláahgo naat'áanii danilį́į́ nít'ée'ii bee bééhániihígíí dah daask'id bighą́ą'di ádayiilaaígi doo nináádazhdoo'nił da. 
26:43:008:0	Shikin bii' sohodizin bich'é' étiin siláii áádóó bá íí'áii bíighahdóó aláahgo naat'áanii danilíinii bighandóó ch'é'étiin siláii índa bá íí'áii ádayiilaa, áko t'áá hazhó'ó ítł'inígíí t'éiyá nihita'gi naní'á; doo daaldinígi ádáát'įįdígíí bee shízhi' diyinii t'áá íiyisí doo ílį́į́góó ádayiilaa, áko sháhóóchįįdgo áhoséłdįįd. 
26:43:002:1	Kin bii' sohodizingi áádóó bikáá' náá'iiniihgi bik'eh hoogáałii
26:43:009:0	K'ad éí doo nááda'jiłjił da doo, índa aláahgo naat'áanii danilį́į́ nít'ée'ii bee bééhániihígíí nahjį' kódazhdoolííł; ákódadziidzaago hool'áágóó hatahgi honishłǫ́ǫ doo. 
26:43:010:0	Diné nílíinii, Ízrel dine'é doo ákwii ádáát'įįdii yaa yádadínóozįįł biniyé kin bii' sohodizin bich'į' ííshją́ą́ ánílééh áádóó bik'ehgo ályaaígíí yídadí'nóoł'ąął. 
26:43:011:0	Áko doo ákwii ádáát'įįdii t'áá át'é yaa yádaniizį́į'go kin bii' sohodizin ályaaígíí éí hazhó'ó bee bił hodíílnih: bik'ehgo ályaaígíí áádóó yah ada'iiztiinígíí índa ch'ída'iiztiinígíí ts'ídá hazhó'ó bee bił hodíílnih; biyi'di áhoot'éhígíí áádóó binaagóó áhoot'éhígíí éí hazhó'ó hasht'e'nidaas'nilígíí áádóó bik'ehgo hoogáałii áádóó bee haz'áanii t'áá ałtso bee bił hodíílnih; díí t'áá ałtso binááł bee bá ak'e'dííłchííł, áko hazhó'ó nidaas'nilígíí yik'ehgo áda'ał'į́į dooleełii t'áá ałtso yik'eh dahół'į́į doo. 
26:43:012:0	Díí kin bii' sohodizin bibee haz'áanii át'é. Dziłghą́ą'gi kin bii' sohodizin si'ánígíí éí t'áá bił áádóó bik'i dinaago haz'ánígíí t'áá sahdii ats'ádeet'ą́, áádóó t'áá íiyisí hodiyingo haz'ą́ą doo. Díí lą́ą kin bii' sohodizin bibee haz'áanii át'é, jó'akon. 
26:43:013:0	Kin bii' sohodizin si'ą́ągi kúbit bee í'neel'ąąhí bik'ehgo bída'néél'ąądígi át'éego t'áá ákót'éego kwe'é ałdó' bikáá' náá'iiniihí bí'néél'ąąd; kúbit éí ach'oozhlaa'dóó yílá aníi'giígíí bílátahjį' áádóó dį́į́' bik'eh áníłtsogo óolyé. Bikáá' náá'iiniihí bá si'ánígíí k'asdą́ą́' naakidi ké silá ánízah doo áádóó k'asídą́ą́' naakidi ké silá áníłtéel doo áádóó éí bibąąhgóó t'ááłáhídi yílá deests'ǫ́ǫdgo ahéé'ní'áa doo. 
