26:18:001:1	Ii' sizíinii ádił ni'iisíihii dadootsaał
26:18:001:0	Áádóó Bóhólníihii shich'į' hanáánáádzíi'go ání, 
26:18:002:0	Azhé'é danilíinii ch'il na'atł'o'ii dadík'ǫ́zhígíí dayooldéél índa áłchíní biwoo' deidínéestseed, diníigo, díí saad nawólta' Ízrel dine'é bikéyah bee háánídzihígíí, ha'át'íí ááhdiní? 
26:18:003:0	Bóhólníihii Diyin God kóní, Ts'ídá t'áá aaníí hinishná; ákót'éego Ízrel dine'é bitahgi díí saad nawólta' ts'ídá t'áá aaníí doo bee hanáádíídzih da. 
26:18:004:0	Shoo, ii' naazíinii t'áá ałtso shí; azhé'é bii' sizíinii shíí' át'éego aye' bii' sizíinii ałdó' shí; ii' sizíinii ádił ni'iisíihii dadootsaał. 
26:18:005:0	Nidi diné t'áá ákogi át'éii éí bee haz'áanii yik'ehgo ááníiłgo áádóó t'áá ákogi át'éii yik'ehgo hináago, 
26:18:006:0	áádóó dziłdi hodílzingo nahaz'ánígi t'ah doo ayą́ą́góó áádóó Ízrel dine'é bi'eda'alyaii yich'į' nidahałáhígíí doo yich'į' haaghaałgóó áádóó yił kééhat'íinii be'asdzą́ą́ doo yiłchxǫǫhgóó áádóó asdzání ąądii nilíinii doo yit'áahjį' dighááhgóó, 
26:18:007:0	áádóó diné t'áá háiida doo yide áhósingóó, nidi diné bąąh niiníláii t'áádóo nídí t'óó yeidii'aahgo áádóó diné doo ła' yigha'ídláágóó, nidi dichin danilíinii ya'ałtso'go áádóó t'áá łichí'ígo nidaakaii éé' yitainiihii kót'éego haidósingo, 
26:18:008:0	áádóó ínáóltą'í, doodaii' t'áá aláahgo doo yókeedgóó, áádóó doo ákwii át'éii yits'ąą ná'ádiiltéégóó, áádóó doo haada yit'éii yee ainít'į́įgo, áádóó diné doo ał'ohgo yaa nitsíkeesgóó kót'éego doo haada yit'éii t'áá aaníígóó ááníił dooleeł nízingo, 
26:18:009:0	áádóó bee nihoyí'áanii yik'ehgo níyáago índa shibik'ehgo hoogáałii ye'eł'į́įgo éí t'áá ákogi ájít'é áádóó éí t'áá aaníí jiináa dooleeł, ní Bóhólníihii Diyin God. 
26:18:010:0	Áko biye' bá yizhchíinii éí diné yigha'ii'níiłii, doodaii' diné neiłtseedii nilį́įgo, éí doodaii' díí kódaat'éii bik'is yee atííł'íinii nilį́įgo, 
