26:12:001:1	Iizííkiyel éí bidine'é yisnááh daazlį́į́'góó bidi'nooskaadígíí yaa halne'
26:12:001:0	Áádóó Bóhólníihii shich'į' hanáánáádzíi'go kóní, 
26:12:002:0	Diné nílíinii, dine'é nidaalteehii bitahgi kééhót'į́; éí bináá' dahólǫ́ǫ nidi, doo yee da'oo'į́į da; bijaa' dahólǫ́ǫ nidi, doo yee ádahodiilts'a' da, háálá nidaalteehii danilį́. 
26:12:003:0	Éí bąą diné nílíinii, yisnááh biyéél hasht'enilééh, áko jį́įgo yisnááh nílį́į dooleełgóó binááł díínááł; t'áá dabinááł jį́įgo dah didíínéełgo náánáłahdi nidíínééł; azhą́ nidaalteeh nidi, ákwíindzaago t'áá daats'í yaa nitsídadookos. 
26:12:004:0	T'áá dabinááł jį́įgo héłígíí be'estł'ǫ́ǫgo yisnááh nahonílingo dííłjił; diné nidabi'diilnéehgo ahinilkaadígíí nahalingo t'áá dabinááł i'íí'ą́ągo dah adidííłjił. 
26:12:005:0	Bis ahéénátł'ingo ní'áhígíí t'áá dabinááł bighá'níníiłgo niyéél bił bighá'níłjiid. 
26:12:006:0	T'óó nihoojį́'ígo t'áá dabinááł niwostis dah siyį́įgo yíłjił doo; ni'góó doo hoot'į́į da doo biniyé ninii' bik'ídííłtih, háálá Ízrel dine'é dajílíinii hach'į' bee ééhózinii ániishłaa. 
26:12:007:0	Bee shich'į' ha'oodzíi'ii bi'iishłaa: shiyéél dooleełgo dah dideeshjiłígíí jį́įgo ch'éhéjaa' áádóó i'íí'ą́ągo bis ahéénátł'ingo ní'áhígíí t'áá shíla' bee bighá'nínil; t'óó nihoojį́'ígo hanááł hééł shiwostis dah siyį́įgo níłjid. 
26:12:008:0	Áádóó hoos'įįdgo Bóhólníihii kóshidííniid, 
26:12:009:0	Diné nílíinii, Ízrel dine'é, éí nidaalteeh danilíinii, Ha'át'íísh baa naniná? Dandííniid ya'? 
26:12:010:0	Kóbididííniił, Bóhólníihii Diyin God kóní, Díí baa niséyáhígíí Jerúsalemgi naat'áanii índa ákwii Ízrel dine'é kéédahat'ínígíí t'áá ałtso bídéét'i'go ááhyiłní. 
26:12:011:0	Nihich'į' bee ééhózinii nishłį́, bidiní; t'áá baa niséyáhígi át'éego ákóhodi'doolnííł; hooghan bits'ádahizhdoonéełgo náánáłahgóó yisnááh dazhdooleeł. 
26:12:012:0	Hatahdóó naat'áanii nilíinii biyéél biwostis dah siyį́įgo t'óó nihoojį́'ígo dah didoonééł; bis ahéénátł'ingo ní'áhígíí yighá'dooniłgo biyéél yigháidoołjił; ni'góó doo hoot'į́į da doo biniyé binii' yik'ídoołtih. 
26:12:013:0	Shibee aya'ayiiltsósí há nideeshkałgo biishdoogááł, áko Kaldíya dine'é bikéyahgóó Bábilan kin haal'áadi hodeesłóós; azhą́ áadi dazdootsaał nidi, kéyah t'áadoo yizdoołtséeł da. 
26:12:014:0	Hasiláo dah deínéehii t'áá ałtso índa háká anájahii t'áá ałtso da'níłts'ą́ą́'góó tahodínéeshkałgo diltłish hakéé' tádíshtįįh doo. 
26:12:015:0	Ał'ąą dine'é bitahgóó áádóó kéyah naaznilgóó adahonííłkaadgo Bóhólníihii nishłį́įgo hoł béédahodoozįįł. 
26:12:016:0	Nidi diné éí t'áá díkwíí yilt'éego ał'ąą dine'é bitahgóó adadziiskaígíí doo haldinígi ádajíít'įįdígíí baa nidahojilne' doo biniyé diltłish índa dichin áádóó naałniih bits'ąą ááhodeesįįł, áko Bóhólníihii nishłį́įgo hoł béédahodoozįįł. 
26:12:017:0	Áádóó ałdó' Bóhólníihii kóníigo náádiséts'ą́ą́', 
26:12:018:0	Diné nílíinii, nitah hoditłidgo nibááh niyą́ áádóó nitah hoditsxizgo nił yée'go nito' nidlą́; 
26:12:019:0	kéyah yii' kéédahat'ínígíí ábidiní, Ízrel dine'é bikéyahgi Jerúsalem kin haal'áagi kéédahat'ínígíí, Bóhólníihii Diyin God haa yáłti'go kóní, Ákwe'é diné t'áá ałtso t'áá na'níle'dii kéédahat'į́įgo biniinaa éí kéyah bikáá'góó dahólóonii ts'ídá ałtso baa nahodi'dooldahgo doo yidoolaałí da; éí bąą hoł daayée'go habááh dazhdooyį́į́ł índa t'óó hoł adahayóigo hato' dazhdoodlį́į́ł. 
26:12:020:0	Kin hadaas'áago kéédahojit'ínígóó ałtso dahodidoołkǫǫł, áko t'áá ałtsogóó doo yidoolaałí da; áadi índa Bóhólníihii nishłį́įgo nihił béédahodoozįįł. 
26:12:021:0	Áádóó Bóhólníihii kóshíłníigo náádiséts'ą́ą́', 
26:12:022:0	Diné nílíinii, Ízrel dine'é bitahgóó kóhá'níigo, Lą'í yiską́ áádóó ił áhát'ínígíí t'áá ałtso t'áadoo nináhádleehí da, ha'nínígíishą', ha'át'íí saad shį́į́ át'é? 
26:12:023:0	Éí bąą kódíní, Bóhólníihii Diyin God kóní, Díí saad bik'eh náhodiit'éehgo bee yádajiłti'ígíí hats'ą́ą́' nahjį' kódeeshłííł, áko Ízrel dine'é bitahgóó éí saad doo bik'eh náhodiit'éehii át'éego bee yádajiłti' da doo, nidi kóbidiní, Ił ádahoodzaaígíí t'áá ałtso bidahodoolníłígíí k'adę́ę beíłkaah. 
26:12:024:0	Ízrel dine'é bitahgóó t'áadoo biniyéhígóó ił áhát'ínígíí índa t'áá ádzaagóó ił ch'ídahwii'aahgo yee yádaałti'ii doo t'áá náás dayíłt'éeh da doo. 
26:12:025:0	Háálá shí Bóhólníihii nishłíinii saad bee hadeesdzihígíí bohodoolnííł; doo náás bił nááhodoolzhish da, nidi, nidaalteeh dine'é danohłíinii, nihídayéełkaah góne' saad bee hadeesdzihgo bohodoolnííł, ní Bóhólníihii Diyin God. 
26:12:026:0	Náá'áłdó' Bóhólníihii kóshíłníigo náádiséts'ą́ą́', 
26:12:027:0	Diné nílíinii, shoo, Ízrel dine'é danilínígíí kódaaní, Doo hah beidoołkáłígíí hoł át'į́įgo joo'į́; doo nináznáhahídi bił dahwéelzhíish dooleełígíí baa hojilne'. 
26:12:028:0	Éí bąą kóbidiní, Bóhólníihii Diyin God kóní, Saad bee hahásdzí'ígíí doo náás bił nááhodoolzhish da, nidi saad bee hadeesdzihígíí éí ts'ídá bohodoolnííł, ní Bóhólníihii Diyin God.
