26:13:001:1	T'óó ádahodil'į́įgo áhodooníiłii yaa dahalne'ii bá nidahwiist'ą́
26:13:001:0	Áádóó Bóhólníihii kóníigo náádiséts'ą́ą́', 
26:13:002:0	Diné nílíinii, Ízrel dine'é bitahgóó náás áhodoonííł yaa dahalne'ii t'áá bí ádeinízingo dahalne'ígíí bik'ijį' nílį́įgo kót'éego bich'į' handziih, Bóhólníihii bizaad dadoohts'į́į́h; 
26:13:003:0	Bóhólníihii Diyin God kóní, Nihí doo dahonohsą́ą́góó dahołne'ígíí, t'áadoo nihił ádahoodzaagóó t'áá nihí nihíni' danilíinii baa dahołne'ígíí doo hojooba' ájíníi da! 
26:13:004:0	Ízrel dine'é nohłíinii, nihitahdóó dahalne'ii éí honoojíigi mą'ii dootł'izhí nidaajeehígíí nidahalin. 
26:13:005:0	Tsé ahénátł'ingo ní'áhígíí nidahaasdáázgóó doo dadohkáah da, índa Bóhólníihii beiníłką́ądi anaa' hazlį́į'go Ízrel dine'é yídaníłdzil doo biniyé ahéé'ítł'inígíí t'áadoo nídasoohtł'in da. 
26:13:006:0	Bóhólníihii doo dabííł'aadgóó t'áadoo biniyéhígóó bił ádahoodzaago índa t'áá bóhólníhígíí nayídanilyęęshgo yaa dahalne'go, Bóhólníihii ání, daaní, ákondi yaa dahalne'ígíí bohodoolnííł danízin. 
26:13:007:0	T'áadoo biniyéhígóó nihił ádahoodzaa índa t'áá bóhólníhígíí nabídanoołyęęzh. Azhą́ t'áadoo bee haasdzíi' da nidi, ádadohní, Bóhólníihii kóní. 
26:13:008:0	Éí bąą Bóhólníihii Diyin God kóní, T'áadoo biniyéhígóó nihił ádaadzaii baa nidahosoołne' índa doo t'áá aaníinii nabídanoołyęęzhgo daołtsą́; éí bąą nihik'ijį' nishłį́, jó'akon, ní Bóhólníihii Diyin God. 
26:13:009:0	Nihá dahalne'ii t'áadoo biniyéhígóó ił áhát'į́ dayiiłtse'ii áádóó t'óó nayídaneeshyęęzhii yaa dahalne'ii éí shidine'é doo bitah dahojílǫ́ǫ da doo, áádóó Ízrel dine'é bitahgi doo házhi' atah daasdzoh da doo, índa Ízrel dine'é bikéyah doo biih dazhdookah da, áko Bóhólníihii Diyin God nishłį́įgo nihił béédahodoozįįł. 
26:13:010:0	Háálá doo k'é náhásdlį́į́'góó, K'é náhásdlį́į́', daaníigo shidine'é ts'ídá t'áá ádzaagóó adeizh'eezh áádóó shidine'é tsé yítł'ingo ní'áhígíí ádayiił'įįhgo yits'ą́ą́' bikáá'dę́ę́' łeezh łigaií yee deidlish; 
