26:16:001:1	Jerúsalem doo ba'ahódlíii
26:16:001:0	Náá'áłdó' Bóhólníihii kóshíłníigo náádiséts'ą́ą́', 
26:16:002:0	Diné nílíinii, Jerúsalemgi kéédahat'ínígíí doo daaldinígi ádajit'ínígíí hoł béédahózingo áhólééh, 
26:16:003:0	áko ábidiní, Jerúsalemgi kéédahoht'ínígíí, Bóhólníihii Diyin God kónihiłní, Kéínan dine'é bikéyahgi nidanihi'diizhchį́įgo áádóó haodéél; nihizhé'é éí Ámor dine'é nilį́į́ nít'éé'; nihimá éí Het dine'é nilį́į́ nít'éé'. 
26:16:004:0	Ni'dizhchį́ yę́ędą́ą́' éí bijį́ nits'éé' t'áadoo k'égizh da, índa t'áadoo tááni'disgiz da; doo nidi áshįįh nąąh ályaago na'at'ą́hí t'áadoo nił neeshjoł da. 
26:16:005:0	Naa a'ááh hwiindzingo índa nik'édí nilį́įgo díí ła' ná yaa nidoogaałgo t'áadoo ninééł'į́į' da, háálá ni'dizhchį́ yę́ędą́ą́' éí bijį́į́dóó t'óó naa'ihgo nąąh tsíhodeeskéezgo biniinaa t'áá ádzaajį' andi'yoolghan. 
26:16:006:0	Níighah dah diiyá yę́ędą́ą́' nidił t'ah bii' dí'is yę́ędą́ą́', Hiníná, nidííniid; t'áá aaníí, nidił t'ah bii' dí'is yę́ędą́ą́', Hiníná, nidííniid. 
26:16:007:0	Ch'il hanoot'ánígíigi át'éego náás níít'į́įłgo ániishłaa, áko dínínísą́ągo níneez sínílį́į́' áádóó asdzání ániid naagháago baa dzólníinii sínílį́į́'; nibe' hadzíí'á silį́į́' índa nitsii' nineez silį́į́', nidi t'áá łiníchí'í áádóó t'áadoo nik'ésti'ígóó nanináá nít'éé'. 
26:16:008:0	Níighahgóó náánááshdáałgo náániiłtsą́ą́ nít'éé' ayóó áni'dó'níijį' aníínísą́ą́ lágo niiłtsą́, áko t'áá łiníchí'ígo nanináago shi'éé' nik'íséłti'. T'áá aaníí, ádee haasdzíi'go ahadi'niit'ą́, áko shíí' sínílį́į́', ní Bóhólníihii Diyin God. 
26:16:009:0	Áádóó tó bee táániségiz; t'áá aaníí, nidił ts'ídá ałtso nąąh táásígizgo ak'ah nik'i yanáásdzi'go bee nisíłtłah. 
26:16:010:0	Náá'áłdó' na'at'ą́hí naashch'ąą'go bik'i tá'doolkadii biih nííłtį́įgo akał nitł'izii ké ályaago biih nidííł'eez áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii bee áká niséłzaaz índa na'at'ą́hí da'dijihígíí nik'íséłti'. 
26:16:011:0	Áádóó dootł'izhii nąąh dah dasínilgo bee nanishích'ąą'; látsíní nílátsíín t'áá ałch'ijí bąąh sinilgo ániishłaa índa béésh da'ahólzha'í yoo' nizéénázt'i'go ániishłaa. 
26:16:012:0	Yoostsah éí níchį́į́h bąąh niní'ą́ áádóó nijaatł'óól ná áshłaa índa naat'á ch'ah ayóó ánóolninii nich'ahgo ániishłaa. 
26:16:013:0	Ákót'éego óola índa béésh łigaii bee nishíních'ąą'go áni'diilyaa nít' éé'; áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii áádóó na'at'ą́hí da'dijihígíí índa na'at'ą́hí naashch'ąą'go bik'i tá'doolkadii ni'éé' nít'éé'; ak'áán dibahí áádóó tsés'ná bitł'izh índa ak'ah t'áá bił niyą́ą́ nít'éé', t'áá íiyisí ayóó áníínílnin nít'éé' índa t'áá náás iiyííłdiłgo asdzą́ą́ naat'ááh nílį́įjį' nííníyáá nít'éé'. 
26:16:014:0	Bee nízhóníii bee nanishích'ąą'go bee ayóó áníínílninígíí ał'ąą dine'é bitahgóó bee néého'dooszįįd nít'éé', ní Bóhólníihii Diyin God. 
26:16:015:0	Nidi ayóó áníínílninígíí baa dziisínílíi'go áádóó t'áá íiyisí néého'dílzinígíí binahjį' ałjiłnii sínílį́į́'; níighahgóó dahidikáahii t'ááłá'í nítínígo bich'į' ne'ajiłgo bíí' dasínílį́į́'. 
26:16:016:0	Ni'éé' ła' nídininilgo dah daask'id bighą́ą'di ádeinilaaígi bee dahózhóní dooleeł biniyé bee nidashíních'ąą'go ákwe'é ałjiłnii sínílį́į́'; ts'ídá doo ákóhodooníił da nít'éé' áádóó kodóó doo ákónááhodoo'níił da. 
26:16:017:0	Shi'óola áádóó shibéésh łigaii bee hadinít'ée doo biniyé naa diní'áanii éí t'áá ni ádá dinéshchíín ádeinilaago bich'į' íłjił nít'éé'; 
26:16:018:0	ni'éé' nidaashch'ąą'go bik'i táda'doolkadii nídininilgo bik'ídasíníłti' áádóó she'ak'ah índa shitsin bijeeh dilidgo łikání halchinii bich'į' níínínil. 
26:16:019:0	Shich'iyą', éí ak'áán áádóó áliv bik'ah índa tsés'ná bitł'izh éí naa hidish'aahgo na'iistsóodii łikání halchin biniyé bidááhdóó nidasíníką́; ts'ídá ákwíindzaa, ní Bóhólníihii Diyin God. 
26:16:020:0	Náá'áłdó' niyáázhké índa nich'é'éké shá nihíníłchíinii éí dadoodił biniyé eda'alyaii bich'į' náádahííníłnii'. Ałjiłnii nílínígíísh t' įįhdígo át'éego baa nitsíníkees? 
26:16:021:0	Eda'alyaii bich'į' kǫ' bii'góó ch'éhékáahgo íinilaaígíí bee kót'éego lą́ą sha'áłchíní nisíníłtseedgo ninádííní'ą́. 
26:16:022:0	Áádóó bee doo ni'díldinii índa íłjiłii t'áá ałtso baa nanináago níyoołkááłdą́ą́' ániid nanináago ni'éé' ádingo t'áá łiníchí'ígo nidił t'ah bii' dí'is yę́ę doo béénílniih da. 
26:16:023:0	Bóhólníihii Diyin God ání, Doo hojooba' ájíníi da, doo hojooba' ájíníi da! Háálá t'áá íiyisí doo yá'áshónígi íínít'įįdii ałtso bibahodooshzhiizhdóó bik'ijį' 
26:16:024:0	hodílzingo nahaz'ánígíí ádá íinilaa índa kintaa da'nítiingóó t'áá ałtso wódahgo nahaz'ánígíí ádá íinilaa. 
