48:2:001:1	Paul ąįįts'ą' Ch'izhii Tr'ihił'e' Nąįį
48:2:001:0	Ąįįts'ą' 14 daatin (years) gwiindhat ąįįtł'ęę Barnabas, Jerusalem gwats'ą' adahaa neehoolchįį, Titus chan adahaa tr'ihiłchįį. 
48:2:002:0	Vit'eegwijyąhchy'aa izhit gwats'ą' hihshyaa eenjit shats'ą' gwizhrįh nigwiin'ąįį geh'an. Zhat noiizhii dąį' kįh dilk'ii nąįį zhrįh haa iidi', Israel gwich'in nilii kwaa nąįį ts'ą' Gwandak Nizįį eech'oaałtan eenjit gavaa gwaldak. Juk jidii eech'oaałtan akwat yeenii jidii eech'oaałchya' ąįį zhyaa gaatr'agoonjii shrǫ' nihthan geh'an. 
48:2:003:0	Yaagha' Titus shaa gwizhrįh kagwił'ąįį. Greek nilii (Israel gwich'in nilii kwaa) gaa vadhah gihłeerahaht'al eenjit kįh dilk'ii nąįį jyaa giiyahnyąą kwaa. 
48:2:004:0	Dinjii lat nąįį gwik'injiighit adagaa'įį ts'ą' gooteegiinjil ąįį nąįį t'ee vadhah gihłeerahoht'ii giiyuunyąą. Jii dinjii nąįį gweentak hee diiteegiinjil, ąįįt'ee nats'ąą Jesus Christ vaa gwinzii gwitr'it gwirehee'aa gaagoondaii giindhan t'igii'in, Moses va-law k'eegwarahahthat diigohtsyaa diinoonyąą. 
48:2:005:0	Gaa gook'eegwiriłthat kwaa, Gwandak Nizįį ąįį khit ts'ą' łi'didlii heelyaa eenjit ąįįts'ą' nakhweenjit vik'ęęroohtį' gwiindhan. 
48:2:006:0	Gaa zhit juu kįh dilk'ii k'it t'inchy'aa nąįį jidii giinli' ąįį gwihchyaa kwaa geh'an jii jyaa dihnyąą, Vit'eegwijyąhchy'aa nats'ąą diiyiichy'a' k'iighai' diinąąh'in kwaa-Ąįį kįh dilk'i' nąįį k'eegwiichy'aa ginjik k'eejit eenjit jyaa shagaiinyą' kwaa. 
48:2:007:0	Vit'eegwijyąhchy'aa ąįį Israel gwich'in nilii kwaa nąįį ts'ą' Gwandak Nizįį eech'oaałtan eenjit gwitr'it shintł'eegwigwin'ąįį izhit googwąąh'in, Peter chan izhit gwik'it Jews nąįį ts'ą' Gwandak Nizįį gǫąąhtan eenjit gwitr'it yintł'eegwiin'ąįį gwik'it. 
48:2:008:0	Vit'eegwijyąhchy'aa vat'aii zhit Israel Gwich'in nilii kwaa nąįį eenjit apostle ihłii. Peter chan Jews nąįį eenjit Tr'ihił'e' (apostle) nilii gwik'it. 
48:2:009:0	James, Peter chan ts'ą' John nąįį haa kįh ginlii Vit'eegwijyąhchy'aa jii gwitr'it gwihil'ee shintł'eegwiin'ąįį gwik'igaanjik dąį' shįį Barnabas haa diinanli' goonjik. Nihjyaa tr'aadlit ts'ą' Israel gwich'in nilii kwaa nąįį tee gwitr'it t'agwarahah'ya', geedan chan Jews nąįį tee, izhit geenjit nihłanli' tr'oonjik. 
48:2:002:1	Paul ąįį Peter Gwiizųų Gwitr'it Tr'agwah'ya' Yahnyąą
48:2:010:0	Jerusalem zhit juu haa gwitr'it t'agoogwah'in tee gwik'injigwiighit neeshraahchy'aa nąįį ts'aroonyą' diigoonyaa, izhit t'ee łyaa khit jyaa dasho'ya' yiihthan. 
48:2:011:0	Peter, Antioch kwaiik'it gwachoo k'idik dąį' dee'in ąįį gwiizųų t'ii'in eenjit gwizhrįh naałchįį. 
48:2:012:0	James, Israel Jesus k'injiighit dinjii lat nąįį zhat gwats'ą' hił'e' k'eegiidal dąį'. Gwats'ą' dąį' Peter ąįį Israel gwich'in nilii kwaa nąįį tee ch'a'aa. Gaa ąįį dinjii nąįį k'eegiidal ąįįtł'ęę goovaa ch'a'aa kwaa dhidlit. Israel gwich'in nilii kwaa nąįį Jesus gwik'injigwiighit goodhah gihłeerohoht'ii giindhan nąįį aanjat geh'an. 
48:2:013:0	Ch'izhii Jews gwik'injijii nąįį t'aih gii'įį kwaa ts'ą' gąąnjat k'it t'iginchy'aa, Peter chan goovaat'ii'in, Barnabas gaa jyaa dii'in ts'ą' teegehiłchįį. 
48:2:003:1	Jews chan ts'ą' Israel Gwich'in Nilii Kwaa Nąįį Gwik'iinjigwiighit Haa Neeheezhii.
