59:2:001:1	Pen ij .
59:2:002:1	1 Yma i ðeirch na bo ystyriaeth persō dyn , 5 Na rragori y cywaythog mwy nor tlawd , 8 Ac i ddeirch fod yn gredigol ac yn drugaroc , 14 Ac na vostier ffydd lle ni bo gweiththredoedd , 17 Can ys ffydd farw ydiw yr hon nis calyno gweithredoedd da hi .
59:2:001:0	VYmrodyr , na fid cenychi ffydd eyn Arglwydd ni Iesu Christ gogoneddus ynghyd ac ystiriaeth personau .
59:2:002:0	O bleit os daw i mewn ich cwmpeniaeth chwi , gwr yn arwain modrwy aur ac mewn dillad gwchion , a dyvot gwr tlawd hevyd mewn dillad gwaelion ,
59:2:003:0	Ac ystyriaeth o honoch ar y neb sy yn arwain dillad gwchion , a doedet wrtho , Eiste di yma mewn lle da , a doydet wrth y tlawd , Sa di yna , neu eistedd yma islaw fy stol droed ,
59:2:004:0	O ni dychi ynoch ych hunain yn gwneuthur dosparth , ac aythoch yn vrowdwyr brodiau drwg ?
59:2:005:0	Gwrandewch fymrodyr credigawl , oni ddewisodd Dyw tlodion y byd hwnn , y vod yn gowaethogion mewn ffydd , ac yn ytyfeddion ir dyrnas rron a addawodd ef ir rrai ay car ef ?
59:2:006:0	Eithr i ddychi yn dyrmugu yr tlawd . Onid ydynt y cywaythogion yn ych gorthrymmu‐chwi wrth trowsder] ac anyd ynt wy yn ych tynnu chwi gar bronn y frowdfainc ?
59:2:007:0	Onid ydynt wy yn goganu yr Enw rragorawl trwyr hwn ir cyfhenwir chwi ?
59:2:008:0	Eithr os cyflownwchi y frenhinawl gyfraith , ar ol yr yscrythyr , rron a ddyvvait , Car dy gymydawc yn gymaint a thi dy hun , ys da i gwnewch .
59:2:009:0	Eithr os ystyriwchi berson‐dyn , y ddych yn gwnethyr pechod , ac ych yn cael cerydd can y gyfraith , mal troseddion .
59:2:010:0	Can ys pwy bynac a gatwor gyfraith y gyd ac a ballo mewn vn pvvnc , may ef yn euog or cwbl .
59:2:011:0	O blegid y neb a ðyfod , Ni wnei di godineb , a ðyfod hevyd , Ny leði . Os bydd i ti na wnelych odineb , ac etto lladd , y ðwyt yn trosseðwr y gyfraith .
59:2:012:0	Velly i doydwch , ac velly y gwnewch , megis y rrei a fernir trwy gyfraith y rrydit .
59:2:013:0	Can ys barn heb drugaredd , a fydd ir neb ni wnel trugaredd , a llawenychu a wna trugaredd yn erbyn barn .
59:2:014:0	Pa les , vymrodyr , o dowaid neb fod cantho ffydd ac eb vot gantho weithredoedd ? a ddychon y ffydd honno eu iachau ef ?
59:2:015:0	O blegit os byð brawd neu chwaer yn noeth , ac aysie beunyddawl ymborth ,
59:2:016:0	A’ doydet o vn o honoch wrthynt , Ewch er nawð Dyw , ymdwymnwch , ac ymlenwch , at etto heb roddi vddynt anghenrreidiaur corph , pa les fydd ?
59:2:017:0	Velly ffydd , oni bydd yddei gweithredoedd , marw ydyw ynthi y hun .
59:2:018:0	Eithr rryw vn a ddowaid , Tydi ffydd sy cennyt minnau gweithredoedd sy gennyf : dangos di i mi dy ffydd wrth dy weithredoedd , a mi a ddangosa yt fy ffydd wrth fyngweithredoedd .
59:2:019:0	Credu i ddwytti may vn Dyw y sydd : da rwyt arno : y diawlaid hefyd ay credant ac a grynant .
59:2:020:0	Eithr a fynnid i wybod , o dydi over ddyn , may marw yw’r ffydd sy heb weithredoedd ?
59:2:021:0	O nid trwy weithredoedd i cyfiownwyd , Abraham yn tad ni , pan offrymmawdd ef Isaac eu fab ar yr allawr ?
59:2:022:0	Ti a weli fod ffydd yn kydweithio ay weithredoedd ef , a thrwy weithredoedd i perffeithiwyd y ffydd ,
59:2:023:0	Ac a gyflownwyd yr yscrythyr rron a ddowaid , Ef a gredawdd Abraham i Ddyw , ac ay cyfrifed iddo yn lle cyfiawnder : ac ay galwyd yn garedic i Ddyw .
59:2:024:0	Chwi a welwch can hynny , may o weithredoedd y cyfio wnir dyn , ac nid o ffydd yn vnic .
59:2:025:0	Yr vn ffunyt Raab y puttain onid o weithredoedd i cyfiownwyd hi , pan dderbyniodd hi y cenaday , ay danfon ymaith ffordd arall ?
59:2:026:0	Can ys megis y may’r corph heb yr yspryd yn farw : velly ffydd ys y heb weithredoedd marw ydyw .
