59:5:001:1	Pen . v .
59:5:002:1	2 Bygwth y may ef y cywaychogion enwir , 7 Cynghori emynedd , 12 Ac y’ochelyt tyngu . 16 Bot yddynt gyfaðe eu beie yw gylydd . 20 A’ cheisio dwyn y gilidd ir gwirionedd .
59:5:001:0	IDdo ’nawr , chwi gywaethogion : wylwch , ac vdwch am ych trueni a ddel arnoch .
59:5:002:0	Ych cowaeth chvvi llygry a wnayth : a’ch gwiscoedd bwyd pryfed ydynt .
59:5:003:0	Ych aur ach arian a rydodd , ay rrwd hwynt a fydd tyst yn ych erbyn , ac a yssa ych cnawd mal tan . Casclu trysawr a wnaythoch tros y dyddiau diwaytha .
59:5:004:0	Wele , cyfloc y gweithwyr , rrain a fedasont ych meysyð ( rrwn a attaliasoch trwy dwyll ) sy yn crio a bloyddiay y rrai a fedassont , a entriassont y glustiau Arglwydd y byddinoedd .
59:5:005:0	Byw ar ddayntethion y buoch ar y ddayar , ac mewn trythyllwch . Meithrin ych calonay a wnaythoch , megis ac yn y dydd lladdedigaeth .
59:5:006:0	Euocau a wnaythoch a’ lladd y cyfion , rrvvn niss gwrthnebodd chwi .
59:5:007:0	Am hynny , vymrodyr , byddwch ymarhoys , hyd devodiad yr Arglwydd . Synna , y llafurwr a ddiscwyl am wyrthfawr ffrwyth y ddayar , yn dda eu ymynedd am dano , hyd caffel o hono y glaw cynnar , ar diweddar .
59:5:008:0	O blegid hynny byddwchithay hevyd dda ych ymynedd , a chadarnhewch ych calonay , can ys y may defodiad yr Arglwydd yn nesau .
59:5:009:0	Na wnewch ddim tuchan yn erbyn y gilidd , fymrodyr , val na bo barn arnoch : wele , may’r browdwr yn sefyll wrth y drws .
59:5:010:0	Cymerwch , fymrodyr , yn siampl am oddeu blinder , ac am hir ymynedd , y proffwydi rrain a fuont yn doyded yn Enw’r Arglwydd .
59:5:011:0	Wele , dedwyddd y ddym yn gadel y rrai a ymoddefant . Chwi a glowsoch am ymynedd Iob , ac a welsoch y diwedd a vvnaeth yr Arglwydd . O blegit trathosturiol yw’r Arglwydd a’ thrugaroc .
59:5:012:0	Eithr ymlaen pob peth , fymrodyr , na thyngwch , nac ir nef , nac ir ddayar , na llw arall amgen : eithr bid ych ief , yn ief , ach nac ef , yn nac ef , rrac syrthio o honoch , mewn barn .
59:5:013:0	Oes neb yn ych plith mewn adfyd ? gweddied . Oes neb yn esmwyth arno ? caned .
59:5:014:0	Oes neb yn ych plith yn glaf ? Galwed am Henaduriaid yr eglwys , a gweddiant wy trosto , ac eliant ef ac olew yn Enwr Arglwydd .
59:5:015:0	A gweddi ’r ffydd a iachaar claf , ar Arglwydd ay cyfyd ef y fynydd : ac o gwnaeth ef pechoday , hwynt a vaddeuir iddo .
59:5:016:0	Cyfaddefwch ych beie y naill ir llall , a gweddiwch tros y gilidd , y gael ych iachau : can ys llawer a dal gweddir cyfion , pan vo ffrwythlon .
59:5:017:0	Elias dyn ydoedd or vn sut a ninay , ac yn eu weddi ydd archodd na bai glaw , ac ni bu glaw tair blynedd , a’ chwech mis .
59:5:018:0	Ac ef a weddiawdd drachefn , ac a roddes y nef y glaw , ac a ddug y ddayar eu ffrwyth .
59:5:019:0	Vymrodyr , o daeth neb o honoch ar gyfeilorn oddiwrth y gwirionedd , a throi o ryw vn ef ,
59:5:020:0	Gwybyðed ef am y neb a droes y pechadur rrac mynd ar gyfeilorn o ddiar y ffordd , y vod ef yn cadw enaid rrac angay , ac yn kyscodi lliawsgrvvydd o pechodau .
