59:3:001:1	Pen iij .
59:3:002:1	2 Gwarð y mae racymgymryd , a chwenychu anrrydedd tuhwnt eyn brodyr , 3 Yskythru y mae keneddfe’r tavawd , 15 , 16 A’ pha wahan sy rrwng doythineb Dyw , a doythineb y byd .
59:3:001:0	NA cheisiwch fod yn veistred lawer , fymrodyr , gan wybod y cawn i farnedigaeth glettach .
59:3:002:0	Can ys mewn llawer o bethay y ddym ni pawb yn llithro . O byð y neb na lithro ar air , hwnw sy wr perffaith , ac a ddichin ffrwynor holl corph .
59:3:003:0	Nycha , y ddym yn dodi ffrwynay ymhennau r meirch yw gwneuthyr yn vfydd i ni , ac y ddym yn troi ey cyrff hwynt oddiamgylch .
59:3:004:0	Nycha hevyd y llongay , rrain cyd bont mowrion , a gwynt creulawn yw gyru , etto i troi hwynt o amgylch a wneir a llyw bychan bach , lle i mynnor llowydd .
59:3:005:0	Velly y tavawd hevyd aylod bychan yw , yn bostio pethay mawrion , nycha faint o ddeunydd a ynnynna y chydic dan .
59:3:006:0	A’r tavawd tan ydyw , ie byd o enwiredd : velly i gosodet y tavawd y mysc ein ayloday , mal y llygra ef yr holl corph , yn fflamhau troell naturieth , ac yn fflamedic can vffern .
59:3:007:0	Cans holl natur ynifeiliaid , ac adar , ac ymlusciaid , a’r petheu yn y mor a ddofir ac a ddofwyd can natur ddyniol .
59:3:008:0	Y tavawd hagen nis dichin neb rryw ddyn y ddofi . Drwg anllyfodraythus ydyvv , yn llawn gwenwyn marwol .
59:3:009:0	Trwyddo ef i bendigwn ni Ddyw a’r tad , a’ thrwyddo ef i melltigwn ni ddynion , a wnaethbwyd ar lun Dyw .
59:3:010:0	Or vn genau i daw allan bendith a melltith : fymrodyr ni ddylaynt y pethay hyn fod felly .
59:3:011:0	A ðyry ffynnon or vn man ddwr melus , a’ chwerw ?
59:3:012:0	A ddichin y pren ffeigys , fymrodyr , ddwyn olifaid , neu winwdden ffeigys ? velly ny ddichon vn ffynnon roddi dwr hallt a’ chroyw .
59:3:013:0	Pwy sy wr doeth a gwybodaeth cantho yn ych mysc chwi ? dangosed trwy ymwereddiad da eu weithredoedd mewn rrowiogrwydd doythineb .
59:3:014:0	Eithr o bydd cenychi cenfigen chwerw , ac ymryson yn ych calonay , nac ymlawenhewch , ac na fyddwch celwyddog yn erbyn y gwirionedd .
59:3:015:0	Y doythineb hyn nid oddi fynydd y discin , eithr dayarawl yvv , enifeilaidd , a’ diawlaidd .
59:3:016:0	Can ys lle bo cenfigen ac ymryson , yno y bydd tervysc , a phob gweithred ddrwc .
59:3:017:0	Eithr y doythineb y sydd o ddifynydd , yn gynta pur ydyw , wedi hynny heddychol , boneddigaið , hawdd y thrino , llawn trugaredd a’ ffrwythydd da yn ddiddosparth , ac yn ddiffuant .
59:3:018:0	A ffrwyth cyfiawnder a heir mewn heddwch , ir rrai heddychawl .
