59:1:001:1	Pen j .
59:1:002:1	2 Rroi kyngor i fod yn llawen mewn blinder , 6 I fod yn ystic mewn gweddi trwy ffydd gadarn , 17 I ddiscwyl am bob dayoni oddifyny . 21 I ymwrthod ac oll gamweddey , ac ac yn ddiolchus derbyn gair Dyw , 22 Nid yn vnig trwy eu wrandaw , neu son am danaw , eithr hevyd bucheddu yn gytun ac ef , 27 Beth yw gwir grevydd .
59:1:001:0	IAco gwasanaethwr Dyw , ar Arglwydd Iesu Christ , at y deuddec‐llwyth gwascaredic , anerch .
59:1:002:0	Cymerwch yn lle dirfawr lewenyð fymrodyr , pan ddigwyddoch mewn amryw profedigaythay ,
59:1:003:0	Can wybod y pair profedigaeth ych ffyð chwi ymynedd .
59:1:004:0	Eithr ymynedd caffed y berffaith waith , mal y galloch fod yn berffaith ac yn gyfan , heb ddim diffig .
59:1:005:0	O bydd ar neb aysie doythineb , arched can Ddyw , sy yn rroi yn haylionus i bawb , ac nis gorafun y neb , ac ef ay rroir iddo .
59:1:006:0	Eithyr arched mewn ffydd , heb ammay dim : can ys y neb a amheuo , cyffelib yw i tonn or mor a chwelir ac a deflir can y gwynt .
59:1:007:0	Ac na fyddylied y dyn hwnw i cayff ddim can yr Arglwydd .
59:1:008:0	Gwr dauddyblyg feddwl , anwadal yw yngwbyl oy ffyrdd .
59:1:009:0	Y brawd a vo o radd gorisel , llawenyched yn ei oruchafiaeth :
59:1:010:0	Ac elchwyl y neb a vo cywaithog , yn eu ostyngedigaeth : can ys megis blodeuyn y llysiewyn , y diflanna .
59:1:011:0	O blegid mal pan gyvottor haul yn y gwres , yna y gwywa’r llysiewyn , ac i cwympa i vlodeuyn , ac a gyll tegwch eu bryd ef : ac velly y difladna’r cywaithog ynghwbyl oy ffyrdd .
59:1:012:0	Happus ywr gwr , a ymoddef profedigaeth : canys pan vo prawedig , i cayff coron y bowyd , ron a addawodd yr Arglwyddir rrai ay caro ef .
59:1:013:0	Na ddoydet neb pan profer ef , y brofi can Ddyw : can ys ni ellir profi Dyw a drwg , ac nid yw ef yn profi neb .
59:1:014:0	Eithr pob ryw vn a brofir , pan y tynner , gan e drachwant yhun , ac y llithir .
59:1:015:0	Ac o ddyna gwedi i trachwant gydynnyll , braguro pechod a wna : eithr pechod pan o’rphenner a ddirollwng varvolaeth .
59:1:016:0	Na chifeiliornwch fymrodyr caredigawl . Yr Epistol y iiij . Sul gwedy Pasc .
59:1:017:0	Pob roddiat dayonus , a phob rroð berffaith , o ddifynydd y may , ac a ddiscin o iwrth tad y goleuaday , gidar hwn ni does trasymedigaeth , na chyscodiad troedigaeth .
59:1:018:0	Oi wir wollys ir enillawdd ef ni trwy air y gwirionedd , mal i gallem vod megis blaenffrwyth y creauduriaid ef .
59:1:019:0	O achos hyn fymrodyr caredigion , bid pob dyn ebrwydd y wrandaw , diog i ddoyded , a’ diog i ddigofaint .
59:1:020:0	Can ys digofaint gwr , ni chyflowna gyfiownder Dyw .
59:1:021:0	Am hynny rrowch heibio pob budreddi , a phob rrysseð malais , a’ thrwy vfuddtra derbyniwch yr impiedic air , rrwn a ðichin iachau ych eneidiau . Yr Epistol y v . Sul gwedy y Pasc
59:1:022:0	A byddwch wneuthyrwyr y gair , ac nid yn vnic gwrandawyr , yn ych twyllaw ych hunain .
59:1:023:0	Can ys o gwrendy neb y gair , ac heb y wneuthyr , tebig yw hwnw i wr , a fai yn synnio eu bryd genedigawl mewn drych .
59:1:024:0	Can ys y synnio eu hun a wnaeth , a myned ymaith , ac yn y man ebrefugu pa sut ytoedd .
59:1:025:0	Eithr y neb a edrycho ar honn sy perffaith cyfraith rrydit , ac a erys ynthei , can nad ydiw ef wrādawr gwallgovus , eithr gweithredwr y weithred , happus fydd yn eu waithred .
59:1:026:0	O chymer neb yn ych mysc chwi arno y vod yn grefyddawl , ac nid attalio eu davod , eithyr twyllaw eu galou eu hun , crevydd hwnvv ys ouer yvv .
59:1:027:0	Crevydd pur a’ difrycheulyd gar bron Dyw , ar tad , yw hynn , ymweled ar ymddifaid , ar gwragedd-gweddwonn yn eu hadfyd , ay ymgadw i hun yn ddifrycheulyd o ddiwrth y byd .
