20:31:001:1	Aláahgo naat'áanii bee bich'į' ha'oodzíi'ii
20:31:001:0	Aláahgo naat'áanii Lémyu'el bimá saad bee hódzáanii yee nabineeztą́ą'ii: 
20:31:002:0	Ha'át'íí lá shiyáázh? Nishíłchíinii nílíinii, ha'át'íí lá? Ádee hadeesdzíí'dóó bik'ijį' nishíłchį́įgo, shiyáázh nílíinii, ha'át'íísh bee nandínéeshtįįł? 
20:31:003:0	Asdzání danilíinii nidziil baa dóó'ááł lágo índa aláahgo naat'áanii nidabiiłchǫǫhii t'áadoo baa nanináago hinínání. 
20:31:004:0	Lémyu'el yinílyéii, aláahgo naat'áanii danilíinii wáin deidlánígíí doo bá át'ée da; t'áá aaníí, doo bá át'ée da, índa naat'áanii danilíinii tó diłhił deidlánígíí doo bá át'ée da. 
20:31:005:0	Éí doodaléi' da'doodlį́į́ł áádóó Diyin God yee has'áanii yaa deidiyoonah índa atídabi'dil'íinii doo ákót'éégóó yaa nídadóot'įįł. 
20:31:006:0	Bi'niitsáanii tó diłhił bidádidííkááł, áádóó ts'ídá yéego bich'į' nidahwii'náanii wáin baa dííkááł. 
20:31:007:0	Bíni'dii adlą́, áádóó té'é'į́ bi'niiłhíinii yeidiyoonah, áádóó bich'į' nahwii'náanii ts'ídá doo yénínáádoolnih da. 
20:31:008:0	Ádabi'niidįįdgo doo ák'idadóóldzííł ádaat'éii t'áá ałtso bá yáníłti' dooleeł. 
20:31:002:1	E'asdzą́ą́ yá'át'éehii bee baa ha'niihii
20:31:009:0	Bide ádahólzinii índa hojooba' nahas'áanii bá na'ak'íyáníłti'go t'áá ákogi át'éego bá baa nánít'į́. 
20:31:010:0	Háísh asdzání ílíinii yik'ídoogááł? Jó, asdzání ílíinii éí nitł'iz ał taas'éí da'ílíinii biláahgo ílíinii óolyé. 
20:31:011:0	Bahastiin bijéí t'áá át'é yee t'áádóo nídí baa dzólí, áko bá bilááh násdlį́į'ii doo ła' bi'oh da doo. 
20:31:012:0	Ni'níłdįįd bijį́įjį' bahastiin yaa jooba', áádóó yich'į' doo ákǫ́ǫ́ ááníił da dooleełígíí éí dooda. 
20:31:013:0	Aghaa' áádóó nidik'ą' dits'idígíí hát'į́, áádóó yíneedlį́įgo binaanish áyósin. 
20:31:014:0	Tsinaa'eeł bee naalyéhé tsé'naa nídadigéhígíí nahalingo doo deeghánídę́ę́' ch'iyáán nináyiijááh. 
20:31:015:0	Yikáíhdą́ą́' t'ah ni' halzhingo náádii'nah áádóó ba'áłchíní yá ch'iyáán ánáyiil'įįh índa asdzání bá nidaal'a'í naanish yitaa néidi'aah. 
20:31:016:0	Kéyah yaa nitsízkéezgo nayiisnii' áádóó t'áá bí ákǫ́ǫ́ ch'il na'atł'o'ii k'iidíílá. 
20:31:017:0	Biníí' gónaa bidziilgo áyiił'įįh, áádóó bigaan ałdó' bidziilgo áyiił'įįh. 
20:31:018:0	Binaalye'é bą́ą́h ílíinii bił bééhózin; bibee hool'iní doo yiniłtséésgóó háagi shį́į́ ayiiłkaah. 
20:31:019:0	Ákohgo adiz łeh áádóó néiniishah. 
20:31:020:0	Diné badahojoobá'íii t'áadoo le'é yaa yiinííł, t'áá aaníí, hojooba' nahas'áanii yaa jooba'go t'áadoo le'é yich'į' kódeile'. 
20:31:021:0	Yas biniinaa ba'áłchíní doo yá nitseedáa da, háálá ba'áłchíní t'áá ałtso éé' łichxí'í bii' dahoneezílígíí yá ádeile'. 
20:31:022:0	T'áá bí yii' sitínígíí ałdó' ádá ííł'į́; bi'éé' áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii áádóó tsídídééh nahalingo łichí'ígíí bił bee ályaa. 
20:31:023:0	Dáń'dítį́įhgi bahastiin éí kéyahdóó hastóí danilíinii yił nidaháaztą́ągo béého'dílzin. 
20:31:024:0	Áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee éé' ádeile'go baa nahaniih, áádóó bee áká da'aszaazígíí naalyéhé yá sidáhí baa nayiiłniih. 
20:31:025:0	Adziil áádóó ił ídlį́ yee hadít'é, áádóó náás hoolzhishgóó yaa bił nihoozhǫǫh doo. 
20:31:026:0	Hóyą́ągo hahadziih áádóó ajooba' bii' hólǫ́ǫgo éí k'ehgo yáłti'. 
20:31:027:0	Ba'áłchíní nizhónígo yaa áhályą́, áádóó t'áadoo baa na'ódza'í da nahalingo doo t'óó sidáa da. 
20:31:028:0	Ba'áłchíní nídiijahgo bił jílį́įgo hach'į' yádaałti' łeh; hahastiin ałdó' ákót'éego haa haniih łeh. 
20:31:029:0	Nihokáá'góó asdzání t'óó ahayóí yá'át'éehgo ádaadzaa, nidi ni t'éiyá biláahgo ánít'é. 
20:31:030:0	Baa dzólníinii éí na'adlo' át'é, índa ayóó ánóolninii éí t'áadoo biniyéhí da, nidi asdzání éí Bóhólníihii yidósinígíí baa ha'niih doo. 
20:31:031:0	Bíla' yee yaa naayáhígíí bee baa hóniih áádóó t'áá bí binaanish áyoolíłígíí yah ada'iiztiingóó bee baa ha'niih le'.
