20:4:001:1	Hódzą́ bee áká i'iilyeed
20:4:001:0	Áłchíní danohłíinii, nihizhé'é nanihinitinígíí deísínółts'ą́ą́', áádóó bik'idi'dootį́įłii nihił béédahodoozįįł biniyé bíndahołtsaad. 
20:4:002:0	Háálá yá'át'éehgo bee na'nitinii bee nanihinítą́ą́'; bee nanihinítą́ą'ii yóó'adadooh'ááł lágo. 
20:4:003:0	Jó, shí ałdó' shizhé'é biye' nishłį́įgo, t'ah dinisht'ódígo t'áá shí t'éí shimá ayóó'áshó'níí nít'ée'go, 
20:4:004:0	shizhé'é nashineeztą́ą'go áshidííniid, Háni'dii nijéí éí shizaad ádíyóltą'; shibik'eh ó'oo'níiłii bik'eh honíł'į́, áko hinínáa doo. 
20:4:005:0	Hódzą́ shóiníłt'eeh; bee ak'i'diitįįhii shóiníłt'eehgo doo beidiyíínah da; shizaad disíníts'ą́ą'ii doo bits'ádíínáał da. 
20:4:006:0	Yóó'adóó'ááł lágo, áádóó hódzą́ áá nidoosįįł; ayóó'ííní'níi doo, índa naa áhályą́ą doo. 
20:4:007:0	Díí hódzą́ bee deezt'i'ii át'é: bee hódzáanii shóiníłt'eeh, índa t'áá át'é nishóhoołt'eehii bee ak'idi'yiitįįhii atah shóiníłt'eeh. 
20:4:008:0	Ił nilį́įgo ánílééh, áádóó ił nílį́įgo ándoolííł; hódzą́ bizéésínínii'go diné ílíinii nílį́įgo ándoolííł. 
20:4:009:0	Ajooba' nitsiinázt'i'go ándoolííł; naat'á ch'ah ayóó ánóolninii neidoo'ááł. 
20:4:010:0	Shoo, shiye' nílíinii, ádíshníinii diits'į́įhgo bee ádiih tsíníkees, áko t'óó ahayóí néédoohah. 
20:4:011:0	Hódzą́ át'éii bínaniníłtą́ą́'; t'áá ákogi át'éego da'nítiingóó ná tádííyá. 
20:4:012:0	Hidínááhgóó doo díníítł'ah da, áádóó náhidiilyeedgo doo didíígoh da. 
20:4:013:0	Bínaniníłtą́ą'ii ts'ídá yéego yiiłtsóód; bidóóchííd lágo, baa áhólyą́, háálá bee hinínáanii át'é. 
20:4:014:0	Doo yá'ádaashóonii bikék'edóoya' lágo, áádóó diné doo yá'ádaat'éehii yaa nidaakaii bikék'edóoya' lágo. 
20:4:015:0	Bits'ąą ádaa áhólyą́; doo bíighah dah didíínáał da; bits'ánínááh, áádóó t'áá náás yínáał doo. 
20:4:016:0	Háálá doo da'oołháásh át'ée da, doo ákǫ́ǫ́ ádaat'įįhgóó índa da'iiłhosh; ła'da ádił asiihgo ádayiił'įįhgo índa da'iiłhosh, éí doodaléi' doo da'ałhosh da. 
20:4:017:0	Háálá bááh deiyą́ nahalingo doo yá'áshóonii bił daalkan áádóó wáin deidlą́ nahalingo doo ats'ííd adeisłį́. 
20:4:018:0	Nidi diné t'áá ákogi ádaat'éii deíkáahgo éí hool'įįhdóó jį́įgo adidi'áhígíí nidahalin yileeh. 
20:4:019:0	Diné doo yá'ádaashóonii chahałheełgóó deíkáahgo yik'ee dahidigeehii doo bił béédahózin da. 
20:4:020:0	Shiye', shizaad nabíhíłtsaad; ádíshnínígíí yíníłts'ą́ą́'. 
20:4:021:0	Yóó'adóó'ááł lágo; nijéí tł'áahdi hasht'e'nihidí'nííł. 
20:4:022:0	Háálá yik'ídahakáahii t'áá ałtso iiná bá át'é, índa dabits'íís t'áá át'é nídeiłdziihgo doo bąąh daatééhgóó áyósin. 
20:4:023:0	Ts'ídá haleebee nijéí baa áhólyą́, háálá éí biyi'dóó iiná dahidit'ééh. 
20:4:024:0	Nahagizgo yáníłti'ígíí nahjį' nidiní'aah, índa t'áá naaki nahwiiláago yáníłti'ígíí doo deeghánígóó áts'ádinít'aah. 
20:4:025:0	Háni'dii t'áá náás díní'į́į́' índa t'áadoo nanighalí; náásgóó k'éhézdon díní'į́į́'. 
20:4:026:0	Yínááłgóó hazhó'ó bik'ítsííłkos, áádóó t'áá ałtsogóó hidínáahgo t'áá ákóne' nané'éłniih doo. 
20:4:027:0	Nish'náajigo dah doóya' lágo, doodaii' nishtł'ajigo dah doóya' lágo; doo yá'át'éehii bits'ánínááh.
