20:6:001:1	Ił hóyéé' áádóó ina'adlo' bik'ijį' ha'oodzíí'
20:6:001:0	Shiye' nílíinii, bił kééhót'íinii béeso ba'í'nilgo t'áá aaníí niná' doodléełgo bá nízhi' íinilaago, dé'éyóní nilíinii bił ahíláłk'ee díínílnii'go, 
20:6:002:0	saad bee háínídzíi'ii nizlohgo, saad bee háínídzíi'ii bee ni'disdlohgo, 
20:6:003:0	k'ad kónínééh, shiye', bił kééhót'íinii bílák'éínítłizhígíí biniinaa bits'ánílyeed; nílááh, ádaa hojiinílba'ígo bił kééhót'íinii bich'į' dínáahgo áadi ádaa ná'iinikąąh. 
20:6:004:0	T'áadoo íłhoshí; t'áadoo nínílch'ilí. 
20:6:005:0	Naalzheehii éí jádí bits'áhályeedígi át'éego bits'ánílyeed, índa tsídii yá nináda'a'niłii bits'ą́ąjį' tsídii bits'áhát'ahígi át'éego bits'ánílyeed. 
20:6:006:0	Nił hóyée'ii, nílááh, wóláchíí' bich'į' dínáahgo yaa naagháhígíí nabik'ítsíníłkees áádóó honíyą́ą le'. 
20:6:007:0	Wóláchíí' náás boo'ishii ádin, áádóó aláahgo bik'i déez'į́į́' dooleełii ádin índa binanit'a'í ádin. 
20:6:008:0	Yiyíłkiin dooleełii shį́įgo náyiiláa łeh, áádóó da'agizhjį' ahalzhishgo éí bich'iyą' áłah áyiił'įįh. 
20:6:009:0	Nił hóyée'ii, haa nízáadgishą' adíníłhaazh? Hahgoshą' índa ch'éédíídziłgo nídidíí'nah? 
20:6:010:0	T'óó kónígháníjį' náá'iideeshhosh, t'óó kónígháníjį' anáádínéeshyił, t'óó kónígháníjį' shijaat'ah díníshnii'go adínéeshyił, diníinii, 
20:6:011:0	ákónít'į́įgo agha'ii'níiłii nahalingo té'é'į́ nik'i hwiidooleeł, áádóó té'é'į́ éí diné bee na'abaahii neijaahgo haatįįh yíyá nahalin doo.  
20:6:012:0	Be'ádíláahgo doo yá'áshǫ́ǫ́góó naagháii ák'eh hal'į́įgo yáłti'. 
20:6:013:0	Éí diné bináák'is ánáyiil'įįh; bikee' yee na'é'égizh, bíla' yee naałchid; 
20:6:014:0	bijéí tł'áahdi ák'eh ha'į́ hólǫ́; t'áá áłahíjį' doo yá'át'ééh áhodoonííł yinaha'á; diné yił dahodiiłtáahgo naaghá. 
20:6:015:0	Éí diné t'áadoo hooyání atídoolnííł; t'áadoo hooyání doo hasht'éého'dólne' át'éedi atíhodi'doolnííł. 
20:6:016:0	Hastą́ągo t'áá aaníí díí tsosts'idgo haz'ą́ Bóhólníihii yijoołxáago doo yíłdin da: 
20:6:017:0	ádaa dzódlíii, biyooch'íidgo yáłti'ii, t'áadoo át'éhígóó naagháii neiłtsxeedgo bidił dahidinéehii, 
20:6:018:0	diné bijéí tł'ááhdę́ę́' doo yá'áshǫ́ǫ́góó hahwii'aahii, haneetehee ádílááh yíkadilts'i'ii, 
20:6:002:1	Adilyé bik'ijį' ha'oodzíí'
20:6:019:0	aa hwiinít'į́įgi t'áá ádzaagóó ak'ihodii'aahii, índa ałk'isgóó dandlíinii yił hááhoniłcha'ii éí Bóhólníihii bijoołxá. 
20:6:020:0	Shiye', nizhé'é bibik'eh ó'oo'níiłii bik'eh honíł'į́, áádóó nimá naninitinii yóó'adóó'ááł lágo. 
20:6:021:0	T'áá áłahjį' nijéí tł'áahgi hólǫ́ǫgo íínísin, áádóó nizééneelzhee'go ánílééh. 
20:6:022:0	Yínáałgo noolóos doo; íłhoshgo nik'i déez'į́į' doo; ch'ééhídzíidgo nich'į' yáłti' doo. 
