20:8:001:1	Hódzą́ éí ayóó ánóolnin áádóó hool'áágóó hólǫ́
20:8:001:0	Hódzą́ éí dilwosh. Bee ak'i'diitįįhii éí nahwiiniih. T'áá aaníí ya'? 
20:8:002:0	Wók'ą́ągi atiin bąąhgóó ałná'ooztiingi sizį́į łeh. 
20:8:003:0	Kintah góne' ada'iiztiingi nidilghaash łeh; dáń'da'ditį́į́hgóó chánahgo yáłti' 
20:8:004:0	kóníigo, Diné danohłíinii, nihich'į' ádíshní; diné danilíinii dabiye'ké bich'į' yáshti'. 
20:8:005:0	Doo dahonohsáanii, hódzą́ nabik'ítsáhákeesii bik'ida'doohtįįh, áádóó doo dahóyáanii danohłíinii, ak'ida'doohtįįh. 
20:8:006:0	Da'íísółts'ą́ą́', háálá ayóó ádanóolninii bee nihich'į' yádeeshtih, áádóó nihich'į' yáshti'go t'áá ákogi ádaat'éii éí dadoohts'a' dooleeł. 
20:8:007:0	Háálá t'áá aaníinii t'éiyá bee yáshti' doo; doo yá'áshǫ́ǫ́góó yáti' t'éiyá doo shił aaníi da. 
20:8:008:0	Saad bee hahasdziihígíí éí t'áá ałtso t'áá ákogi ádaat'é; saad bee ák'eh ha'íinii, doodaii' saad naagizii doo éí ádaat'ée da. 
20:8:009:0	Éí t'áá ałtso diné ak'idi'yiitįįhii bich'į' ííshjání danilį́, índa ił ééhózin nishódayoołt'eehii bił t'áá da'áko. 
20:8:010:0	Bínaninishtinígíí nídiilé, béésh łigaii éí dooda; ił ééhózin nídiilé, óola bitahaasdláa'ii éí dooda. 
20:8:011:0	Háálá nitł'iz ałtaas'éí bilááh át'éego hódzą́ yá'át'ééh, áádóó ha'át'íhída bídin ídlíinii t'áá ałtso t'áá nída'íí'oh. 
20:8:012:0	Hódzą́ nishłíinii bee hódzą́ yee át'éii bił kééhasht'į́, índa ił ééhózin áádóó nihodiit'aah ádaat'éii shił nibééhwiizįįh. 
20:8:013:0	Bóhólníihii jidósinii éí doo yá'áshóonii jijoołxáii át'é; ádaa ha'niih áádóó ádíhólnííh áádóó doo yá'át'éehii bił dahonít'i'ii índa saad bee ák'eh ha'į́ jooshłxá. 
20:8:014:0	Na'nitin áádóó hódzą́ ts'ídá yá'ádaat'éehii éí shí; ak'idi'yiitįįhii nishłį́ áádóó adziil shee hólǫ́. 
20:8:015:0	Shí shinahjį' aláahgo naat'áanii danilíinii dahwée'aah, áádóó ałdó' shí shinahjį' naat'áanii danilíinii t'áá ákogi áhodooníiłgo hadahadziih. 
20:8:016:0	Shí shinahjį' naat'áanii danilíinii áádóó aghá dahideezíinii, t'áá éí nihokáá'góó ándahwii'aahii t'áá ałtso, shí shinahjį' nidant'á. 
20:8:017:0	Ayóó'ádashijó'níinii ayóó'ádahósh'ní, áádóó t'áá hahígo shíkadantáii shik'ídahidookah. 
