5:34:001:1	Mózes daaztsą́
5:34:001:0	Mó'ab kéyah dadzígaidóó Mózes dah diiyáago Dzi ł Nííbo yąąh híiyáago Dził Pízgah bighą́ą'jį' haayá; éí Jériko binaashiijí dził si'ánígíí át'é, áko Bóhólníihii éí Gíliyad kéyahdóó Dan dine'é bikéyahjį' t'áá át'é hach'į' ííshją́ą́ áyiilaa. 
5:34:002:0	Áádóó t'áá át'é Náftalai áádóó Íífreiyim índa Manáseh dine'é bikéyah áádóó Júdah kéyah t'áá át'éé nít'éé' tónteel siyíníjį', 
5:34:003:0	índa shádi'ááhjí Jériko honíteelgóó, t'áá éí tsin páam kin haal'á hoolyé, áádóó Zó'er kin haal'áajį' Bóhólníihii hach'į' ííshją́ą́ áyiilaa. 
5:34:004:0	Áko Bóhólníihii ábíłní, Díí kéyah éí Éíbraham áádóó Áízak índa Jéíkab bich'į' bee ádee hadeesdzíi'go ábidííniid, Díí kéyah éí niha'áłchíní náás ahoolchíiłii baa dideesh'ááł. Díí kéyahígíí t'áá ni nináá' bee níníł'į́įgo ániishłaa, nidi doo biih díínáał da. 
5:34:005:0	Áko Mózes éí Bóhólníihii yá naal'a'í nilíinii Mó'ab kéyahgi daaztsą́; Bóhólníihii bizaad k'ehgo ádzaa. 
5:34:006:0	Áádóó Mó'ab kéyah yíldzisgi Bóhólníihii yóó'áhoolaa; Beth-píyor hoolyéhígíí binaashiijí yíldzisgi yóó'áhoolaa, nidi díí jį́į́góó hojishcháá' doo ła' bił bééhóziní da. 
5:34:007:0	Mózes éí neeznádiindóó ba'aan naadiin binááhaigo bináá' t'ah yee oo'į́įgo índa t'ah t'áá hayóigo daaztsą́. 
5:34:008:0	Áádóó Mó'ab kéyah dadzígaigi Ízrel dine'é éí Mózes yaa daachago tádiin yiską́; kót'éego Mózes baa yínííł dajílį́įgo baa atínídazhdindleehígíí bíighah niiníłką́. 
5:34:009:0	Nan biye' Jáshowa éí níłch'i k'ehgo hódzą́ hwii' hadeezbin; jó, Mózes t'ah hiná yę́ędą́ą́' hak'i dah deesnii'go Ízrel dine'é dahwíists'ą́ą'go hak'eh dahół'į́į́ nít'éé'; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii yida'ósin nít'éé'. 
5:34:010:0	Áko Ízrel dine'é bitahgóó Diyin God yá halne'ii t'áá Mózes yę́ęgi át'éii Bóhólníihii yił ahééhólzinii t'áadoo ła' bi'diiltsą́ą da. 
5:34:011:0	Éí bee éédahózinii áádóó ayóó át'éego ádahooníiłii t'áá át'é ázhdoolííł biniyé Bóhólníihii yich'į' hóół'aadígíí Ííjip kéyahdi Féro bich'į' áádóó bá nidaal'a'í t'áá ałtso bich'į' índa bikéyahgi t'áá át'é nít'éé' baa nijigháá nít'éé'. 
5:34:012:0	Áádóó bigaan ayóó ábóodziilgo índa ayóó át'éego bik'e'íyée'ii t'áá át'é bee Ízrel dine'é t'áá ałtso binááł Mózes álílee k'ehgo í'iilaa.
