5:5:001:1	Neeznáago bik'eh ó'oo'níiłii
5:5:001:0	Áko Mózes éí Ízrel dine'é t'áá ałtso hágo bizhdííniidgo ábijiní, Da'íísółts'ą́ą́', Ízrel dine'é nohłíinii, díí yee nihwiiz'áanii áádóó yee nihodii'aahii bee nihich'į' yáshti'go díí jį́ nihijeeh hwiish'aah, áko bídahooł'aah doo, áádóó bik'eh dahonoł'į́į doo, índa bida'oł'į́į doo. 
5:5:002:0	Bóhólníihii nihiDiyin God éí Dził Hóreb hoolyéedi nihił aha'deet'ą́. 
5:5:003:0	Bóhólníihii díí bee aha'deet'áanii danihizhé'é yę́ę doo yee yił ahada'deest'ą́ą da, nidi nihí díí jį́ dahinii'nánígíí t'áá áníiltso nihił ahada'deest'ą́. 
5:5:004:0	T'áá ahéłnii'jį' dziłdi kǫ' bii'dóó Bóhólníihii nihich'į' hahaasdzíí'. 
5:5:005:0	(Íídą́ą́' Bóhólníihii áádóó nihí nihita'gi sézį́įgo Bóhólníihii bizaad nihich'į' ííshją́ą́ áshłaa, háálá kǫ' bik'ee nihił daayée'go dziłgóó t'áadoo dadoohkai da.) Áko ání, 
5:5:006:0	Shí, Bóhólníihii nihiDiyin God Ííjip kéyahdi naalte' danohłį́ yę́ędę́ę́' háánihíí'eezhii ásht'į́. 
5:5:007:0	T'ááká diyin náánáła' dahólǫ́ǫgo íínísin yíila'. 
5:5:008:0	Ha'át'íhígíida beda'alyaii doo ádá ádíílíił da; ha'át'íhígíida yádiłhił biyi'di dahólóonii, doodaii' nahasdzáán bikáa'gi dahólóonii, doodaii' táyi' naaldeehii doo béé'díídlíił da, 
5:5:009:0	áko éí doo bich'į' tsé'yaa náníljoł da doo, doodaii' doo bee nahółáa da doo, háálá shí éí Bóhólníihii niDiyin God łe'nízinii nishłį́; da'azhé'é doo ákwii ádajíít'įįdígíí éí doo dashidzisdįįdgóó hada'áłchíní náás ahoolchíiłii táadi índa dį́įdi ałk'i ná'ázhchį́įjį' bik'i hwiileehgo bá nináhwiish'nííł, 
5:5:010:0	nidi shí baa a'ááh nisinígíí haa shį́į́ néelą́ą'di mííl ádanéelą́ą'go ayóó'ádashó'nínígíí áádóó shibik'eh ó'oo'níiłii yik'eh dahół'íinii bik'idajishdlí.  
5:5:011:0	Bóhólníihii niDiyin God bízhi' doo dílzingóó doo ádíílíił da; jó, t'áá háiida Bóhólníihii bízhi' doo dílzingóó ájiilaaígíí bee ádihozhdiilt'i'go Bóhólníihii hak'ijį' yis'ą́ą doo. 
5:5:012:0	Háá'áyį́į́h jį́ éí hodílzingo íínísingo aná'át'áah doo; jó, Bóhólníihii niDiyin God ákót'éego yee nich'į' haadzíí'. 
5:5:013:0	Hastą́ą́h jį́ t'éí nanilnish doo, áádóó t'áá ákódígo nanilnish doo, 
5:5:014:0	nidi tsosts'id jínígíí éí Bóhólníihii nihiDiyin God biháá'áyį́į́h jį́ át'é, áko éí bijį́ t'áá ha'át'éegoda doo nidoolnish da, ni lá índa niye' ałdó' dooda, nitsi' ałdó' dooda, diné ná naalte' ałdó' dooda, asdzání ná naalte' ałdó' dooda, nibéégashii nidi dooda, nitélii nidi dooda, nilį́į́' ał'ąą ádaat'éii nidi dooda, dé'éyóní t'óó átsééd nił kééhat'íinii nidi ałdó' doo nidoolnish da. Áko diné ná naal'a'í áádóó asdzání ná naal'a'í t'áá nigi át'éego hááhályį́įh doo. 
5:5:015:0	Díí béédaałniih: Ííjip kéyahdi naalte' danohłį́į́ nít'éé', índa Bóhólníihii nihiDiyin God bíla' yee ayóó ábóodziilii áádóó bigaan bits'áhoníyée'ii yee áádę́ę́' ch'ínihiní'eezh; éí bąą Bóhólníihii nihiDiyin God ánihidííniid, Háá'áyį́į́h jį́į́ góne' dahodíínóhsin, nihiłní. 
5:5:016:0	Nizhé'é índa nimá nił nilį́įgo íínísin; jó, Bóhólníihii niDiyin God ákót'éego nich'į' yee haadzíí', áko as'ahgóó hinínáa doo índa nihá yá'át'éehgo áhooníiłgo Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí bikáa'gi ákónít'ée doo.  
5:5:017:0	Diné ts'ídá doo diyííłhéeł da.  
5:5:018:0	Ts'ídá doo adidííléeł da.  
5:5:019:0	Ts'ídá doo adíníí'į́įł da.  
5:5:020:0	Ts'ídá doo t'áá ádzaagóó bił kééhót'íinii baa hólne'í.  
5:5:021:0	Ts'ídá doo bił kééhót'íinii be'asdzą́ą́ bidádíníilnih da; bił kééhót'íinii bighan t'áadoo bidáninilníní, bikéyahda, diné bá naalte'da, asdzání bá naalte'da, bibéégashiida, bitéliida t'áadoo bidáninilníní áádóó bił kééhót'íinii daabíhígíí t'áá ałtso t'áadoo bidáninilníní.  
5:5:002:1	Ízrel dine'é bił daayéé'
5:5:022:0	Díí saadígíí éí Bóhólníihii yee yáłti'go áłah nohłį́įgi t'áá ánółtso dziłdi kǫ' bii'dóó áádóó k'os bii'dóó índa ayóogo chahałheeł bii'dóó biinéé' ayóó íits'a'go nihich'į' yáłti' nít'éé', áádóó t'áadoo ha'át'íhída náádoo'niid da. Tsé dilkǫǫhii naakigo bikáa'gi yik'e'ashchį́įgo sheinínil. 
5:5:023:0	Ákódzaago k'os diłhił bii'dóó iinéé' dasidoots'ą́ą́' yę́ędą́ą́' índa dził dook'ą́ąłgo áháníjį' shich'į' ninoohkai; nihidine'é bá aląąjį' nisoozíinii índa hastóí danohłíinii shaa noohkai. 
5:5:024:0	Áádóó ádadooniid, Bóhólníihii nihiDiyin God bee bi'oh hodidilyéehii áádóó yee ayóó át'éii nihich'į' yit'íní áyiilaa, áádóó kǫ' bii'dóó biinéé' dasidiits'ą́ą́'; díí jį́ Diyin God éí diné yich'į' yálti'go áádóó diné t'ahdii hináago baa ákodaniidzį́į́'. 
5:5:025:0	Éí bąą k'ad ha'át'éegoshą' danii'née doo? Jó, díí ayóó át'éego kǫ'ígíí ánihidoołdįįł. Bóhólníihii nihiDiyin God biinéé' náádasidiits'ą́ą́' ládą́ą́' t'óó dadíníi'nééł. 
5:5:026:0	Jó, bits'íís dahólǫ́ǫgo kéédahat'íinii t'áá ałtso bitahgóó háísh éí Diyin God hináanii kǫ' bii'dóó yáłti'go jidiizts'ą́ą'ii nihí dasidiits'ą́'ígi át'éego t'ahdiísh jiiná? 
5:5:027:0	Nílááh, bit'áahjį' ninínááh; Bóhólníihii nihiDiyin God yee hahidoodzihígíí yídííłts'įįł, áádóó Bóhólníihii nihiDiyin God yee nich'į' hahaasdzí' ígíí t'áá ałtso bee nihich'į' hahidíídzihgo nihí ałdó' dadidiits'į́į́ł áádóó bik'eh ádaniit'ée doo.  
5:5:028:0	Áádóó saad bee shich'į' yádaołti'ii Bóhólníihii yidiizts'ą́ą́', áko Bóhólníihii áshidííniid, Díí dine'é nich'į' saad yee yádaałti'ii diséts'ą́ą́'; baa yádajiłti'ii yá'át'éehgo bee hadadziisdzíí'. 
5:5:029:0	Dooládó' t'óó laanaa da, dabijéí biyi'di t'áá áłahjį' dashidósingo shibik'eh ó'oo'níiłii yik'eh dahół'į́į laanaa, áko bí áádóó bada'áłchíní náás da'ahílchíihii yá'át'éehgo bá áhooníiłgo ahóyéel'áa doo. 
