5:11:001:1	Bóhólníihii yee ayóó át'éii
5:11:001:0	Éí bąą Bóhólníihii nihiDiyin God ayóó'ádeínóh'ní; éí yich'į' nihííł'aadii áádóó yee nihwiiz'áanii áádóó yee nihodii'aahii índa bibik'eh ó'oo'níiłii t'áá áłahjį' bik'eh dahonoł'į́. 
5:11:002:0	Díí jį́ díí nihił béédahoozįįh; jó, niha'áłchíní doo bił béédahózinígíí doo bich'į' yáshti' da; jó, Bóhólníihii nihiDiyin God t'áá hashkée na'nitinígíí áádóó yee ayóó át'éii áádóó bíla' ayóó ábóodziilii índa bigaan bits'áhoníyée'ii doo dayiiłtsą́ą da. 
5:11:003:0	Áádóó álílee ádaat'éii áádóó áhooníiłii Ííjip dine'é bitahgi aláahgo naat'áanii Féro wolyéii áádóó bikéyah t'áá át'éé nít'éé' áyííł'įįdígíí, 
5:11:004:0	áádóó Ííjip dine'é bisiláo áádóó dabilį́į́' yee nidaabaahii índa bitsindaabąąs bijáád naakiígíí yee nidaabaahii yee nihikéé' yinéełgo Tónteel Łichíí' ha'naa ninoonáago nihikéédę́ę́' íínáago bik'ijį' Bóhólníihii nilíinii tó ahínéideesk'ołgo áhásdįįdgo díí jį́įdi doo ła' nijigháa da. 
5:11:005:0	Áádóó honoojíidi wohnéełgo kwe'é noohkaijį' ánihííł'įįdii, 
5:11:006:0	índa Iiláíyab éí Rúben dine'é náás ahoolchíiłii nilį́įgo biye'ké nidilt'é Déíthan áádóó Abáíram wolyéii bich'į' nahasdzáán ąą áhoodzaago, ba'áłchíní áádóó biníbaal índa t'áadoo le'é bee hólóonii t'áá bił, Ízrel dine'é t'áá ałtso binááł nahasdzáán abííłna'go éí niha'áłchíní doo dayiiłtsą́ą́góó doo bił béédahózin da. 
5:11:002:1	Kéyah aa deet'ánígíí bii' bee ak'ihojidlíii
5:11:007:0	Nidi nihí ayóó ádaat'éii Bóhólníihii áyoolíłígíí t'áá ałtso danóoł'į́į́'. 
5:11:008:0	Éí bąą bik'eh ó'oo'níiłii t'áá át'é díí jį́ nihich'į' bee haasdzí'ígíí bik'eh dahonoł'į́, áko éí bee danihidziil doo, índa kéyah íí' dooleełii bich'į' disoonánígíí biih wohnéehgo ádíí' ádaahłééh, 
5:11:009:0	áádóó éí kéyah biyi' as'ahgóó anihídayiiłkaah doo; éí danihizhé'é yę́ę índa bada'áłchíní náás da'ahílchíihii yeididoo'áałgo Bóhólníihii yee ádee hadoodzíí'; éí kéyahgi abe' áádóó tsés'ná bitł'izh bee áda'azįįd. 
5:11:010:0	Jó, kéyah danihíí' dooleeł biniyé bich'į' disoonánígíí; éí Ííjip kéyahgi haz'ánídę́ę́' ch'ínoonánígíí doo bił ahehoołt'ée da; áadi k'ééda'dohdlééh yę́ędą́ą́' nihikee' bee tó háádahohłohgo nináda'nołhęshgo ch'il bił da'adáanii ayóogo nídahadleehgi át'éego ádahwíínóhsin nít'éé', 
5:11:011:0	nidi kéyah danihíí' dooleeł biniyé bich'į' disoonánígíí éí deílk'idgóó áádóó deíldzisgóó nahałtinígíí t'éí bee nínáháltłoh. 
5:11:012:0	Bóhólníihii nihiDiyin God éí kéyah yaa áhályą́. Yihahígíí ałtso náhahjį' Bóhólníihii nihiDiyin God áłahjį' kéyah yik'i déez'į́į́'. 
5:11:013:0	Áádóó kót'ée dooleeł: bik'eh ó'oo'níiłii díí jį́ nihich'į' bee haasdzí' ígíí haleebee deísínółts'ą́ą'go, áko Bóhólníihii nihiDiyin God ayóó'ádeínóhníigo nihijéí t'áá át'é bee áádóó nihii' sizíinii t'áá át'é bee bá nidaał'a'go, 
