5:19:001:1	Kin hadaas'áii bii'jį' yisdá'niichéehii
5:19:001:0	Bóhólníihii nihiDiyin God éí ał'ąą ana'í ałtso íísdįįdgo, bikédaayah Bóhólníihii nihiDiyin God nihaidiní'ą́ągo, nihíí' ádadoohłííł áádóó bikin hadaas'áhígóó índa dabikin bii' kéédahoht'į́į doo. 
5:19:002:0	Kin hadaas'áhígíí nihikédaayahgi táa'go kin haal'áii t'áá nihí ádá nidadidooh'ááł; éí kédaayah Bóhólníihii nihiDiyin God nihaidiní'ánígíí ádíí' ádadoohłííł. 
5:19:003:0	Éí kin haal'áii bich'į' adahwiizt'i'go ádahodoohłííł áádóó nihikédaayah ahádahidoohsohgo, éí Bóhólníihii nihiDiyin God nihaidiní'ánígíí ádíí' ádadoohłíiłgo táá'góó ałts'ádadoohsoh, áko diné yiyiisxíinii áajį' yisdádahinichéeh doo. 
5:19:004:0	Kót'éego diné yiyiisxíinii yisdádínóochéełgo hináa doo: t'áá háiida yił kééhat'íinii doo t'áá ákwíílééhgóó yiyiisxį́įgo doo yik'ee diniihgóó bá át'é. 
5:19:005:0	Diné ła' tsin yidootsił biniyé yił kééhat'íinii tsintahgóó yił dah dii'áazhgo áádóó tsin k'íyiyiiłne'go tsénił yee atseełígíí baa diiltáalgo yił kééhat'íinii bístałgo daaztsą́ągo, hó éí ła' kin haal'áhíjį' azhdínóochéełgo jiináa doo. 
5:19:006:0	Doodaii' éí diné jiisxínígíí dił bąąh háálį́ ájiilaii biniinaa bik'éí k'ééhodidoodlíłígíí bił hodoochxih áádóó hódoolwoł; jó, yisdázhdínóochéłígóó há doo deeghání dago biniinaa hodiyoołhééł, azhą́ biniinaa hodi'yoolyéłígíí doo bą́ą́h ílį́į da nidi, áádóó doo bik'eezhdiniihgóó hoolzhiizh da nít'éé' nidi hodiyoołhééł. 
5:19:007:0	Éí bąą díí nihich'į' bee haasdzíi'go ánihidííniid, Táa'go kin haal'á nídahodidooh'ááł. 
5:19:008:0	Bóhólníihii nihiDiyin God éí kéyah hótsaago nihá yínéidoozohgo, jó, ákót'éego danihizhé'é yę́ę yich'į' yee ádee hadoodzíí' áádóó éí kéyah t'áá át'é nihaididoo'áałgo, danihizhé'é yę́ę yich'į' yee ádee hadoodzíí' 
5:19:009:0	áádóó díí bik'eh ó'oo'níiłii t'áá át'é díí jį́ nihich'į' bee haasdziihígíí bik'eh ádanoht'éego áádóó Bóhólníihii nihiDiyin God ayóó'ádeínóh'níigo índa t'áá áłahjį' bibik'eh honít'i'ii bik'ehgo deínóhkáahgo kódanoht'éego t'éiyá táa'go kin haal'áhígíí táa'go ádá ła' bínáádeidoohnił. 
5:19:010:0	Áko diné doo ádihodiilt'i'ii doo bidił bits'ánílį́įgo ádoohłíiłgo diyoołhéeł da; jó, nihikéyah bikáa'gi Bóhólníihii nihiDiyin God éí kéyah ádíí' ádadoohłíiłgo nihaidiní'ą́, áko bidił doo bee ádidahodidoołt'ih da. 
