5:30:001:1	Hasht'ééhodi'doolníiłgo hak'inááhojidlíi doo biniyé kódazhdoonííł
5:30:001:0	Áko kót'ée doo: díí nihich'į' kódahooníłígíí t'áá át'é, éí ak'ihojidlíii índa hóyée'go á ha'iidziihii nihich'į' yit'íní áshłaaígíí nihik'i dahoole'go áádóó ał'ąą dine'é t'áá ałtso bitahgóó Bóhólníihii nihiDiyin God anihiniiskaadgo áadi nibéédahołníihgo, 
5:30:002:0	áádóó Bóhólníihii nihiDiyin God bich'į' dah nídahidoohkaigo áádóó áníinii bik'eh dahonoł'į́įgo díí jį́ t'áá át'é nihich'į' bee haasdziihígíí bik'eh ádanoht'éego, éí nihí áádóó niha'áłchíní bił nihijéí t'áá át'é bee índa nihii' sizíinii t'áá át'é bee ákónóht'éego, 
5:30:003:0	áko Bóhólníihii nihiDiyin God éí danihi'disná yę́ędę́ę́' ninánihidiyoo'ish áádóó nihaa a'ááh dínóozįįł índa nihaa náhoníle'go ał'ąą dine'é t'áá ałtso bitahdę́ę́' áłah ánánihidoodlííł; éí bitahgóó Bóhólníihii nihiDiyin God tanihinooskaad nít'éé'. 
5:30:004:0	Nihidine'é ła' yá nidanees'ą́ąjį' abidi'noolkaadgo áádę́ę́' Bóhólníihii nihiDiyin God áłah ánánihidoodlííł; jó, áádę́ę́' ninánihidiyoo'ish. 
5:30:005:0	Áádóó Bóhólníihii nihiDiyin God éí danihizhé'é yę́ę kéyah daabí nít'éé' yę́ę yiih nánihidoo'ishgo danihíí' dooleeł, áádóó yá'át'éhígi ánihoolíił doo, índa danihizhé'é yę́ę biláahgo k'ee'ąą nooht'į́įł doo. 
5:30:006:0	Bóhólníihii nihiDiyin God éí ąąh náhinilgishiigi át'éego danihijéí índa niha'áłchíní náás ahoolchíiłii dabijéí diyingo íidoolííł, áko Bóhólníihii nihiDiyin God ayóó'ádeínóh'níigo nihijéí t'áá át'é bee índa nihii' sizíinii t'áá át'é bee ákónóht'éego dahinoh'náa doo. 
5:30:007:0	Áádóó Bóhólníihii nihiDiyin God éí díí hóyée'go á hada'iisdzíi'ii t'áá át'é nihi'ana'í yik'ijį' kwíidoolííł áádóó danihijoołxáhígíí atídanihił'íinii ałdó' ákwíidoolííł. 
5:30:008:0	Áko Bóhólníihii nihiDiyin God bich'į' t'ą́ą́' nináhidoohkahgo áníinii bik'eh dahonoł'į́į doo índa bibik'eh ó'oo'níiłii t'áá át'é éí díí jį́ nihich'į' bee haasdziihígíí bida'íínóhsin doo. 
5:30:009:0	Áádóó Bóhólníihii nihiDiyin God éí naanish bee ída'azįįdgo íidoolíiłgo nidaałnish doo áádóó nihits'ą́ą́dóó nidahachíihii áádóó nihilį́į́' nidahachíihii índa nihidáda'ak'ehdóó aneest'ą' bilááh náádleełgo yee nihik'ijidlíi doo; jó, Bóhólníihii éí yá'át'éehii bee náás náádahodeezt'i'ii biniyé nihaa bił ninááhoozhǫǫh doo; danihizhé'é yę́ę yaa bił nihoozhǫǫh nít'éé' yę́ęgi ádoonííł. 
5:30:010:0	Bóhólníihii nihiDiyin God áníinii deísółts'ą́ą'go bibik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii, éí díí naaltsoos bii' bee haz'áanii bee ak'e'ashchínígíí bik'eh dahonoł'į́įgo áádóó Bóhólníihii nihiDiyin God nihijéí t'áá át'é bee índa nihii' sizíinii t'áá át'é bee bich'į' dah nídahidoohkáahgo nihaa bił ninááhoozhǫǫh doo. 
5:30:011:0	Jó, díí bik'eh ó'oo'níił ii díí jį́ nihich'į' bee haasdziihígíí éí doo nihá nantł'a da, doodaii' doo nihits'ą́ądi nízaadi hólǫ́ǫ da. 
5:30:012:0	Doo yá'ąąshdi hólǫ́ǫ da; dooyéí kódadidoohniił da, Háishą' yá'ąąshgóó nihá doogáałgo áádę́ę́' yił nihaa nídoodááł, áko éí deísíníilts'ą́ą' doo, índa bik'ehgo ádaniit'ée dooleeł? 
5:30:013:0	Áádóó doo tónteel wónaanídi hólǫ́ǫ da; dooyéí kódadidoohniił da, Háishą' tónteel wónaanígóó nihá doogáałgo áádę́ę́' yił nihaa nídoodááł, deísíníilts'ą́ą' doo áádóó bik'eh ádaniit'ée doo? 
5:30:014:0	Nidi saad éí níighahgóó hólǫ́; nihizálátahdóó índa nihijéí bii' hólǫ́ǫgo bee yádaołti'go éí bik'eh ádaahníił doo.  
5:30:015:0	Shoo, iiná áádóó yá'át'éehii áádóó aniné índa doo yá'áshóonii díí jį́ nihidáahgi hólǫ́ǫgo áshłaa. 
5:30:016:0	Díí jį́ nihich'į' bee haasdziihígíí bik'ehgo Bóhólníihii nihiDiyin God ayóó'ádeínóh'ní, áádóó bik'ehgo deínóhkááh áádóó bibik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii índa yee nihodii'aahii bik'eh dahonoł'į́įgo dahinohnáa doo; k'ee'ąą nooht'į́įł doo, áko kéyah biih woonáago Bóhólníihii nihiDiyin God nihik'ijidlíigo kéyah ádíí' ádadoohłííł. 
5:30:017:0	Nidi nihijéí bee doo ákót'éégóó tsídasidookéezgo biniinaa doo da'íísółts'ą́ą́'góogo áádóó yóó'adanihidi'niit'áahgo diyin dabidi'níinii bich'į' nidahohłáago índa bá chodaoh'į́įgo. 
5:30:018:0	Shoo, díí jį́ kónihidishní, T'áá aaníí ałtso ádoohdįįł, áádóó kéyah bikáá' doo as'ahgóó adanihíyiiłkaah da dooleełígíí bich'į' Jórdan tooh ha'naa nidoohnéełgo, éí kéyah baa doohnéełgo ádíí' ádadoohłííł. 
5:30:019:0	Yá'ąąsh áádóó nahasdzáán bíká ádíshníigo díí jį́ oo'íinii k'ehgo nihaa halne' doo, Nihidáahgi iiná áádóó aniné, ak'ihojidlíii áádóó hóyée'go á ha'iidziihii hólǫ́ǫgo áshłaa; éí bąą iiná nidadinoh'aah, áko nihí índa niha'áłchíní náás ahoolchíiłii bił dahinohnáa doo, 
5:30:020:0	áádóó Bóhólníihii nihiDiyin God ayóó'ádeínóh'níi doo áádóó áníinii bik'eh dahonoł'į́į doo índa bąąh dah shoojée' doo, háálá éí bee dahinohná, áádóó éí bee as'ahgóó adanihíyiiłkaah doo; éí kéyah bikáá' kéédahoht'į́įgo iiná nidahidoh'aah doogo Bóhólníihii éí danihizhé'é yę́ę, Éíbraham áádóó Áízak índa Jéíkab yich'į' yee ádee hadoodzíi'go yeidiní'ą́.
