5:4:001:1	Mózes éí Ízrel dine'é ak'eh dahonoł'į́, yiłní
5:4:001:0	Ízrel dine'é nohłíinii, k'ad díí bee nihwiist'áanii áádóó bee nihodiit'aahii bee nanihinishtinígíí hazhó'ó deísółts'ą́ą́', áko bik'eh ádanoht'éego dahinohnáa doo, áádóó danihizhé'é yę́ę biDiyin God Bóhólníihii nilíinii kéyah nihaidiní'ánígíí ádíí' ádaohłééh. 
5:4:002:0	Saad bee nihich'į' haasdzí'ígíí doo ła' bíidooh'áał da, doodaii' doo ła' bididooh'áał da. Áko Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii bee nihich'į' haasdzí'ígíí bik'eh dahonoł'į́į doo. 
5:4:003:0	Áádóó nihił béédahózingo e'elyaii Béíyal-píyor wolyéii biniinaa Bóhólníihii ayóó áát'įįd; jó, diné éí Béíyal-píyor bich'į' nidahojiłá yę́ę Bóhólníihii nihiDiyin God nilíinii nihitahgóó ałtso áhásdįįd. 
5:4:004:0	Nidi Bóhólníihii nihiDiyin God bí'ídadínóołnánígíí łá'í nootínígo díí jį́ dahinohná. 
5:4:005:0	Jó, yee nihwiiz'áanii áádóó yee nihodii'aahii bínanihiníłtą́ą́'; éí Bóhólníihii shiDiyin God ákódeeshníiłgo shich'į' yee haadzíí', áko bik'eh ádanoht'éego kéyah biih doohkahígíí ádíí' ádadoohłííł. 
5:4:006:0	Éí bąą bik'eh dahonoł'į́ áádóó baa dahonohsą́, háálá ał'ąą dine'é dabinááł díí nihibee hódzáanii áádóó nihibee ak'idi'yiitįįhii át'é; éí díí yee nihwiiz'áanii t'áá ałtso deidiizts'ą́ą'go kódadidooniił, T'áá aaníí díí dine'é ayóó át'é hóyáanii índa ak'idi'yiitįįhii nilį́į́ lá. 
5:4:007:0	Háí dine'é shį́įshą' ayóó ájít'éego hwíighahgi hadiyin hólǫ́? Jó, Bóhólníihii nihiDiyin God bídeíníikeedígíí t'áá ałtsogi nihíighahgi hólǫ́. 
5:4:002:1	Hórebgi ádahóót'įįdígíí Ízrel dine'é béébidi'yoolnii'
5:4:008:0	Jó, háí dine'é shį́įshą' ayóó ájít'éego yee nihwiiz'áanii áádóó yee nihodii'aahii éí t'áá ákogi át'éego díí bee haz'áaniigi át'éii t'áá át'é hwee hólǫ́? Éí nihí díísh jį́ nihaa dinish'aah. 
5:4:009:0	Hazhó'ó ádaa ádahołyą́ áádóó haleebee ak'eh dahonoł'į́, áko t'áadoo le'é danóoł'į́į́' yę́ę doo baideidiyoohnah da, áádóó nihí dayéełkaahgóó doo nihits'ą́ąjį' kódooníił da, nidi nihada'áłchíní índa nihinálíké bee nidanohtin. 
5:4:010:0	Shą́ą́', éí yoołkááł yę́ędą́ą́' Dził Hórebgi Bóhólníihii nihiDiyin God binááł daozį'go Bóhólníihii kóshidííniid ni', Diné shaa áłah áníléehgo shizaad dayíists'ą́ą'go ádeeshlííł, áko dashidóhsin dooígíí yídahooł'aahgo nída'iisdįįd bijį́įjį' nahasdzáán bikáa'gi dahináa doo áádóó éí yee bada'áłchíní nideinitin doo. 
5:4:011:0	Shą́ą́', dziłtsį́įjį' ninoohkaigo áádóó daozį' yę́ędą́ą́' dził dook'ą́ąłgo yá biyi'góó łidgo, chahałheełgo, k'osgo índa ayóogo chahałheeł. 
5:4:012:0	Áko kǫ' biyi'dę́ę́' Bóhólníihii nihich'į' haadzíi'go dasidoots'ą́ą́', nidi t'áadoo daołtsání da; t'óó iinéé' t'éí dasidoots'ą́ą́'. 
5:4:013:0	Áádóó bibee aha'deet'áanii nihich'į' yaa yáłti'ígíí bik'eh ádanoht'ée doo biniyé yee nihich'į' haadzíí'; éí neeznáago bik'eh ó'oo'níiłii tsé dilkǫǫhii naakigo bikáa'gi yee ak'e'ashchį́. 
5:4:003:1	Eda'alyaii bich'į' nahadlá yóweh ho'doo'niid
5:4:014:0	Íídą́ą́' Bóhólníihii shich'į' yee haadzíi'ii éí yee nihwiiz'áanii áádóó yee nihodii'aahii bee nanihinishtingo éí bik'eh ádanoht'éego kéyah biih doohkahígíí ádíí' ádadoohłííł. 
5:4:015:0	Éí bąą ts'ídá hazhó'ó ádaa ádahołyą́, háálá Dził Hórebgi kǫ' bii'dóó Bóhólníihii nihich'į' haadzíí' yę́ędą́ą́' ats'íisgi át'éii t'áadoo daołtsą́ą da. 
5:4:016:0	T'ááká t'áá nihí ádadoołchxǫǫh lágo, áádóó t'áadoo le'é be'elyaii biką'ii, doodaii' bi'áadii noolningo ádá ádaołnééh lágo. 
5:4:017:0	Áádóó nahasdzáán bikáa'gi e'elyaii naaldlooshii noolningo, doodaii' yót'áahdi tsídii nidaat'a'ii noolningo, 
5:4:018:0	doodaii' ni'góó nidaa'na'ii noolningo, doodaii' táyi' łóó' nida'ałkǫ́ǫ'ii noolningo ádá ádaołnééh lágo. 
5:4:019:0	Áádóó yá bich'į' dadínóh'į́į'go jį́honaa'éí áádóó tł'éhonaa'éí índa sǫ' t'áá éí yót'ááh dahiníláii t'áá ałtso bich'į' nahojóła'ígi la' át'é; bá nijól'a'ígi la' át'é t'áadoo danohsiní; jó, éí Bóhólníihii nihiDiyin God nilíinii yádiłhił biyaagi ał'ąą dine'é t'áá ałtso yá áyiilaa. 
