5:28:001:1	Ak'eh hól'į́ binahjį' ak'ihojidlíii
5:28:001:0	Áádóó kót'ée doo: Bóhólníihii nihiDiyin God áníinii haleebee deísółts'ą́ą'go ádaa dadoohsįįłii bibik'eh ó'oo'níiłii t'áá át'é bik'eh dahonoł'į́į doo biniyé díí jį́ bee nihich'į' haasdziih, áko Bóhólníihii nihiDiyin God éí nahasdzáán bikáá'góó ał'ąą dine'é t'áá ałtso biláahgo ádanoht'éego ánihidoolííł. 
5:28:002:0	Díí ak'ihojidlí t'áá ałtso bee nihik'idahojidlíi doo; Bóhólníihii nihiDiyin God áníinii deísółts'ą́ą'go ákót'ée doo. 
5:28:003:0	Kin haal'áagi kéédahoht'į́įgo nihik'idahojidlíi doo áádóó dadzígaigi kéédahoht'į́įgo nihik'idahojidlíi doo. 
5:28:004:0	Nihits'ą́ą́dóó nidahachíihii bee nihik'idahojidlíi doo áádóó nihidáda'ak'eh bits'ą́ą́dóó aneest'ą' áádóó nihilį́į́' nidahachíihii áádóó nihibéégashii índa nihidibé k'ee'ąą deílzhíishgo bee nihik'idahojidlíi doo. 
5:28:005:0	Nihits'iizis bii' nooh nída'ołchíihii bee nihik'idahojidlíi doo áádóó nihibii' táá'oo'nihí bee nihik'idahojidlíi doo.  
5:28:006:0	Yah anídaohkahgo nihik'idahojidlíi doo áádóó ch'éédaohkahgo nihik'idahojidlíi doo. 
5:28:007:0	Bóhólníihii éí nihida'ana'í nihik'ijį' náádadiibahígíí nihinááł nidabi'ditseedgo áyósin doo; t'ááłáhídę́ę'go nihich'į' náádadiibah doo, áádóó nihits'ą́ąjį' tsosts'idgóó tanídanoochéeh doo. 
5:28:008:0	Bóhólníihii éí kin bii' nooh nída'ołchíihii áádóó bindadoołnishígíí t'áá át'é yee nihik'ijidlíi doogo yee hahadziih doo índa Bóhólníihii nihiDiyin God éí kéyah nihaidiní'ánígíí bikáa'gi nihik'ijidlíi doo. 
5:28:009:0	Bóhólníihii t'áá bí ádá chánahgo diné dadiyinii danohłį́įgo ánihidoolííł; jó, ákót'éego nihich'į' yee ádee hadoodzíí'; Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii bik'eh dahonoł'į́įgo áádóó bik'eh deínóhkáahgo chánah danohłį́į doo. 
5:28:010:0	Áádóó nihokáá' dine'é t'áá ałtso éí Bóhólníihii bízhi' binahjį' danihi'dójíigo yaa ákodaniizį́į'go nihik'ee bił daayée' doo. 
5:28:011:0	Bóhólníihii éí nihinaadeełí áádóó nihits'ą́ą́dóó nidahachíihii áádóó nihilį́į́' nidahachíihii índa nihidáda'ak'ehdóó aneest'ą' lą'í nihee nídahoodleełgo íidoolííł; danihizhé'é yę́ę kéyah yeididoo'áałgo yich'į' yee ádee hadoodzíi'ii bikáa'gi nihik'idahojidlíigo íidoolííł. 
5:28:012:0	Áádóó Bóhólníihii bee hólóonii ílíinii bá haz'ą́ą́dóó ąą ánáyiil'įįhgo yádiłhił biyi'dę́ę́' níłtsą́ baa náhwiilzhíishgo nihikéyah bikáa'jį' ninéíłtį́įh doo áádóó bindaołnishígíí t'áá ałtso yee nihik'ijidlíi doo, índa ał'ąą dine'é t'óó ahayóí éí yáál bada'ayohníił doo, nidi nihí éí doo yáál nihada'iiníił da doo. 
