5:10:001:1	Naaki góne' tsé bik'ináá'áshchíinii
5:10:001:0	Ákwii nahalzhiish yę́ędą́ą́' Bóhólníihii áshidííniid, T'áá átséédą́ą́' tsé dilkǫǫhii naaki hasht'eelyaa yę́ęgi át'éego ádíílííł, áádóó dziłghą́ą'di shaa díínááł, áko tsits'aa' dílzinii ałdó' ádíílííł. 
5:10:002:0	Áádóó t'áá átséédą́ą́' tsé dilkǫǫhii hasht'eelyaago nisíníłtseedígíí t'áá éigi át'éego tsé hasht'enáádíídlíłígíí bikáa'gi saad bee ak'e'deeshchííł, índa éí tsits'aa' dílzinii biih díínił. 
5:10:003:0	Áko tsin nitł'izii bee tsits'aa' dílzinii íishłaa, áádóó t'áá átséédą́ą́' yę́ęgi át'éego tsé dilkǫǫhii naakigo hasht'e'nibí'nítséelgo éí dziłghą́ą́'góó dah diijaa'. 
5:10:004:0	Éí bikáa'gi neeznáago bik'eh ó'oo'níiłii Bóhólníihii yee ak'e'ashchį́; t'áá átséédą́ą́' bee ak'e'ashchínígíí bik'ehgo áłah nohłį́ bijį́į́dą́ą́' dził bąąhdę́ę́' kǫ' biyi'dóó Bóhólníihii nihich'į' hahaasdzíí' áádóó tsé dilkǫǫhii sheinínil. 
5:10:005:0	Áko dziłghą́ą́'dę́ę́' hadanáásdzáago tsé dilkǫǫhii éí tsits'aa' dílzinii íishłaaígíí biih yínil, áko Bóhólníihii shich'į' yee haadzí'ígi át'éego ákwii ninínil. 
5:10:006:0	Áádóó Ízrel dine'é danilíinii éí Jéíyakan ba'áłchíní náás ahoolchíiłii bitó hadahadleeh Biyérath hoolyéédóó dah diináago Mosíírah nahós'a'gi niníná; ákwii Éran daaztsą́ągo yóó'ábi'diilyaa, índa biye' Eliyéízar wolyéii hatsásk'ehgi naal'a'go náá'iiłniihii náánásdlį́į́'. 
5:10:007:0	Áádóó Gadgódah hoolyéégóó dah náázhdii'ná, índa Gadgódah hoolyéédóó Játbatha hoolyéejį' náájí'ná; éí kéyahgi tooh danílį́. 
5:10:008:0	Ákwii nahalzhiish yę́ędóó Bóhólníihii éí Líívai dine'é t'áá sahdii niinínil, áko Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii nidei'áa dooleeł áádóó Bóhólníihii binááł na'al'a' bee nidzizį́į doo, índa díí jį́į́góó bízhi' baa dahojiniih doo. 
5:10:009:0	Éí bąą Líívai dine'é danilíinii hak'isóó bíí' dooleełii doo bił ałts'ą́ą́' da'jíłk'iiz da doo; Bóhólníihii hwíí' dooleełii nilį́į doo; jó, Bóhólníihii nihiDiyin God yee nihoní'áanii bik'ehgo ákót'ée doo. 
5:10:010:0	Áádóó t'áá átséédą́ą́' íisdzaa yę́ęgi át'éego dziłghą́ą'di dízdiin jį́ áádóó dízdiin tł'éé' shee náá'ásdlį́į́'; íídą́ą́' ałdó' Bóhólníihii shidiizts'ą́ą́', áko Bóhólníihii t'áadoo ánihisdįįd da. 
5:10:002:1	Diyin God yinízinii
5:10:011:0	Áádóó Bóhólníihii áshidííniid, Nídii'néehgo dine'é bilą́ąjį' dah diinááh, áko kéyah baa dideesh'áałgo dabizhé'é yę́ę bich'į' bee ádee hadeesdzíi'ii yiih doonéełgo ádíí' ádeidoolííł. 
5:10:012:0	Áko k'ad Ízrel dine'é nohłíinii, ha'át'íísh Bóhólníihii nihiDiyin God yee nihá has'ą́? Díí lą́ą: Bóhólníihii nihiDiyin God dadíínóhsin, áádóó bik'ehgo deínóhkáahgo ayóó'ádeínóh'níi doo, índa nihijéí t'áá át'é bee áádóó nihii' sizíinii t'áá át'é bee Bóhólníihii nihiDiyin God bá nidaał'a' doo. 
5:10:013:0	Bóhólníihii bibik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii bik'eh dahonoł'į́; éí díí jį́ bee nihich'į' haasdzí'ígíí ts'ídá nihá yá'át'ééh. 
5:10:014:0	Jó, yádiłhił áádóó yót'ááh biláahdi yá'ąąshii índa ni' nidahonees'ą́ąjį' bii' dahólóonii t'áá ałtso éí t'áá bił Bóhólníihii nihiDiyin God bíí' ádaat'é. 
5:10:015:0	Éí ákót'éego Bóhólníihii nilíinii danihizhé'é yę́ę yaa bił hózhǫ́ǫgo ayóó'áyó'níí nít'éé' índa bits'ą́ą́dóó náás da'ahílchíihii néidiinil; éí díí jį́ át'éhígi át'éego nihokáá' dine'é t'áá ałtso biláahgo nihí nánihidiinil. 
5:10:016:0	Éí bąą ąąh náhinilgishiigi át'éego nihijéí diyingo ádaolne' áádóó ák'eha'į́ bee nabída'didzilii t'áadoo danohłíní. 
5:10:017:0	Háálá Bóhólníihii nihiDiyin God éí diyin dabidi'níinii yiDiyin God nilį́, áádóó bídahólníihii yiBóhólníihii nilį́; Diyin God ts'ídá ayóó át'éii áádóó ayóó ábóodziilii índa bits'áhoníyée'ii nilį́. Diné doo ła' a'ohgo yaa nitsíkees da, índa aa doolyéełii doo néidiilée da. 
5:10:018:0	Áádóó áłchíní bizhé'é ádaadinii índa asdzání bąąh ádahasdįįdii t'áá ákogi át'éego yá nihodii'aah, áádóó dé'éyóní danilíinii ayóó'áyó'níigo ch'iyáán áádóó éé' yee yaa jooba'. 
5:10:019:0	Éí bąą dé'éyóní ayóó'ádeínóh'ní, háálá Ííjip kéyahdi nihí ałdó' dé'éyóní danohłį́į́ nít'éé'. 
5:10:020:0	Bóhólníihii nihiDiyin God dadíínóhsin, áádóó t'áá bí t'éí bá nidaał'a', áádóó t'áá bí t'éí bąąh dashoojéé' índa bízhi' bee ádee hadahidohdziih. 
5:10:021:0	Bí baa dahohniihii nilį́ áádóó bí nihiDiyin God nilį́; ayóó ádaat'éii índa bik'eda'íyée'ii nihá yaa naagháago danóoł'į́į́'. 
5:10:022:0	Danihizhé'é yę́ę tsosts'idiin yilt'éego Ííjip kéyah góyaa yíkai, áádóó k'ad éí yádiłhił biyi'di sǫ' ánéelą́'ígi ánóohłą́ą'go ánihiilaa. 
