5:7:001:1	Bóhólníihii bá dine'é dadiyinii
5:7:001:0	Bóhólníihii nihiDiyin God éí kéyah nihíí' ádadoohłííł biniyé yiih nihíí'eezhgo, ał'ąą dine'é t'óó ahayóí nihinááł baa ch'éheezhjée'go, jó, éí Het dine'é, Gérgash dine'é, Ámor dine'é, Kéínan dine'é, Píírez dine'é, Háíva dine'é índa Jííbas dine'é danilį́įgo tsosts'idgo ał'ąą dine'é danilíinii nihiláahgo ayóó ádaat'é índa ayóó ádabóodziil; 
5:7:002:0	Bóhólníihii nihiDiyin God nihinááł nihílák'ee dahodiiz'ą́ągo bik'ijį' nidaahbaah doo, áádóó ałtso ádadoołdįįł; doo bił ahadadi'dooht'áał da, doo nidi baa a'ááh dadínóosįįł da. 
5:7:003:0	Doo nidi bił aháda'doohheh da: t'ááká nihitsi'ké éí biye'ké bił ahaa dahohnííł lágo, doodaii' t'ááká bitsi'ké éí nihiye'ké yił ahaa dahakááh lágo. 
5:7:004:0	Háálá nihiye'ké shikéé' deíkáhígíí shits'áhidookahgo diyin dabidi'níinii yich'į' nidahałáago ádeidoolííł, áko Bóhólníihii nihich'į' hashké dínóodzįįłgo t'áadoo hooyání ałtso ánihidoołdįįł. 
5:7:005:0	Nidi nihí t'éí bich'į' kódaaht'į́į doo: yikáá'dóó nááda' iiłniihígíí nidahołchxǫǫh doo, áádóó eda'alyaii nidahohtíih doo, áádóó bihodiyingo nahaz'ánígi eda'alyaii k'ídahołne' doo, índa nidaask'ęę'go eda'alyaii bits'ą́ą́' adahidołk'ą́ąh doo.  
5:7:006:0	Háálá Bóhólníihii nihiDiyin God bidine'é dadiyinii danohłį́. Bóhólníihii nihiDiyin God t'áá bí ádá nánihidiinilgo nahasdzáán nidahonees'ą́ą́góó ał'ąą dine'é danilíinii t'áá ałtso biláahdi át'éego t'áá sahdii dine'é danohłį́į doo nízin. 
5:7:007:0	Bóhólníihii ayóó'ánihó'níigo nánihidiinil. Dine'é náádaała' biláahdi ánóohłą́ą'go éí doo biniinaa da. Jó, ał'ąą dine'é t'áá ałtso bi'oh ánóołt'e'. 
5:7:008:0	Nidi Bóhólníihii ayóó'ánihó'nínígíí biniinaa áádóó danihizhé'é yę́ę yich'į' kéyah yee ádee hadoodzíi'go t'áádóo nídí yee nihoní'ánígíí yi'doolíłígíí biniinaa Bóhólníihii bigaan ayóó ábóodziilii yee háánihíí'eezh índa naalte' danohłį́į́ nít'éé' yę́ędę́ę́', t'áá éí Féro bits'ą́ąjį' nihik'é niná'ídlá, 
5:7:009:0	éí bąą díí baa ákodanoozį́į́': Bóhólníihii nihiDiyin God, bí Diyin God nilį́; bí Diyin God ba'ahódlíii nilį́; éí bibee aha'deet'áanii áádóó yee a'ááh nízinii ayóó'ádabó'níinii índa bibik'eh ó'oo'níiłii yik'eh dahół'íinii miildi ałk'i ná'iyoochííłgóó yá yi'ósin. 
5:7:010:0	Nidi dajijoołxáii t'áá dahanii'jį' k'ééhodidoodlíiłgo áhodoołdįįł; doo na'áhodilziidgóó éí jijoołxáhígíí t'áá hanii'jį' k'ééhodidoodlííł. 
5:7:002:1	Ak'eh hól'į́ biniit'aa ak'ihojidlíii
5:7:011:0	Éí bąą bik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii índa yee nihodii'aahii bik'eh dahonół'į́; éí díí jį́ bee nihich'į' haasdzí'ígíí bik'eh ádaahnééh. 
5:7:012:0	Kót'ée dooleeł, díí yee nihodii'aahii deísółts'ą́ą'go bik'eh dahonoł'į́įgo áádóó bida'íínóhsingo Bóhólníihii nihiDiyin God bibee aha'deet'áanii áádóó aa a'ááh nízinii danihizhé'é yę́ę yich'į' yee ádee hadoodzíi'ii yi'doolííł. 
5:7:013:0	Áko ayóó'ánihó'níi doo áádóó nihik'ijidlíigo k'ee'ąą nihinoołt'į́įł doo; nihada'áłchíní ałdó' yee nihik'izhdoodliił, áádóó nihikéyah bikáá'góó aneest'ą' dahodooleeł; éí tł'oh naadą́ą́' áádóó wáin índa áliv tsin naazkaadii bik'ah bee ída'doozįįł. Béégashii índa dibé dah danéelkaadii k'ee'ąą nídadilzhishgo yee nihik'izhdoodliił; éí kéyah danihizhé'é yę́ę yich'į' yee ádee hadoodzíi'ii nihaididoo'áałgi kóhoot'ée doo. 
5:7:014:0	Dadine'é t'áá ałtso biláahgo nihik'idahozhdoodliił; asdzání danohłíinii índa diné danohłíinii doo ła' nihada'áłchíní nihąąh yit'į́į da doo áádóó nihilį́į́' ał'ąą ádaat'éii doo ła' biyázhí bąąh yit'į́į da doo. 
5:7:015:0	Áádóó Bóhólníihii éí naałniih t'áá ałtso nihits'ą́ąjį' kwíidoolííł, índa Ííjip kéyahgi doo yá'át'éehii naasnii'ígíí nihił béédahózinígíí éí doo nihik'ijį' kwíidoolíił da, nidi danihijoołxáii t'áá ałtso éí yik'ijį' kwíidoolííł. 
5:7:016:0	Áádóó Bóhólníihii nihiDiyin God nilíinii diné nihich'į' yi'iiłníihii t'áá ałtso ádadoołdįįł; doo ła' baa a'áhí dadínóohsįįł da, áádóó t'ááká bidiyin dabidi'níinii bich'į' nidahohłáh yíila', jó, ákódaaht'į́įgo łoh nihąąh niidoo'ááł.  
5:7:017:0	T'áá ádíyi'ídi kódííníniidgo, Díí ał'ąą dine'é shilááh ánéelą́ą'go haash yit'éego bik'eh dideeshdleeł? 
5:7:018:0	T'áadoo béédaałdzidí, nidi díí yéego béédaałniih: Bóhólníihii nihiDiyin God nilíinii éí Féro wolyéii índa Ííjip dine'é yich'į' áát'įįdígíí; 
5:7:019:0	éí ayóó át'éego na'íhoneestą́ą'ii danóoł'į́į'ii éí bee éédahózinii áádóó ayóó át'éego áhooníiłii índa Bóhólníihii nihiDiyin God bíla' ayóó ábóodziilii áádóó bigaan bits'áhoníyée'ii yee ch'ínihiní'eezhígíí béédaałniih. T'áá éigi át'éego diné béédaołdzidígíí t'áá ałtso ałdó' Bóhólníihii nihiDiyin God éí yich'į' hodiyoołnááł. 
5:7:020:0	Nááyówehgo, Bóhólníihii nihiDiyin God éí tsés'náłtsooí hatahjį' yi'doołnih; nidahaasdzí'ígíí t'áá bí nihits'ąą nida'ádinil'inígíí ałtso ábi'disdįįdjį' yi'doołnih. 
5:7:021:0	T'áadoo béédaołdzidí, háálá Bóhólníihii nihiDiyin God nihitahgi hólǫ́; éí Diyin God ayóó ábóodziilii áádóó bik'e'íyée'ii nilį́. 
5:7:022:0	Áádóó Bóhólníihii nihiDiyin God éí ał'ąą da'ana'í t'áá ahíłkéé' bihidijáahgo ádaałch'į́į́dígo nihinááł hainiiłkaad doo; doo t'áá łahjį' ałtso ádadoołdįįł da, áko naaldlooshii dahashkéii doo nihide dooląął da. 
5:7:023:0	Nidi Bóhólníihii nihiDiyin God ałtso nihaa hodidoo'ááł áádóó tídadoł'į́įgo ayóó át'éego bił nídahadląąhgo doo bił chodahodoo'įįł da; ałtso ádasoołdįįdjį' ákót'ée doo. 
5:7:024:0	Áádóó aláahgo binanit'a'í danilínígíí nihílák'ee yidii'aahgo yádiłhił biyaagi yízhí bee béédaho'dílzinígíí dadoołchxǫǫł, índa nihinááł diné ła' na'abaah doo yíneel'ą́ą́góó ałtso ádasoołdįįdjį' ákót'ée doo. 
5:7:025:0	Bida'alyaii diyin dabidi'níinii adahididoołk'ą́ą́ł; eda'alyaii bąąh béésh łigaii, doodaii' óola bee nidaashch'ąą'ígíí t'áadoo bidádanoołníní, índa doo ła' ádá ą́ą́dadoohsįįł da, áko doo nihida'doodloh da, háálá éí Bóhólníihii nihiDiyin God t'óó bił baa'ihgo doo yił ni'íłdįįh da. 
5:7:026:0	Áádóó doo yildinii doo nihighan góne' yah adoohłéeł da, áko éí doo bee hóyée'go nihá ha'doodzih da, nidi doo hasht'é'égóó dajiinołháa doo, áádóó doo hasht'é'égóó bik'ee dadinohniih doo, háálá hóyée'go bá ha'oodzíi'ii át'é.
