66:2:001:1	Ephesus Kwaiik'it Gwachoo gwizhit Tr'igiinkhii Zheh Eenjit Gwadanakhwatł'oo
66:2:001:0	“ Jii t'ee Ephesus gwizhit tr'igiinkhii zheh gwats'an zheekat gwich'in eenjit : “ Jii ginjik t'ee juu danli' shriits'ąįį są' ( 7 ) ootą' ts'ą' zhit gold khwaiidaak'a' vakat doo'aii ( 7 ) kwaii tee gwa'an neehidik vats'an t'inchy'aa .
66:2:002:0	Deekhwazhit nakhwaashandaii t'oonchy'aa , deegwahtł'oo gwitr'it t'agwah'in ts'ą' deegwahtł'oo khai'gwidlii ǫhłįį nakhwaashandaii . Dinjii tr'aanduu nąįį tr'ǫhdaii ts'ą' juu Tr'ihił'e' ihłii ginyąą nąįį łi'deegidlii ji' geenjit gook'ǫǫhtii , gaa deeginyąą ąįį gwik'it t'iginchy'aa kwaa łee , ts'ą' goots'it gook'oonjik .
66:2:003:0	Khai'gwidlii ǫhłįį , shęh'an khaiinjich'akhwaghit gaa deekhwa'in akhagohnyąą kwaa .
66:2:004:0	Gaa jii t'ee gwiizųų t'akhwa'ya' nakhwaihnyąą : Tr'ookit sheet'ǫhthan ąįį gwik'it juk sheet'ǫhthan kwaa .
66:2:005:0	Deegwahthee neet'oonąįį gininjich'ohthat ! Nakhwatr'agwaanduu ts'an an-needǫǫ'ee ts'ą' tr'ookit gwik'injohkhit dąį' deekhwazhit gwik'it t'akhwa'in . Nakhwatr'agwaanduu ts'an an-needǫǫ'ee kwaa ji' nakhwats'ą' hihshyaa ts'ą' nakhwakhwaii daak'a' vakat doo'aii nijin dhoh'ąįį gwats'an oohihdal t'oonchy'aa .
66:2:006:0	Gaa jii t'ee gwinzii t'akhwazhit : Nicolaitans deegii'in łyaa zhyaa geet'iihthan kwaa gwagwahtł'oo nakhwant'ee łyaa zhyaa geet'ohthan kwaa ąįį gwinzii .
66:2:002:1	Smyrna Eenjit Gwadanakhwatł'oo
66:2:007:0	“ Nakhwadzee gwanlii ji' , Ch'anky'aa Shroodiinyąą tr'igiinkhii zheh kwaii dahnyąą gwadǫǫhk'ii ! Juu gwik'injigwiighit zhit gaiiyiigwiłtsąįį nąįį zheekat gwizhit Vit'eegwijyąhchy'aa vagwanzhih deek'it dachan kat jak khit vaagwarandaii nahshii ts'an ch'igihee'aa t'oonchy'aa . ”
66:2:008:0	“ Smyrna gwizhit tr'igiinkhii zhit gwizheekat gwich'in nąįį digiiyaantł'oo : Jii dęhtły'aa t'ee juu tr'ookit ts'ą' khaiinkǫǫ nilii ts'ą' niindhat ts'ą' chan hee neegwiindaii vats'an t'inchy'aa .
66:2:009:0	Nakhwaa gwiizųų ts'ą' nakhwaa gwagwantrii nakhwaashandaii gaa łyaa gwintsii nakhweegoo'aii t'oonchy'aa . Zhit juu Jews ihłii nyąą nąįį Jews ginlii kwaa gaa t'iginyąą ąįį nąįį tr'agwaanduu nits'į' t'inchy'aa haa neegiginkhii gaashandaii t'oonchy'aa . Dinjii lęįį khaihłok Satan eenjit gwitr'it t'agwah'in nąįį , t'igiinchy'aa .
66:2:010:0	Khaiinjich'ineheeghit geenjit noojat shrǫ' . Ch'oodǫǫhk'įį ! Ch'anky'aa Tr'aanduu shroondaii zhee gwaazhrąįį nanahkwaheelyaa ts'ą' drin ( 10 ) gahkhyuk datthak nakhwaa gweheezųų t'oonchy'aa . Sheenjit nakhohthaa ji' gaa nihk'it shik'injuhkhit , ąįįtł'ęę gwandaii ndaanąą'ąį' kwaa gaiiyiidhohtsąįį nakhwantł'eehih'aa t'oonchy'aa .
66:2:003:1	Pergamum Kwaiik'it Gwachoo Eenjit Gwadanakhwatł'oo
66:2:011:0	Nakhwadzee gwanlii ji' , zhit Ch'anky'aa Shroodiinyąą tr'igiinkhii zheh kwaii dahnyąą gwadǫǫhk'ii ! Juu gaiiyiigwiłtsąįį nąįį duuyeh ndaanąą'ąį' kwaa haa chan hee nigiighit t'oonchy'aa . ( Van kǫ' daak'a' t'ee second time nigiindhat t'oonchy'aa . ) ”
66:2:012:0	“ Pergamum tr'igiinkhii zheh gwizheekat gwich'in diiyaantł'oo : Jii dęhtły'aa t'ee zhit juu shrii choo veek'i' neekwaii gwanlii ootą' vats'an t'inchy'aa .
