66:10:001:1	Zheekat Gwich'in ts'ą' Dęhtły'aa Nakhwadǫǫ Tsal Haa .
66:10:001:0	Zheekat gwich'in niint'aii , zheezhit gwats'an k'iidąą ahaa nał'in . Zheek'ǫh vanooljik k'it t'inchy'aa ts'ą' viki' eelin chan shreevyaa nakhwat'aii ; vinin drin oozhrii k'it adrii , ts'ą' vatth'an kwaii chan ts'iivii neekwaii k'iidak kǫ' daak'a' k'it t'inchy'aa .
66:10:002:0	Dantł'ee dęhtły'aa nakhwadǫǫ tsal ootą' . Shriits'ąįį dakwai' chųų choh kat deelyuu ts'ą' tł'ohts'ąįį dakwai' chan nankat deelyuu .
66:10:003:0	ts'ą' lion hahchik k'it t'inyąą ts'ą' gwint'aii khaginkhee . Khaginkhee tł'ęę , nahtan seven łąą yidii khoołtin , gwizhit gwideezhuh dihtth'ak .
66:10:004:0	Khaginkhee gwagwahkhan gwidihihtł'oo gaa chan zheezhit gwats'an gwideezhuh jyaa dinyąą gwiihtth'ak , “ Nahtan seven nąįį deeginyąą nagwąą'įį , gwadoiintł'oo shrǫ' ! ” gwinyąą .
66:10:005:0	Ąįįtł'ęę zhit zheekat gwich'in , chųų choh ts'ą' nankat haa nadhat shriits'ąįį danli' oodak zheekat gwats'ą' niłjik nał'in ,
66:10:006:0	ts'ą' Vit'eegwijyąhchy'aa voozhri' zhit deehee'yaa nyąą ąįį gwik'it t'ihee'yaa nyąą , Vit'eegwijyąhchy'aa juu khit ts'ą' khit geenjit gwandaii , juu zheezhit , nan kat datthak ts'ą' chųų zhit kwaii datthak gwiłtsąįį . “ Chan duuyeh nagwarool'in !
66:10:007:0	Gaa nijin zheekat gwich'in seventh nilii da-trumpet zhiinzhol ąįįtł'ęę t'ee Vit'eegwijyąhchy'aa deehee'yaa nagwah'įį gwik'it t'ihee'yaa , jidii gwik'injiighit nąįį ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį daihnyą' ąįįt'ee gwik'it t'ihee'yaa . ” zheekat gwich'in nyąą .
66:10:008:0	Tł'ęę zhit gwideezhuh dihtth'ak chy'aa chan hee zheezhit gwats'an shats'ą' khaginkhee ts'ą' jyaa nyąą , “ Zhit zheekat gwich'in chųų choh ts'ą' nankat haa nadhat vats'a' hinkhaii ts'ą' vantł'ee dęhtły'aa nakhwadǫǫ oiinjii . ” Shahnyąą .
66:10:009:0	Zheekat gwich'in vats'a' hoiizhii ts'ą' ąįį dęhtły'aa nakhwadǫǫ tsal shantł'eiin'ąįį vaihnyąą . T'ashahnyąą , “ Oiinjii ts'ą' in'aa ; nazhrak zhit tr'aakaii nahaadhal t'inchy'aa , gaa niighit ąįį ch'ineendzit soongąįį k'it gwinzii vagwahaandaii t'inchy'aa , ” nyąą .
66:10:010:0	Dęhtły'aa nakhwadǫǫ vanli' ts'an oodhiijik ts'ą' ii'al , ts'ą' łyaa ch'ineendzit soongąįį k'it gwinzii vagwaandaii gaa hooltłee ąįįtł'ęę shavat zhit khiits'at naanaii .
66:10:011:0	Ąįįtł'ęę chan t'asharahnyąą ; “ Chan hee nahkat gwich'in , dinjii nihłehjuk t'iichy'aa , dinjii nihłehjuk ginjik giginkhii , ts'ą' K'eegwaadhat choo nąįį gooveenjit ( Jii deegweheenjyaa gwinyąą ) Vit'eegwijyąhchy'aa vagwandak eeginkhii . ” sharahnyąą .
