66:6:001:1	Łangwidhidzii Kwaii
66:6:001:0	Ąįįtł'ęę divii gii , zhit 7 łangwidhidzii ts'an ch'ihłak tr'ookit nihky'aa oonjik nał'in ts'ą' Vit'eegwijyąhchy'aa gwandaii dǫǫ ( 4 ) iłtsąįį ch'ihłee gwideezhuh nahtan hahchik k'it “ Aanaii ! ” nyąą dihtth'ak .
66:6:002:0	Gwał'in akhai' dinjii k'iłtai' ootą' ts'ą' diiki' kat doo'aii naa'aii ts'ą' łąįį choh daagąįį kat doodii nał'in . Gaiiyiigwiłtsąįį ts'ą' chan hee gaiiyiigwahahtsyaa geenjit gwats'ą' ahaa k'it t'ii'in .
66:6:003:0	Ąįįtł'ęę Divii Gii łigwidhidzii ( second ) gwats'ąįį nihky'aa oonjik ; ts'ą' Vit'eegwijyąhchy'aa gwandaii dǫǫ ( 4 ) iłtsąįį gwats'ąįį dhidii , “ Aanaii ! ” nyąą dihtth'ak .
66:6:004:0	Ch'izhii łąįį choh daatsik gwats'an tr'iinzhii nał'in . Juu yakat doodii ąįį dzaa nankat nihłeeriighan gwahahtsyaa geenjit t'aih vantł'eerin'ąįį , dinjii nąįį nihłeegiheeghan geenjit . Shriichoo veek'i' neekwaii gwanlii vantł'eeriintin łee .
66:6:005:0	Tł'ęę Divii Gii łigwidhidzii tik dha'aii nihky'aa oonjik ts'ą' Vit'eegwijyąhchy'aa gwandaii dǫǫ iłtsąįį ąįį tik dhidii “ Aanaii ! ” nyąą dihtth'ak , gwał'in akhai' łąįį choh azhrąįį nał'in . Juu yakat doodii ąįį danli' zhit vaagwik'ee ch'agwarahdii ( scale ) ootą' nał'in .
66:6:006:0	Zhit Vit'eegwijyąhchy'aa gwandaii dǫǫ ( 4 ) iłtsąįį nąįį ts'an ch'iihahchik ts'ą' jyaa digwinyąą gwiihtth'ak : “ Drin ch'ihłak gwitr'it t'agwarah'ya' geenjit tł'oo niłshįį ( Wheat ) ch'ihłak quart aanchy'aa gwaroonkwat , ts'ą' gwitr'it t'agwarah'ya' geenjit barley haa quart tik aanchy'aa gwaroonkwat . Gaa zhit Olive ts'iivii ts'ą' jak choh deek'it kwaii haa an gohtsyaa shrǫ' ! ” nyąą .
66:6:007:0	Tł'ęę Divii Gii łigwiłdzii dǫǫ dha'aii nihky'aa oonjik ; ts'ą' Vit'eegwijyąhchy'aa gwandaii iłtsąįį ąįį dǫǫ dhidii , “ Aanaii ! ” nyąą dihtth'ak !
66:6:008:0	Gwał'in akhai' , łąįį choh avee ( pale green ) k'it t'inchy'aa nał'in . Juu yakat doodii t'ee ch'ichį' ts'ą' ch'ichį' deek'it ( Hades ) varahnyąą , gwantii nahgwan ahaa . Dzaa nankat ¼ gwats'ą' k'eedeegwahaadhat gooriłtsąįį łee . Nihłeeriighan , shih kwaa nagwahaadhal , ts'ik nihłehjuk t'iichy'aa ts'ą' nin iizųų kwaii haa dinjii giheeghaa geenjit .
66:6:009:0	Ąįįtł'ęę Divii Gii łigwiłdzii ch'ihłoanli' ( 5 ) dha'aii nihky'aa goonjik . Ataiinjii tr'ahtsii deek'it ( Altar ) gwit'eh , juu Vit'eegwijyąhchy'aa viginjik gweedhaa datthak eegwaandak ts'ą' łi'didlii haa gwagwah'ya' ts'ą' geegwagwaandak nąįį goovanky'aa nał'in .
66:6:010:0	Gwint'aii gazhral haa jyaa diginyąą : “ Shroodiinyąą ts'ą' łi'didlii , Vit'eegwijyąhchy'aa jiintsii ! Dahthee ji' dzaa nankat gwidinjii nąįį khaiinjich'agoohahthat ts'ą' goohaankat t'oonchy'aa diigeełkhwąįį geenjit ? ”
66:6:011:0	Gooteegwagwaanchy'aa ts'ą' ch'adak ik daagąįį ninjyaa goovantł'eerinlii ts'ą' tth'aii hee gwintsal nagoodhoo'in goorahnyąą . Dahthee juu slave nilii ts'ą' gwik'injiighit nąįį daanchy'aa Vit'eegwijyąhchy'aa googha' goovoonyąą agwaanchy'aa giheeghaa gwats'ą' . Ąįį gwik'it t'iheechy'aa .
66:6:012:0	Ts'ą' Divii Gii łangwidhidzii nihk'iitik ( 6 ) dha'aii nihky'aa goonjik . Izhit , nan gwint'aii daatrat , ts'ą' drin oozhrii chan gwach'aa zhrąįh veediłtsuu k'it azhrąįį naanaii , ts'ą' tǫǫ oozhrii datthak chan dah daatsik k'it daatsik naanaii .
66:6:013:0	Są' kwaii oodaa dzaa nankat gwats'ą' niinjil , gwint'aii ahtr'aii haa ts'iivii ts'an Figs dineezhri' kwaa neiinjil k'it t'iizhit .
66:6:014:0	Dęhtły'aa neeraandǫǫ k'it zheetii k'igwaanaii , ts'ą' zhit ddhah ts'ą' njuu kwaii datthak gihłeehaajil .
66:6:015:0	Tł'ęę nankat gwats'an nahkat gwats'ą' k'eedeegwaadhat choo nąįį , k'eedeegwaadhat nąįį , ts'ą' niveet'ah'in khaihkwaii nąįį , gwintsii gooveegoo'aii ts'ą' goot'aii gwanlii nąįį , slaves nąįį ts'ą' slave nilii kwaa nąįį datthak ddhah kat kii t'eh ts'ą' ch'a'an gwizhit gweedii goh'ik ch'agąą'įį .
66:6:016:0	Zhit ddhah ts'ą' kii haa ts'ą' gazhral jyaa diginyąą , “ Juu k'eedeegwaadhat ts'ą' yakat doodii ts'ą' Divii Gii vik'įį gwanlii nąįį diigahah'yaa gwits'į' diik'aa needaanghyii . ” ginyąą .
66:6:017:0	Gook'įį gwanlii geh'an googwantrii drin teegoodhat , ts'ą' juu dee goots'į' t'iheechy'aa ?
