66:21:001:1	Zhee , Nan Haa K'eejit Neekhwadlit
66:21:001:0	Zhee , nan haa k'eejit neekhwadlit gwał'ya' . Tr'ookit zhee ts'ą' nan goodlit kwaii k'igwaajil ts'ą' chųų choo chan hiljii naanaii .
66:21:002:0	ts'ą' Kwaiik'it Gwachoo Shroodiinyąą , k'eejit neekhwadlit , Jerusalem goozhii , zheezhit k'iidąą Vit'eegwijyąhchy'aa vats'an daadhal nał'in , tr'injaa tr'oohaanjik , k'it gwach'aa naazhii , dakai' hah'yaa geenjit .
66:21:003:0	K'eedeegwaadhat ts'ą' yakat doodii ts'an gwideezhųh gwint'aii hahchik dihtth'ak : “ Juk Vit'eegwijyąhchy'aa t'ee dinjii nąįį haa t'inchy'aa , goovaagweheechy'aa ts'ą' Vit'eegwijyąhchy'aa vigii giheelyaa . Vit'eegwijyąhchy'aa adan goovaaheelyaa ts'ą' Goovit'eegwijyąhchy'aa chan heelyaa .
66:21:004:0	Goovandee ts'an treechų' ach'ahahjii . Ch'ichį' chan heekwaa , tr'igwidii , akwat tr'itree akwat diishran'ee kwaii gweheekwaa . K'eejit nilii kwaa kwaii k'igwaajil . ”
66:21:005:0	Ąįįtł'ęę zhit juu k'eedeegwaadhat ts'ą' yakat doodii ąįį kat doodii jyaa nyąą , “ Ts'ą' juk jidii datthak k'eejit needhałtsąįį ! ” Shįį chan t'ashahnyąą , “ Jii diintł'oo , jii ginjik t'ee łi'didlii ts'ą' khan vit'injihohchy'aa t'inchy'aa . ”
66:21:006:0	Ts'ą' jyaa nyąą , “ It'ee gwik'it goodlit ! Shįį t'ee tr'ookit ts'ą' khaiinkǫǫ t'ihchy'aa , tr'ookit ts'ą' ndaagwąą'ąį' ihłii . Juu ch'ihłee chųų dahłįį ji' zhit chųų ninlaii ts'an khit gwarandaii gooheekwat kwaa ts'ą' chųų giheenjyaa .
66:21:007:0	Juu tr'aanduu gaiiyiigiłtsąįį nąįį jii shats'an gooheendal t'oonchy'aa : Goovit'eegwijyąhchy'aa hihłyaa ts'ą' geedan chan shigii giheelyaa .
66:21:002:1	Kwaiik'it Jerusalem K'eejit
66:21:008:0	Gaa juu Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwahah'yaa geenjit naajat , juu diigwik'injigwiighit akhagoonyąą , ch'aaheechyaa gwizhrįh gininjich'ahthat , dinjii aghan , gwiizųų ch'aagiłchųų , juu dazhan zhit dinjii haa tr'agwah'in . Juu ch'ik'itiltsį' ts'ą' khagidiinjii , ts'ą' gwintł'oo oots'it nąįį datthak zhit van kǫ' daak'a' ts'ą' ( sulfur ) deek'it khaiinjich'igiheeghit gooveenjit goo'aii , ąįįt'ee tr'ookit niriindhat gwats'an chan niriindhat t'agwarahnyąą . ( Jii van kǫ' daak'a' t'ee second time niriidhat t'oonchy'aa . ) ”
66:21:009:0	Zheekat gwich'in 7 nąįį ts'an ch'ihłee , 7 tyah ghoo tsal zhit 7th gwiizųų gogwantrii deedąą'ąį' di'įį . Shats'an haazhii ts'ą' jyaa nyąą , “ Aanaii , zhit tr'injaa , Divii Gii tsal yahoondal nats'ą' gwagwahałchy'aa gwah'in . ”
66:21:010:0	Ch'anky'aa Shroodiinyąą shizhit t'iizhit ts'ą' deesho'ya' shoonyąą datthak gwik'it t'ishi'in ts'ą' zheekat gwich'in , ddhah kiit'ik niighit deeshiłchįį . Jerusalem kwaiik'it gwachoo shroodiinyąą , k'iidąą zhee zhit Vit'eegwijyąhchy'aa gwats'an dąądhal shats'ą' gwigweełkįį ,
66:21:011:0	ts'ą' Vit'eegwijyąhchy'aa vich'eegwąhndit haa adrii . Kii drin daatł'oo vinju' ch'aadrii k'it t'inchy'aa , kii Jasper ( daatsik ts'ą' green ) ts'ą' crystal nahdrin ts'ą' vinju' gwaraah'in k'it t'inchy'aa .
66:21:012:0	Kwaiik'it gwachoo geelin tthał nitsii needhe'ee ąįį gwizhit gihdeiintin ch'ihłok daatin ts'ą' neekwaii ( 12 ) gwanlii ąįį zhit zheekat gwich'in 12 nąįį gwak'ąąhtii nilii . Ąįį tthał gihdeiintin choo kat Israel nahkat gwats'an 12 neezheedijii nąįį goovoozhri' vakat danakhwatł'oo .
66:21:013:0	K'ach'aha'ak ts'ąįį nihdeegweedii tik goo'aii , ts'ą' yeedihjyaa chan nihdeegweedii tik , ts'ą' yeenihjyaa chan nihdeegweedii tik ts'ą' zhat neech'ee'aa ts'ąįį chan nihdeegweedii tik goo'aii
66:21:014:0	Kwaiik'it gwachoo gweelin tthał niin'ee ąįį kiighoo tyah choo 12 kat dagoo'aii , ąįį kat Divii Gii eenjit Tr'ihił'e' 12 nąįį oozhri' danakhwatł'oo .
