66:5:001:1	Dęhtły'aa Nakhwadǫǫ Vakat Ch'adanakhwatł'oo , ts'ą' Divii Gii
66:5:001:0	Juu k'eedeegwaadhat ts'ą' yakat doodii vanli' shriits'ąįį dęhtły'aa nakhwadǫǫ vakat ch'adanakhwatł'oo ootą' nał'in : ąįį nihts'įį vakat ch'adanakhwatł'oo ts'ą' 7 aanchy'aa nihłaghwadzii .
66:5:002:0	ts'ą' zheekat gwich'in vat'aii gwanlii ts'ą' gwint'aii khaginkhee nał'in , “ Juu dee dęhtły'aa nakhwadǫǫ nihłaghwadzii nihky'aa ooheendal geenjit gwintsii veegoo'aii ? ”
66:5:003:0	Gaa dzaa zheekat , akwat nankat , akwat oozhak nan t'eh ch'ihłee gaa nakwaa . Juu dee dęhtły'aa nakhwadǫǫ nihky'aa ooheendal ts'ą' yakat gwahah'yaa !
66:5:004:0	Ch'ihłee gaa dęhtły'aa nakhwadǫǫ nihky'aa ooheendal geenjit veegoo'aii agwarąh'ąįį kwaa geenjit łyaa gwintł'oo ihtree .
66:5:005:0	Ąįįtł'ęę ch'anjaa ch'ihłak t'ashahnyąą , “ Intree kwaa , gwah'in ! Judah vizheeneedijii ts'an lion k'eedeegwaadhat nint'aii nilii , ąįį King David ts'an deedhaa , dinjii vaagwiindaii nilii t'ee tr'aanduu gaiiyii'iłtsąįį ąįį geh'an dęhtły'aa nakhwadǫǫ kat 7 łangwidhidzii nihky'aa hoondal geenjit t'aih di'įį t'inchy'aa . ”
66:5:006:0	Ąįį k'eedeegwaadhat ts'ą' yakat doodii tł'an Divii Gii nadhat nał'in dąį' veelin gwandaii dǫǫ Vit'eegwijyąhchy'aa iłtsąįį kwaii ts'ą' ch'anjaa nąįį haa neelzhii nał'in . Ąįį Divii Gii tr'iiłkhwąįį k'it t'inchy'aa . Viji' 7 gwanlii ts'ą' vandee 7 chan gwanlii . Ąįįt'ee Vit'eegwijyąhchy'aa vats'an Ch'anky'aa Shroodiinyąą 7 dzaa nankat nihky'aa datthak gwats'ą' nagoovinlii .
66:5:007:0	Ąįį divii gii , zhit juu k'eedeegwaadhat ts'ą' yakat doodii vanli' shriits'ąįį gwats'an dęhtły'aa nakhwadǫǫ oonjik .
66:5:008:0	Jyaa diizhit dąį' , gwandaii dǫǫ 4 Vit'eegwijyąhchy'aa iłtsąįį ts'ą' ch'anjaa 24 nąįį haa giikwaiichan nikiigwigwiintthaii . Gooteegwagwaanchy'aa ts'ą' harp ts'ą' tyah ghoo gold nilii vizhit gwanzhįh tr'ahk'an dąį' gwinzii vagwaatsan deedaan'aii neegahaazhik . Ąįį Vit'eegwijyąhchy'aa k'injiighit nąįį jidii geenjit khagidiinjii kwaii t'inchy'aa .
66:5:009:0	Ch'ilik k'eejit chan igiilii : “ Nan t'ee dęhtły'aa nakhwadǫǫ oohiindalts'ą' nihłaghwadzii nihky'aa oohiindal geenjit gwintsii neegoo'aii . Naroołkwaii ts'ą' dinjii neezheeneedijii , googinjik , nahkat , ts'ą' dinjii nihłehjuk t'iichy'aa nąįįVit'eegwijyąhchy'aa k'injiighit nąįį neeheezhii geenjit naroołkwaii .
66:5:010:0	Vit'eegwijyąhchy'aa vitsyaa giheelyaa geenjitK'eegwaadhat Veegwinii'ee geenjit ginkhii goodhahtsąįįts'ą' nankat gwats'ą' k'eedeegwagwahaadhat . ”
66:5:011:0	Chan neegwaal'ya' akhai' zheekat gwich'in thousands ts'ą' millions nąįį dihtth'ak ! ts'ą' Vit'eegwijyąhchy'aa gwandaii dǫǫ 4 iłtsąįį ts'ą' ch'anjaa 24 nąįį haa k'eedeegwaadhat ts'ą' yakat doodii eelin nigeelzhii ,
66:5:012:0	ts'ą' gwideezhuh haa gwint'aii ch'igidlii : “ Divii gii , t'aih , gwintsii veegoo'aii , gwizhįh kwaii vats'an heelyaa geenjit tr'oołkhwąįįts'ą' deerahoł'ee , vats'a' ch'eegwąhndit , gooli' ! ”
66:5:013:0	Ts'ą' zheekat , nankat , oozhak nan t'eh , ts'ą' chųų choo zhit gwandaii hahchik dihtth'ak , jidii gwandaii datthak ch'igidlii gwiihtth'ak : “ Juu k'eedeegwaadhat ts'ą' yakat doodiiTs'ą' Divii Gii haa goots'ą' deerahoh'ee , ch'eegwąhndit ts'ą' t'aih jiintsiikhit ts'ą' khit geenjit vats'a' gooli' ! ”
66:5:014:0	Vit'eegwijyąhchy'aa gwandaii dǫǫ ( 4 ) iłtsąįį nąįį gwidii ginkhii “ Amen , gwik'it gooli' ! ” ginyąą , ts'ą' ch'anjaa 24 nąįį nikiigwigwiintthaii ts'ą' deegihił'ee .
