66:17:001:1	Tr'injaa Iizųų Nilii Vaagwiindaii
66:17:001:0	Ąįįtł'ęę ąįį zheekat gwich'in seven ch'ihłee , juu tyah ghoo seven ch'ihłak ootą' shats'ą' haazhii , ts'ą' t'inyąą , “ Aanaii , nats'ąą tr'injaa iizųų nilii juu nąįį datthak yaandaii laraa eenjit dinjii haa dhichįį khaiinjich'iheeghit nats'ą' gwagwahałkyaa , ąįį kwaiik'it gwachoo gwintsii han gwinjik gwinlęįį geeghaih goo'aii ąįį tr'injaa k'it t'inchy'aa .
66:17:002:0	Nankat gwats'ą' k'eedeegwaadhat choo nąįį ąįį tr'injaa eegaadii kwaa gaa giiyaa inchi' , ts'ą' dzaa nankat gwidinji' nąįį giiyaa inchi' ts'ą' jak chų' haa ch'anagahoonį' k'it t'igii'in . ”
66:17:003:0	Ch'anky'aa Shroodiinyąą shizhit t'iizhit ts'ą' deesho'ya' shoonyąą datthak gwik'it t'ishi'in , ts'ą' zheekat gwich'in nangwinjir gwa'an gwats'ą' shihiłchįį . Izhit tr'injaa , nin iizųų ch'atthąįįn choh daatsik kat doodii nał'in , ąįį nin iizųų ch'atthąįįn choh vakat datthak Vit'eegwijyąhchy'aa ts'ą' inehts'į' gwiizųų ch'adanakhwatł'oo ; nin iizųų ch'atthąįįn choh viki' seven gwanlii ts'ą' viji' 10 chan gwanlii .
66:17:004:0	Ąįį tr'injaa ik purple ts'ą' scarlet naatsik daatł'oo naazhii ts'ą' gold nidiiltsį' , kii daatł'oo , ts'ą' pearl kwaii haa iltsąįį naatsuu . Danli' zhit chųų tyah gold zhit deegoo'ya' gwiindhan kwaa ts'ą' gwiizųų ch'aatr'iłchųų datthak deedąą'ąį' , ąįį tr'injaa dee'ya' ąįį tr'agwaanduu vats'an tr'iinjil .
66:17:005:0	Tr'injaa vants'at kat ch'oozhri' danakhwatł'oo , ąįį deegwinyąą gaagwiindaii kwaa , “ Babylon kwaiik'it gwachoo , tr'injaa laraa t'įį ch'aa'iłchųų nąįį ts'ą' dzaa nankat gwats'an tr'agwaanduu oozhii gwahchy'aa t'igwii'in nąįį gwats'an adaa . ”
66:17:006:0	ts'ą' ąįį tr'injaa nał'ya' ts'ą' , Vit'eegwijyąhchy'aa k'injiighit nąįį , ts'ą' juu Jesus k'it dinjii ginlii akhagagoonyąą kwaa geh'an gooringhan nąįį daa haa chan ch'anagahoonį' k'it t'iginchy'aa , Nijin nał'ya' dąį' łyaa hoolghaa .
66:17:007:0	“ Jaghaii khǫǫnghaa ? ” zheekat gwich'in shahkat , “ Jii tr'injaa , veenaagwahaldak ts'ą' zhit nin iizųų ch'atthąįįn choh neeyahahchik chan , ” nin iizųų ch'atthąįįn choh viki' seven gwanlii ts'ą' viji' 10 chan gwanlii .
66:17:008:0	Ąįį nin iizųų ch'atthąįįn choh gwehkįį dąį' gwiindaii t'inchy'aa , gaa juk gwandaii kwaa ; it'ee niighit kwaa oozhak gwit'eh goo'aii kwaa gwats'an an heelyaa geenjit khaheehaa t'inchy'aa . Nan gweheelyaa gwehkįį dąį' gwats'an dzaa nankat dinjii nąįį oozhri' dęhtły'aa kat juu gwandaii ndaanąą'ąį' kwaa hee'yaa nąįį oozhri' danakhwatł'oo kwaa , nąįį zhit nin iizųų ch'atthąįįn choh gah'in ji' gahaaghal . Ch'ihłok gwiindaii , juk ąįį gwandaii kwaa , gaa chan hee vineegwahahkyaa t'inchy'aa .
66:17:009:0	“ Jii t'ee gwizhįh haa gaagweheendaii geenjit t'eegwaahchy'aa . Ch'iki' seven t'ee taih seven , ąįį vakat tr'injaa doodii t'inchy'aa . Ąįįts'ą' k'eedeegwaadhat choh ( Kings ) seven chan t'inchy'aa .
66:17:010:0	Vats'an ch'ihłoanli' ( 5 ) nąįį neet'aanąįį , ch'ihłak tth'aii k'eedeegwaadhat , ts'ą' ch'izhii tth'aii oo'ee hahkhaii kwaa : nijin oo'ee haazhii ji' ch'ihłee gwizhrįh k'eedeegwahaadhat t'inchy'aa .
66:17:011:0	ts'ą' zhit nin iizųų ch'atthąįįn choh gwehkįį dąį' gwiindaii gaa juk gwandaii kwaa , t'ee k'eedeegwaadhat eighth nilii , ąįį seven nąįį t'ee ch'ihłee nilii ts'ą' an heelyaa gwats'ą' heekhaa t'inchy'aa .
66:17:012:0	“ Ąįį ch'iji' ten nah'ya' t'ee k'eedeegwaadhat choo ten t'inchy'aa , gaa tth'aii hee k'eedeegwagwaadhat kwaa , ts'ą' nin iizųų ch'atthąįįn choh haa one hour k'eedeegwagwahaadhat goots'an gweheelyaa .
66:17:013:0	Jii ten nąįį datthak nihłihk'it ninjich'agadhat t'iginchy'aa , ts'ą' nin iizųų ch'atthąįįn choh , k'eedeegwahaadhat ts'ą' t'aih antł'eegiin'ąįį t'iginchy'aa .
66:17:014:0	Divii Gii ts'ą' nich'itsigahthat , gaa Divii Gii ts'ą' juu aanaii ahnyąą nąįį , gwitee tr'agooriinlii , ts'ą' gweedhaa datthak Vit'eegwijyąhchy'aa k'injigiheeghit , k'eedeegwaadhat nąįį eenjit K'eegwaadhat ts'ą' k'eedeegwaadhat choo nąįį eenjit K'eegwaadhat choo nilii geh'an Divii Gii gaiiyiigoogahahtsyaa . ”
66:17:015:0	Zheekat gwich'in t'ashahnyąą , “ Zhit tr'injaa laraa eenjit ch'aadhichįį dhidii , veeghaii han gwinjik gwinlęįį goodlii kwaii t'ee nihłehjuk nahkat , dinjii nąįį , dinjii nihłehjuk t'iichy'aa , ts'ą' ginjik nihłehjuk t'iichy'aa .
66:17:016:0	Ąįį ch'iji' ten nah'ya' ts'ą' nin iizųų ch'atthąįįn choh haa tr'injaa laraa eenjit ch'aadhichįį eet'igiindhan kwaa ; jidii di'įį datthak giits'į' ooheendal ts'ą' ts'ehdan nigiihahchyaa , giitthąį' hee'aa ts'ą' kǫ' haa an giihahtsyaa .
66:17:017:0	Nihłaa gwitr'it t'agwagwah'in k'iighai' Vit'eegwijyąhchy'aa doo'ya' gavoonyąą gwik'it t'igihee'yaa , ts'ą' nijin Vit'eegwijyąhchy'aa deegweheenjyaa nyąą ąįį gwik'it gweheelyaa gwats'ą' ąįį nin iizųų ch'atthąįįn choh dagat'aii antł'eegiin'ąįį .
66:17:018:0	“ Ąįį tr'injaa nah'ya' t'ee kwaiik'it gwachoo dzaa nankat gwats'ą' k'eedeegwaadhat choo nąįį ts'ą' k'eedeegwaadhat t'inchy'aa . ”
