66:8:001:1	Łangwidhidzii ( 7th )
66:8:001:0	Nijin Divii Gii ( 7th ) łangwidhidzii nihky'aa oonjik dąį' zheekat ½ hr . datthak łąą ch'iihahchįį kwaa .
66:8:002:0	Ąįįtł'ęę zheekat gwich'in ( 7 ) nąįį Vit'eegwijyąhchy'aa ts'ą' nigeelzhii ts'ą' 7 trumpets chan goovantł'eerinlii gwał'in .
66:8:003:0	Ch'izhii zheekat gwich'in tyah ghoo gold nilii vizhit gwanzhįh gwinzii vagwaatsan tr'ahk'an ootą' , k'ii'ee tr'iizhii ts'ą' ataiinjii tr'ahtsii deek'it ( Altar ) ts'ą' nadhat . Gwanzhįh gwinzii vagwaatsan lęįį vantł'eerinlii , ąįį Vit'eegwijyąhchy'aa k'injiighit nąįį khagidiinjii nąįį tee reheelyaa ts'ą' ataiinjii tr'ahtsii deek'it kii gold haa gwiltsąįį ąįį k'eedeegwaadhat ts'ą' yakat doodii ęhdaa dha'aii kat nirehee'aa geenjit .
66:8:004:0	Vit'eegwijyąhchy'aa k'injiighit nąįį khagidiinjii ąįį zheekat gwich'in , Vit'eegwijyąhchy'aa ęhdaa nadhat ts'ą' gwanzhįh gwinzii vagwaatsan ahk'an ąįį ts'an łat k'iidak t'ii'in ąįį łat zhit haahjil .
66:8:002:1	Trumpets Ch'idlii
66:8:005:0	Ąįįtł'ęę zheekat gwich'in gwanzhįh gwinzii vagwaatsan vizhit tr'ahk'an tyah ghoo oonjik , ataiinjii tr'ahtsii deek'it gwats'an kǫ' daak'a' yizhit t'inlik , ts'ą' oozhak nankat gwats'ą' yihiłtł'ik . Ąįį ts'an dzaa nankat , nahtan hahchik ts'ą' nahtan kwan haadhak gwiizhik gwideezhuh dihtth'ak ts'ą' nan gwint'aii daatrat .
66:8:006:0	Ąįįtł'ęę zheekat gwich'in seven nąįį trumpets seven zhit giheezhool geenjit shriitr'agwagwah'ąįį .
66:8:007:0	Tr'ookit zheekat gwich'in da-trumpet zhiinzhol . Ch'anlųh , kǫ' haa vitee dah k'iidąą nankat ninlaii . Dzaa nankat ⅓ datthak dhik'in . Gwanzhįh ⅓ datthak , ts'ą' ts'iivii ⅓ datthak haa dhik'in .
66:8:008:0	Ąįįtł'ęę gwats'ąįį zheekat gwich'in second nilii da-trumpet zhiinzhol . Ddhah choo k'it t'inchy'aa ak'an oondaa chųų choo zhit tr'ąąhnąįį . Chųų choo ⅓ datthak dah naanaii .
66:8:009:0	Chųų choo vizhit nin gwandaii ⅓ datthak kwaa goodlit , ts'ą' vakat tr'ihchoo choh ⅓ chan an dhidlit .
66:8:010:0	Tł'ęę zheekat gwich'in third nilii da-trumpet zhiinzhol . Akhai' są' choo , gałtsii kǫ' daak'a' k'it t'inchy'aa oodaa zhee zhit gwats'an tr'aanaii , ts'ą' nan ts'an chųų haiilaii , ts'ą' han gwinjik ⅓ gwakat naanaii an gwiłtsąįį .
66:8:011:0	( Ąįį są' choo t'ee “ Tr'aakaii ” oozhii . ) chųų ⅓ datthak tr'aakaii naanaii ts'ą' dinjii lęįį nąįį giikhiinii haa nigiinjik , tr'aakaii naanaii geh'an .
66:8:012:0	Tł'ęę zheekat gwich'in dǫǫ ( 4th ) nilii da-trumpet zhiinzhol . Ąįį geh'an goo'adrii 1⅓ datthak adrii kwaa nagwaanąįį ; drin ⅓ datthak ts'ą' tǫǫ ⅓ datthak ch'aadrii kwaa .
66:8:013:0	Tł'ęę gwał'in ts'ą' oodak niighit ch'izhin nihiniit'ee azhral haa t'inyąą dihtth'ak , “ Gwagwantrii ! Gwagwantrii ! Dzaa nankat gwidinjii nąįį deegwahtł'oo gooveenjit gwigweheetrii li' , nijin zhit ch'izhii zheekat gwich'in tik nąįį da-trumpet zhit giinzhol ji' . ”
