66:11:001:1	Deegwiizhit Gwagwah'ya' Ts'ą' Geegiginkhii Geekwaii Nąįį
66:11:001:0	Gał , ch'iitsii ts'ik vaagwadoorahahdri' k'it t'inchy'aa shantł'eerintin ts'ą' t'asharahnyąą , “ Oo'at Vit'eegwijyąhchy'aa vakharigidiinjii zheh gwats'ą' hinkhaii ts'ą' , ąįį ataiinjii vakat tr'ahtsii haa gwadoohaandrii , ts'ą' juu gwizhit khagidiinjii nąįį chan diinchy'aa , sharahnyąą .
66:11:002:0	Gaa gweelin tthał nii'ee ąįį gwadoohoondri' shrǫ' , juu Vit'eegwijyąhchy'aa k'injiighit kwaa nąįį antł'eerinlii geh'an , shakwaiik'it gwachoo shroodiinyąą gwizhit 42 months gahkhyuk datthak gwats'ą' k'eedeegwagwahaadhat t'iginchy'aa .
66:11:003:0	Juu gwah'ya' ts'ą' sheenjit ginkhii neekwaii nąįį gwach'aa gunny sack k'it t'inchy'aa nagaazhii goots'ą' nihihłyaa , ts'ą' 1 , 260 days gahkhyuk datthak Vit'eegwijyąhchy'aa vagwandak goots'ą' eegigeheekhyaa . ”
66:11:004:0	Jii gwagwah'ya' ts'ą' łi'didlii haa geegwagwaandak neekwaii nąįį t'ee Vit'eegwijyąhchy'aa jidii datthak nankat gwats'ą' k'eedeegwaadhat vęhdaa . Olive ts'iivii neekwaii gwinin'ee ts'ą' kwaii daak'a' vakat doodlii neekwaii kwaiik'it gwachoo t'iginchy'aa .
66:11:005:0	Ch'ihłee tsin t'agoohaalik ji' , googhit gwats'an kǫ' t'ii'in haa juu goots'an ninjich'atsadhat an gahahtsyaa , ts'ą' jii gwik'it juu tsin t'agoohaalik ji' giheeghaa .
66:11:006:0	Vit'eegwijyąhchy'aa vagwandak eegwagwaandak gwiizhit hahtsin gwits'į' gwats'ą' k'eedeegwagwaadhat . Ddhah ts'an chųų ninlaii chan dah haa ninlaii gwagwahahtsyaa geenjit t'aih gii'įį : dzaa nankat jidii vaagwigweheetrii gweheelyaa datthak chan gwats'ą' k'eedeegwagwaadhat .
66:11:007:0	Nijin Vit'eegwijyąhchy'aa vagwaandak eegwagwahaandak ndaanagąąhjik dąį' , zhit nin iizųų oozhak gwit'eh goo'aii kwaa gwats'an tr'iinzhii goots'ą' ninjich'atsy'ahahthat . Gaiigoohahtsyaa ts'ą' gooheeghaa t'oonchy'aa .
66:11:008:0	ts'ą' gooch'ichį' kwaii , kwaiik'it gwachoo jiintsii tąįį gwinjik gwa'an heedlyaa , nijin Gook'eegwaadhat tr'iilkhwąįį gwizhit . Ąįį kwaiik'it gwachoo ch'ijuk goozhrii t'ee Sodom akwat Egypt googahnyąą k'it t'oonchy'aa .
66:11:009:0	3½ drin gwizhit datthak dinjii nahkat nihłehjuk t'iichy'aa gwats'an , dinjii neezheedijii , ginjik nihłehjuk t'iichy'aa , ts'ą' dinjii nihłehjuk t'iichy'aa nąįį goohaah'yaa , ts'ą' googiheetsii gwits'į' t'agoogahaakhyaa .
66:11:010:0	Dzaa nankat gwidinjii nąįį , juu gwah'ya' ts'ą' łi'didlii haa geeginkhii neekwaii nąįį tr'eełkhwąįį geenjit shoo ginlii . Shoo ginlii geh'an k'aiich'ii nihłantł'eegilii ts'ą' shroonchy'aa gwagwahtsii . Jii Vit'eegwijyąhchy'aa eenjit ginkhii neekwaii nąįį gooveh'an dinjii nąįį datthak khaiinjich'iighit geh'an .
66:11:011:0	3½ drin gwindhat ąįįtł'ęę Vit'eegwijyąhchy'aa vats'an gwandaii haa khaazhee , ts'ą' goozhit t'iizhit , ts'ą' ndak nigeelzhii gaadlit ; juu jii gwah'ya' nąįį datthak gihilghaa .
66:11:012:0	Ąįįtł'ęę Vit'eegwijyąhchy'aa eenjit ginkhii neekwaii nąįį zheekat gwats'an gwideezhuh gwint'aii khaginkhee gwigwiitth'ak , “ Aanaii , oozhaa hohjyaa , ” gwinyąą . Juu goots'į' t'inchy'aa nąįį gwagwah'in gwizhit k'iidak zheek'ǫh zhit zheekat gwats'ą' gahaa'oo .
66:11:013:0	Izhit gwiizhit gwiint'aii nan daatrat nagwaanąįį , kwaiik'it gwachoo 1/10 łąą an goodlit , ts'ą' dinjii seven thousand aanchy'aa an dhidlit . Gah dinjii nąįį gihilghaa ts'ą' Vit'eegwijyąhchy'aa zheekat gwats'an jiintsii deegihił'ee .
66:11:002:1	Trumpet Seventh ( 7th )
66:11:014:0	Googwantrii second ( 2nd ) t'ee ndaagwąąn'ąį' , gaa googwantrii third tth'aii nagwahaadhal goo'aii .
66:11:015:0	Zheekat gwich'in seventh da-trumpet zhiinzhol , ts'ą' zheekat gwats'an gwideezhuh gwint'aii jyaa nyąą , “ Diik'eegwaadhat ts'ą' Va-Christ haa dzaa nankat ndaagwąąn'ąį' kwaa gwats'ą' k'eedeegwaadhat , ts'ą' Vit'eegwijyąhchy'aa t'ee khit ts'ą' khit geenjit k'eedeegwahaadhat t'inchy'aa ! ”
66:11:016:0	Ąįįtł'ęę zhit ch'anjaa kįh dilk'ii 24 nąįį , Vit'eegwijyąhchy'aa k'eedeegwaadhat ts'ą' yakat doodii ęhdaa geelk'ii nąįį zhak nikiigwigwiintthaii ts'ą' Vit'eegwijyąhchy'aa deegihił'ee .
66:11:017:0	Jyaa diginyąą : “ K'eegwaadhat , Vit'eegwijyąhchy'aa nijuk datthak andaa vat'aii jiintsii ! Nan t'ee gwiindaii ts'ą' khit geenjit gwiindai' . K'eegwaadhat neegoodhinjik geenjit mahsį' ts'ą' chan hee k'eedeegwaadhat !
66:11:018:0	Juu Vit'eegwijyąhchy'aa k'injiighit kwaa nąįį łyaa zhyaants'įį , juk it'ee nik'įį goodlit geh'an , it'ee niinjik nąįį tr'oohahkat nigwiindhat . Juu nitsyaa nilii , neenjit ginkhii , nik'injiighit nąįį datthak , juu nihił'ee nąįį , nitsii akwat natsal nihłihk'it t'iichy'aa nąįį jidii gaiiyiigwigwiłtsąįį goovantł'eehinlyaa geenjit nigwiindhat . It'ee juu dzaa nankat an gwiłtsąįį nąįį an heelyaa geenjit nigwiindhat . ”
