66:7:001:1	Israel Gwich'in 144 , 000 Nąįį
66:7:001:0	Jii ąįįtł'ęę zheekat gwich'in dǫǫ ( 4 ) nąįį dzaa nankat yeenihjyaa , yeedihjyaa , gach'aha'at ts'ąįį ts'ą' neech'ee'aa ts'ąįį gwats'an dzaa nankat akwat chųų choh kat akwat ts'iivii tee neeheentr'aii kwaa geenjit ahtr'aii ji' gootą' .
66:7:002:0	ts'ą' gach'a'at ts'ąįį gwats'an zheekat gwich'in ch'izhii nał'in , Vit'eegwijyąhchy'aa khit gwandaii łangwiłdzii ootą' . Zhit zheekat gwich'in dǫǫ ( 4 ) nąįį ts'ą' gwint'aii khaginkhee , Vit'eegwijyąhchy'aa dzaa nankat ts'ą' chųų choh kat an gwagwahahtsyaa geenjit goots'an gwiłtsąįį .
66:7:003:0	“ Dzaa nankat , chųų choh , akwat ts'iivii kwaii an ohtsyaa shrǫ' , dahthee Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwah'in nąįį goovants'at kat gwireheegwat gwats'ą' . ” Zheekat gwich'in jyaa nyąą .
66:7:004:0	ts'ą' zhit juu goovants'at kat Vit'eegwijyąhchy'aa eenjit gwaraagwat nąįį 144 , 000 agaanchy'aa sharahnyąą shaagwaraandak . Ąįį nąįį t'ee Israel gwich'in neezheedijii ( 12 ) nąįį ts'an digeedhaa .
66:7:002:1	Gęhdaa Kwaa Dinjii Lęįį Łeeljil
66:7:005-008:0	Judah , Reuben , Gad , Asher , Naphtali , Manasseh , Simeon , Levi , Issachar , Zebulun , Joseph , ts'ą' Benjaminnąįį gootee gwagwaanchy'aa ts'ą' goots'an 12 , 000 nąįį neezheedijii .
66:7:009:0	Jii ąįįtł'ęę gwał'in akhai' gęhdaa kwaa dinjii lęįį łeeljil gwał'in , ch'ihłee gaa duuyeh gweechyaa t'ihnyąą ! Datthak ts'ą' dinjii nihłehjuk t'iichy'aa , dinjii neezheeneedijii , nahkat gwats'an , ts'ą' ginjik nihłehjuk t'iichy'aa nąįį ginlii ts'ą' k'eedeegwaadhat ts'ą' yakat doodii ts'ą' Divii Gii haa ęhdaa ch'adak ik daagąįį ninjyaa nagaazhii ts'ą' ts'iivii tthoochyah ( palm ) gootą' ts'ą' nigeelzhii .
66:7:010:0	Gwint'aii gwideezhuh haa jyaa diginyąą , “ Vit'eegwijyąhchy'aa vats'an neereezhii , juu k'eedeegwaadhat ts'ą' yakat doodii ts'ą' Divii Gii ts'an ahaa ! ”
66:7:011:0	Zheekat gwich'in nąįį datthak , ch'anjaa kįh dilk'ii 24 nąįį , ts'ą' Vit'eegwijyąhchy'aa gwandaii dǫǫ ( 4 ) iłtsąįį nąįį datthak k'eedeegwaadhat ts'ą' yakat doodii eelin nigeelzhii . Tł'ęę giits'ą' nikiigwiintthaii ts'ą' Vit'eegwijyąhchy'aa deegehił'ee ,
66:7:012:0	“ Amen ! , deerahoh'ee , ch'eegwąhndit vaa gooli' , gwizhįh oo'į' , vats'a' mahsį' , t'aih ts'ą' jiintsii kwaii Vit'eegwijyąhchy'aa khit ts'ą' khit geenjit vats'an nilii ! Amen ! ! ” ginyąą .
66:7:013:0	Ch'anjaa ch'ihłee shǫąąhkat , “ Jii dinjii ch'adak ik daagąįį ninjyaa nagaazhii nąįį juu t'igiinchy'aa ? Nijin gwats'an tr'igiinjil t'igiinchy'aa ? ” Ginyąą .
66:7:014:0	“ Gaashandaii kwaa , niyinjihoł'ee , nan gaanandaii t'oonchy'aa , ” vaihnyąą . Ts'ą' jyaa shahnyąą , “ Jii dinjii nąįį t'ee googwantrii khaiinjich'areheedhat khaiinjich'agoohoodhat nąįį t'iginchy'aa . Dach'adak ik ninjyaa k'eech'agahtryaa haa Divii Gii vadaa zhit daagąįį giiyiłtsąįį nąįį t'iginchy'aa .
66:7:015:0	Izhit geh'an Vit'eegwijyąhchy'aa k'eedeegwaadhat ts'ą' yakat doodii ęhdaa nagadhat ts'ą' drin , tǫǫ haa Vakharigidiinjii Zheh gwizhit giiyeenjit gwitr'it t'agwagwah'in t'igii'in . Zhit juu k'eedeegwaadhat ts'ą' yakat doodii kat doodii t'ee goovaaheelyaa ts'ą' tsint'igeheejyaa gwits'į' gook'eehahtyaa t'inchy'aa .
66:7:016:0	Duuyeh ch'ihłok gaa goozhit gwiłts'ik ts'ą' chųų gahłįį ; drin oozhrii ts'an chan duuyeh gwadhah goovahchy'aa t'oonchy'aa .
66:7:017:0	Divii Gii k'eedeegwaadhat ts'ą' yakat doodii gwatł'an dhidii ąįį goodivii k'ąąhtii heelyaa geh'an nants'an chųų hanlaii ąįį gwandaii gwats'an ąhtsii ts'ą' goots'ii heekhaa , ts'ą' goots'įį ahaa ts'ą' Vit'eegwijyąhchy'aa goovandee gwats'an gootree chų' ach'ahahjii t'oonchy'aa . ”
