66:16:001:1	Tyah Ghoo Kwaii Zhit Vit'eegwijyąhchy'aa Zhyaants'įį Deedąą'ąį' .
66:16:001:0	Ąįįtł'ęę gwideezhuh gwint'aii Kharigidiinjii Zheh gwizhit zheekat gwich'in seven nąįį ts'ą' ginkhii dihtth'ak , “ Oo'an hohjyaa ts'ą' nankat gwats'ą' tyah ghoo 7 zhit Vit'eegwijyąhchy'aa zhyaants'įį gwak'aa nǫhjaa ! ” goovahnyąą .
66:16:002:0	Tr'ookit zheekat gwich'in oo'an haazhii ts'ą' nankat gwak'aa tyah ghoo naanjaa . Juu nin iizųų ch'atthąįįn choh oozhri' haa vakat gahagwat nąįį gookat gwakaii gwiłts'ik , ts'ą' juu yik'itiltsį' hil'ee nąįį chan gwik'it t'iginlik .
66:16:003:0	Ąįįtł'ęę zheekat gwich'in second nilii chan tyah ghoo chųų choh kat naanjaa . Ąįį chųų dinjii iłchįį dah gwich'in naanaii , ts'ą' vizhit gwandaii nin datthak iłchįį .
66:16:004:0	Ąįįtł'ęę zheekat Gwich'in third nilii chųų tyah ghoo zhit han gwinjik ts'ą' nan ts'an chųų khaiinlaii kat neeyaanjaa ts'ą' chųų kwaii dah naanaii .
66:16:005:0	Ąįį zheekat Gwich'in chųų ts'ą' k'eedeegwaadhat jyaa nyąą dihtth'ak , “ Vit'eegwijyąhchy'aa nan t'ee shroodiinyąą inlii , khit nihk'it t'iinchy'aa , deeni'yaa niindhan t'ee gwinzii ts'ą' łi'deegwidlii !
66:16:006:0	Dinjii tr'aanduu nąįį Vit'eegwijyąhchy'aa k'injiighit nąįį ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį k'ąą dah neegaanjaa , ts'ą' goovęhdaa tr'igwigwiin'ąįį . Gwik'it t'agooroh'ya' ts'ąįį gwik'it t'agoogah'in . ”
66:16:007:0	Vakaii'aa chil'ee dha'aii , ąįįt'ee gwanzhįh gwinzii vagwaatsan vakat daak'a' gwats'an gwideezhuh dihtth'ak , “ K'eegwaadhat , Vit'eegwijyąhchy'aa jiintsii ! Łi'deegwidlii ts'ą' gwinzii haa t'ee nan jyaa diindhan t'oonchy'aa ! ”
66:16:008:0	Ąįįtł'ęę zheekat gwich'in fourth nilii tyah ghoo drin oozhrii k'ąą naanjaa , ts'ą' drin oozhrii dahdrya' niindhaa dinjii nąįį kat gaa gwichy'aa .
66:16:009:0	Gwintł'oo kǫ' dadrah haa niindhaa gookat gwichy'aa ts'ą' Vit'eegwijyąhchy'aa juu googwantrii t'igwii'in gwats'ą' k'eedeegwaadhat voozhri' ts'an gwiizųų giginkhii . Gaa nihk'it datr'agwaanduu gwats'an łihts'eedagaa'ee kwaa ts'ą' Vit'eegwijyąhchy'aa jiintsii deegiihił'ee kwaa .
66:16:010:0	Ąįįtł'ęę zheekat gwich'in fifth nilii tyah ghoo nin iizųų ch'atthąįįn choh k'eedeegwaadhat ts'ą' yakat doodii k'ąą neeyaanjaa . Nin iizųų ch'atthąįįn choh nijin gwats'ą' k'eedeegwaadhat nigwiin'ee tǫǫ gwaazhrąįį nagwaanąįį ts'ą' it'ee shrit gookat gwiłts'ik ts'ąįį dinjii nąįį digikyaa gaa goo'aa ,
