21:11:001:1	Diné hóyáanii ááníiłgi
21:11:001:0	Nibááh táłkáa'jį' ahíłhan áádóó łą'í yiską́ą́dóó bik'ijį' bik'ídíníítááł .
21:11:002:0	Diné tsosts'id yilt'éego , éí doodaléi' tseebílt'éego ba'dííłtsoł , háálá nahasdzáán bikáa'gi doo yá'át'ééhgóó áhodooníiłii doo nił bééhózin da .
21:11:003:0	K'os éí tó dah deíyeehgo nahasdzáán bikáa'jį' níłtsą́ nináłtį́į́h áádóó shádi'áahjigo , doodaii' náhookǫsjigo t'iis naa'anííkaadgo t'áá naa'anííkaadígi sitą́ą doo .
21:11:004:0	Níyolgo baa ákoznízinii doo k'ezhdi'dooléeł da , áádóó k'osgo baa ákoznízinii doo azhdooyish da .
21:11:005:0	Níłch'i deezt'i'dę́ę́' doo nił bééhózinígi át'éego áádóó asdzání yiltsą́ągo awéé' yééltsánígíí bits'in nooséełii doo nił bééhózinígíigi át'éego , t'áá éigi át'éego Diyin God t'áá ałtsoní áyoolíiłii binaanish nilíinii doo nił bééhózin da .
21:11:006:0	Abínígo k'éé'dídlééh áádóó e'e'áahjį' ałdó' binanilnish , háálá dínóosééł áádóó dínóot'į́įłii , díí daats'í , éí doodaii' níléí daats'í , éí doodago t'áá áłah daats'í t'áá aheełt'éego nizhóní dooleełígíí doo nił bééhózin da .
21:11:007:0	T'áá aaníí , adinídíín nizhóní áádóó anáá' éí jį́honaa'éí i'dííłdíingo bił yá'át'ééh .
21:11:002:1	Ániid nidaakaii kót'é bidoo'niid
21:11:008:0	Diné hináago t'óó ahayóí binááhaigo bíni'dii t'áá ałtso yaa bił nihoozhǫǫh , nidi chahałheeł bik'iidooldohígíí yénálniih , háálá éí t'óó ahayói doo ; éí t'áá ałtso nidahwiileehígíí t'áadoo nídandlíní da .
21:11:009:0	Dinééh nílíinii , ániid nanináhígíí baa nił hózhǫ́ áádóó ániid nanináago níyoołkáłígíí nijéí bił hóshǫ́ǫ le' ; nijéí yídin nilíinii áádóó nináá' bee yíní'íinii bik'ehgo yínááł , nidi díí biniinaa naa náhódóot'įįłjį' Diyin God andoolósígíí nił bééhózin le' .
21:11:010:0	Éí bąągo yínííł nijéí bits' ą́ąjį' kónílééh , áádóó nits'íís yidoołchǫǫłii bits'ádiní'aah , háálá áłchíní jílínígíí áádóó ániid na'adáhígíí t'óó kónígháníjį' át'é .
