21:5:001:1	Tsxį́įłgo ádee ha'diidziihii éí doo áháyą' át'é
21:5:001:0	Diyin God bikin bii' sohodizingóó ałnáánídáahgo nihidíltaałgóó bee ádaa áhólyą́ . Doo ádahalyáanii náádayiiłniihii nááhizhdoołnihígíí biláahgo t'áá áyídídóó sínízį́įgo íísíníłts'ą́ą́'jí yá'át'ééh , háálá doo yá'áshǫ́ǫ́góó ádaaníłígíí doo bił béédahózin da .
21:5:002:0	T'áadoo tsíhodeeskézí yáníłti'í , áádóó Diyin God binááł t'áadoo tsxį́į́ł ádíl'į́įgo hahídziihí , háálá Diyin God éí yá'ąąshdi hólǫ́ , índa ni éí nahasdzáán bikáa'gi honílǫ́ . Éí bąągo saad t'áá díkwíí bee yáníłti' le' .
21:5:003:0	Háálá t'áadoo le'é t'óó ahayóí ho'diił'áii baa nitsídzíkeesgo na'íjílyęęsh áhooł'įįh , áádóó saad hwiiłhéego doo áhályáanii jílį́įgo hwééhoozįįh .
21:5:004:0	Diyin God bich'į' ádee hahidídziihgo t'áadoo át'ah índa nideeshłééł níníziní , háálá diné doo áhályáanii doo bił hóshǫ́ǫ da ; bee ádee hadíínídzíi'ii bik'ehgo nidíílééł !
21:5:005:0	Ádee hadídzihgo doo nidííléłígíí biláahgo doo ádee hadíínídzíí'jí yá'át'ééh .
21:5:006:0	Nizaad bee t'áadoo ádił ni'iyílzíhí , áádóó Diyin God yá naal'a'í binááł , T'óóyee' oodzíí' át'é , t'áadoo diníní . Ha'át'éegoshą' yáníłti'ígíí biniinaa Diyin God nich'į' báhodoochįįłgo binishínílnishii íidoołdįįł ?
21:5:002:1	Iiná éí t'áadoo nánídlíní da
21:5:007:0	Háálá t'óó ahayóí na'iigeełgo índa saad t'óó ahayóigo éí t'áadoo nídandlíní da , nidi ni éí Diyin God díínísin .
21:5:008:0	Ła' hahoodzo góne' badahojoobá'íii bide áhólzinígíí , áádóó aa hwiinít'į́ , índa doo haada yit'éii t'áá na'níle'dii bits'ą́ą́' nahjį' kólyaaígíí yiniłtsą́ągo t'áadoo bik'ee t'óó nił ahayóí , háálá naat'áanii danilíinii t'ah bitisgo naat'áanii danilíinii hadabisííd , áádóó t'áá nááná éí t'ah náábíláahgo naat'áanii náádandlíinii hadabisííd .
21:5:009:0	T'ah nááyówehgo aláahgo naat'áanii dáda'ak'eh bina'anishgo áyósingo éí t'áá ałtso bá yá'át'ééh .
21:5:010:0	Béeso ayóó'ájó'níinii éí béeso doo bee hwiish dooleeł da , áádóó naalye'é bilááh yileełii ayóó'ájó'níinii doo bee hwiish dooleeł da ; díí ałdó' t'áadoo nánídlíní da .
21:5:011:0	Naalye'é k'ee'ąą dilzhishgo , da'ayánígíí ałdó' k'ee'ąą dilzhish . Ha'át'éegoshą' bíí' ílíinii yá'át'éehii bá bínéidoodił ? T'áá hazhó'ó t'óó yikéé' ahighaał .
21:5:012:0	Diné naalnishii áłch'į́į́dígo ayą́ągo , doodaii' lą'í ayą́ągo łikango ná'iilwosh , nidi t'áá ałtsoní bee hólóonii éí yąą doo hazhó'ó ałhosh da .
21:5:013:0	Oo'áłígíí biyaagi ts'ídá t'áá íiyisí doo yá'áshónígi áhooníiłgo yiiłtsą́ : éíyee' jit'íinii hasht'e'niidii'níiłii t'áá éí ti'nábiyoołníih doo .
21:5:014:0	Doo yá'áshǫ́ǫ́góó áhooníłígíí biniinaa jit'íinii hats'ą́ą́' ásdįįdgo haye' hazlį́į'go t'áadoo dah yooléłí da .
21:5:015:0	T'áá hamá hashchínígi át'éego , t'áá ákót'éego hakéé' áhásdįįdgo t'áá łichí'ígo dah nízhdidoodááł ; hanaanish bits'ą́ą́dóó haahaazdéelii nidi , doo dashdidooléeł da .
21:5:016:0	Áádóó díí ałdó' t'áá íiyisí baa yíní si'ánígíí át'é : t'áá ałtsojį' t'áá jiníyáhígi át' éego dah nízhdidoodááł áádóó níyol bá nijilnish nahalingo ha'át'íí bee há bilááh nídoodleeł ?
21:5:017:0	Nizhníłdįįd bijį́įjį' t'áá chahałheełgóó ajiyą́ , áádóó t'áá íiyisí yínííł jílį́ , índa atah honiigááh bik'ee ádił náhozhdilchiłgo há náháchįįh .
21:5:018:0	Shoo , díí yiiłtsą́ : oo'áłígíí biyaagi diné nizhníłdįįd bijį́įjį' Diyin God haidiní'ánígíí binjishnishii bits'ą́ą́dóó yá'át'éehii bee hak'ihojidlí áádóó ajiyą́ índa ajidlą́ . Díí yá'át'ééh áádóó beełt'é , háálá kóníłtsogo hóó' át'é .
21:5:019:0	Diné t'ááłá'í nítínígo yódí áádóó jit'íinii bee ákidajidláa doogo ałdó' Diyin God haidiní'ą́ , áádóó łahjį' hwíí' nilíinii bik'é ajiyą́ągo nijishnishii baa hoł nihoozhǫǫh doo . Díí lą́ą Diyin God einíláii át'é ni .
21:5:020:0	Háálá hwíiníłką́ą́dę́ę́' doo hózhǫ́ bééjílniih da dooleeł , háálá Diyin God háni' yi'ósingo hajéí yił hóshǫ́ .
