21:9:001:1	Diné be'iina' doo ahedaałt'ée da
21:9:001:0	Háálá díí t'áá ałtso baa hodeeshnih biniyé shijéí bii'di baa nitsísíkééz : diné t'áá ákogi át'éii áádóó diné hóyáanii índa binaanish áyoolíiłii t'áá ałtso Diyin God bee bóhólnííh ; ayóó'ó'ó'ní , doodaii' ak'ediniih bidááhgóó hólǫ́ǫ dooleełígíí t'áá ałtso diné doo bił bééhózin da .
21:9:002:0	T'áá ałtso aheełt'éego bich'į' áhoonííł : diné t'áá ákogi át'éii áádóó doo yá'áshóonii , diné yá'át'éehii áádóó yá'át'éehgo bii' honít'i'ii índa nichǫ́'ígo bii' honít'i'ii , diné náá'iiłniihii áádóó diné doo náá'iiłniihígíí t'áá aheełt'éego bich'į' áhoonííł ; diné yá'át'éehiigi át'éego , bąąhági ááníiłii ałdó' t'áá ákót'é , áádóó ádee hahididziihii , índa ádee ha'didziih yits'ąą yisti'ii t'áá ákót'éego bich'į' áhoonííł .
21:9:003:0	Oo'áłígíí biyaagi baa nida'aldeehígíí t'áá ałtso bitahgi doo yá'áshóonii hólǫ́ , éí diné t'áá ałtso aheełt'éego bich'į' áhoonííł ; t'áá aaníí , nihokáá' dine'é doo yá'áshóonii t'éí bii' hadadeezbin , áádóó t'ah dahináago t'óó áhodiigisii t'éí bijéí bii' hadadeezbin , áádóó bik'ijį' aninéégóó ahikááh .
21:9:004:0	Áko t'áá háiida éí dahináanii bizhdiiyáii éí há chohoo'į́ . Háálá náshdóítsoh bitsiijį' ditł'ooígíí daaztsáanii biláahgo łééchąą'í hináájí yá'át'ééh .
21:9:005:0	Háálá dahináanii dadínóonéełgo bił béédahózin , nidi daneeznáanii éí t'áadoo bił béédahóziní da , áádóó t'áadoo hach'į' nináádaolyéłí da , nidi haa dahoyoos'nah .
21:9:006:0	Bibee ayóó'áda'ó'ni' yę́ę áádóó ak'ee dadiniihii índa da'oołch'į́į́d yę́ę ałk'idą́ą́' ádaasdįįd , áádóó oo'áłígíí biyaagi baa nida'aldeehii łahdóó hool'áágóó doo baa nináádazhdookah da .
21:9:007:0	Nílááh , nił hózhǫ́ǫgo nibááh niyą́ , nijéí bił hózhǫ́ǫgo niwáin nidlą́ , háálá ninaanish nilíinii Diyin God t'áá íídą́ą́' bił yá'íít'ééh .
21:9:008:0	T'áá áłahjį' ni'éé' łigaigo áádóó nitsii' yistłahgo íínísin .
21:9:009:0	Oo'áłígíí biyaagi ni'ííníłdįįd bijį́įjį' t'áadoo nánídlínígóó níyoołkáałgo neidiní'ánígíí biyi' nił hózhǫ́ǫgo ne'asdzą́ą́ ayóó'ííní'níinii bił hiníná , háálá oo'áłígíí biyaagi hinínánígíí áádóó binishínílnishii bits'ą́ą́dóó níí' dooleełii át'é .
21:9:010:0	T'áá bik'i hidiilníhígíí dziilí bee baa naniná , háálá díníyáhígóó naanish áádóó nahat'á áádóó ił ééhózin índa hódzą́ jishcháa'di ádin .
21:9:011:0	Áádóó nitsínáásíkéezgo oo'áłígíí biyaagi doo nidadilna'ii łahda t'áá baa honinééh , índa dahayóii anaa'gi łahda t'áá bik'eh hodidleeh áádóó dahóyáanii bááh łahda doo shóidoołt'eeł da índa diné ak'idadi'yiitįįhii łahda doo adoot'įįł da áádóó diné da'iichįįhii łahda doo bich'odaha'níígóó yiiłtsą́ , áko t'áá ałtso bá bik'íhwiilzhíísh áádóó bá ashja da'ale' .
21:9:002:1	Hódzą́ éí adziil biláahdi yá'át'ééh
21:9:012:0	Ákohgo diné dazdootsaałígíí ałdó' doo hoł bééhózin da ; t'áá łóó' bee hahaltsósí éí łóó' doo bá yá'át'ééhgóó yiih yígháhígi át'éego áádóó tsídii éí łoh yiih yigháhígi át'éego , t'áá ákót'éego nihokáá' dine'é t'áadoo kót'é ílíní doo bá yá'át'éehii bik'i hwiileeh .
21:9:013:0	Áádóó ałdó' oo'áłígíí biyaagi díí hódzą́ át'éegi yiiłtsą́ , áádóó shił ayóó át'é :
21:9:014:0	áłch'į́į́dígo kin haal'á , áádóó ákwii dinéhígíí t'áá díkwíí yee' kééhat'į́ ; nít'éé' aláahgo naat'áanii ayóo da'át'éé léi' bich'į' nídiidzáago bisiláo honéíst'i' áádóó hóbááh dooleełdóó ayóó át'éego hasht'eyiilaa .
21:9:015:0	Nít'éé' ákwii diné léi' bahojoobá'í , nidi hóyą́ągo naagháá lá , áko éí bibee hódzą' bee t'áá kin haal'áá nít'éé' yisdá'ííjaa' , nidi diné hahojoobá'ígíí t'áadoo ła' hwénáálnii'í da .
21:9:016:0	Áko ádíshní , Dziil biláahgo hódzą́ yá'át'ééh lá . Azhą́ ákót'ée nidi , diné bahojoobá'ígíí habee hódzą' dayíí'įįd , áádóó hazaad doo dayíists'ą́ą' da .
21:9:017:0	Doo ádahalyáanii bitahgóó ayóó íits'a'go nant'áhígíí biláahgo dahóyáanii bizaad hasyéelgo dzidiizts'ą́ą́'jí yá'át'ééh .
21:9:018:0	Bee na'abaahii biláahgo hódzą́ yá'át'ééh , nidi diné t'ááłá'í ádił ni'iilzíhígíí t'óó ahayóí yá'ádaat'éehii áyoołdįįł .
