3:25:001:0	And the spake unto Moses in mount Sinai , saying ,
3:25:002:0	Speak unto the children of Israel , and say unto them , When ye come into the land which I give you , then shall the land keep a sabbath unto the .
3:25:003:0	Six years thou shalt sow thy field , and six years thou shalt prune thy vineyard , and gather in the fruit thereof ;
3:25:004:0	But in the seventh year shall be a sabbath of rest unto the land , a sabbath for the : thou shalt neither sow thy field , nor prune thy vineyard .
3:25:005:0	That which groweth of its own accord of thy harvest thou shalt not reap , neither gather the grapes of thy vine undressed : for it is a year of rest unto the land .
3:25:006:0	And the sabbath of the land shall be meat for you ; for thee , and for thy servant , and for thy maid , and for thy hired servant , and for thy stranger that sojourneth with thee ,
3:25:007:0	And for thy cattle , and for the beast that are in thy land , shall all the increase thereof be meat .
3:25:008:0	And thou shalt number seven sabbaths of years unto thee , seven times seven years ; and the space of the seven sabbaths of years shall be unto thee forty and nine years .
3:25:009:0	Then shalt thou cause the trumpet of the jubilee to sound on the tenth day of the seventh month , in the day of atonement shall ye make the trumpet sound throughout all your land .
3:25:010:0	And ye shall hallow the fiftieth year , and proclaim liberty throughout all the land unto all the inhabitants thereof : it shall be a jubilee unto you ; and ye shall return every man unto his possession , and ye shall return every man unto his family .
3:25:011:0	A jubilee shall that fiftieth year be unto you : ye shall not sow , neither reap that which groweth of itself in it , nor gather the grapes in it of thy vine undressed .
3:25:012:0	For it is the jubilee ; it shall be holy unto you : ye shall eat the increase thereof out of the field .
3:25:013:0	In the year of this jubilee ye shall return every man unto his possession .
3:25:014:0	And if thou sell ought unto thy neighbour , or buyest ought of thy neighbour 's hand , ye shall not oppress one another :
3:25:015:0	According to the number of years after the jubilee thou shalt buy of thy neighbour , and according unto the number of years of the fruits he shall sell unto thee :
3:25:016:0	According to the multitude of years thou shalt increase the price thereof , and according to the fewness of years thou shalt diminish the price of it : for according to the number of the years of the fruits doth he sell unto thee .
3:25:017:0	Ye shall not therefore oppress one another ; but thou shalt fear thy God : for I am the your God .
3:25:018:0	Wherefore ye shall do my statutes , and keep my judgments , and do them ; and ye shall dwell in the land in safety .
3:25:019:0	And the land shall yield her fruit , and ye shall eat your fill , and dwell therein in safety .
3:25:020:0	And if ye shall say , What shall we eat the seventh year ? behold , we shall not sow , nor gather in our increase :
3:25:021:0	Then I will command my blessing upon you in the sixth year , and it shall bring forth fruit for three years .
3:25:022:0	And ye shall sow the eighth year , and eat yet of old fruit until the ninth year ; until her fruits come in ye shall eat of the old store .
3:25:023:0	The land shall not be sold for ever : for the land is mine ; for ye are strangers and sojourners with me .
3:25:024:0	And in all the land of your possession ye shall grant a redemption for the land .
3:25:025:0	If thy brother be waxen poor , and hath sold away some of his possession , and if any of his kin come to redeem it , then shall he redeem that which his brother sold .
3:25:026:0	And if the man have none to redeem it , and himself be able to redeem it ;
3:25:027:0	Then let him count the years of the sale thereof , and restore the overplus unto the man to whom he sold it ; that he may return unto his possession .
