3:18:001:0	And the spake unto Moses , saying ,
3:18:002:0	Speak unto the children of Israel , and say unto them , I am the your God .
3:18:003:0	After the doings of the land of Egypt , wherein ye dwelt , shall ye not do : and after the doings of the land of Canaan , whither I bring you , shall ye not do : neither shall ye walk in their ordinances .
3:18:004:0	Ye shall do my judgments , and keep mine ordinances , to walk therein : I am the your God .
3:18:005:0	Ye shall therefore keep my statutes , and my judgments : which if a man do , he shall live in them : I am the .
3:18:006:0	None of you shall approach to any that is near of kin to him , to uncover their nakedness : I am the .
3:18:007:0	The nakedness of thy father , or the nakedness of thy mother , shalt thou not uncover : she is thy mother ; thou shalt not uncover her nakedness .
3:18:008:0	The nakedness of thy father 's wife shalt thou not uncover : it is thy father 's nakedness .
3:18:009:0	The nakedness of thy sister , the daughter of thy father , or daughter of thy mother , whether she be born at home , or born abroad , even their nakedness thou shalt not uncover .
3:18:010:0	The nakedness of thy son 's daughter , or of thy daughter 's daughter , even their nakedness thou shalt not uncover : for theirs is thine own nakedness .
3:18:011:0	The nakedness of thy father 's wife 's daughter , begotten of thy father , she is thy sister , thou shalt not uncover her nakedness .
3:18:012:0	Thou shalt not uncover the nakedness of thy father 's sister : she is thy father 's near kinswoman .
3:18:013:0	Thou shalt not uncover the nakedness of thy mother 's sister : for she is thy mother 's near kinswoman .
3:18:014:0	Thou shalt not uncover the nakedness of thy father 's brother , thou shalt not approach to his wife : she is thine aunt .
3:18:015:0	Thou shalt not uncover the nakedness of thy daughter in law : she is thy son 's wife ; thou shalt not uncover her nakedness .
3:18:016:0	Thou shalt not uncover the nakedness of thy brother 's wife : it is thy brother 's nakedness .
3:18:017:0	Thou shalt not uncover the nakedness of a woman and her daughter , neither shalt thou take her son 's daughter , or her daughter 's daughter , to uncover her nakedness ; for they are her near kinswomen : it is wickedness .
3:18:018:0	Neither shalt thou take a wife to her sister , to vex her , to uncover her nakedness , beside the other in her life time .
3:18:019:0	Also thou shalt not approach unto a woman to uncover her nakedness , as long as she is put apart for her uncleanness .
3:18:020:0	Moreover thou shalt not lie carnally with thy neighbour 's wife , to defile thyself with her .
3:18:021:0	And thou shalt not let any of thy seed pass through the fire to Molech , neither shalt thou profane the name of thy God : I am the .
3:18:022:0	Thou shalt not lie with mankind , as with womankind : it is abomination .
3:18:023:0	Neither shalt thou lie with any beast to defile thyself therewith : neither shall any woman stand before a beast to lie down thereto : it is confusion .
3:18:024:0	Defile not ye yourselves in any of these things : for in all these the nations are defiled which I cast out before you :
3:18:025:0	And the land is defiled : therefore I do visit the iniquity thereof upon it , and the land itself vomiteth out her inhabitants .
3:18:026:0	Ye shall therefore keep my statutes and my judgments , and shall not commit any of these abominations ; neither any of your own nation , nor any stranger that sojourneth among you :
3:18:027:0	( For all these abominations have the men of the land done , which were before you , and the land is defiled ; )
3:18:028:0	That the land spue not you out also , when ye defile it , as it spued out the nations that were before you .
3:18:029:0	For whosoever shall commit any of these abominations , even the souls that commit them shall be cut off from among their people .
3:18:030:0	Therefore shall ye keep mine ordinance , that ye commit not any one of these abominable customs , which were committed before you , and that ye defile not yourselves therein : I am the your God .
