11:13:001:1	Júdah dine'é bitahdóó Diyin God yá halne'ii éí Jerobówam bich'į' áhodooníłígíí yee yi'níłnii'
11:13:001:0	Nít'éé' shoo, Júdah dine'é bitahdóó Diyin God yá halne'ii éí Bóhólníihii yee haadzí'ígíí bik'ehgo Bétheljį' níyá, áádóó Jerobówam éí łikání halchingo dilidii nááhizhdoołnih biniyé bikáá' náá'iiniihí bíighahgi dzizį́. 
11:13:002:0	Áko bikáá' náá'iiniihí éí Bóhólníihii yee haadzí'ígíí bee yéego yik'ijį' haadzíi'go ání, Bikáá' náá'iiniihí, náá'iiniihí nílíinii, Bóhólníihii kóníłní, Jó, David ba'áłchíní náás ahoolchíiłii bitahdóó awéé' doochííł; éí Josáíyah bee yídóojiił; éí nááda'iiłniihii ninádahałaah doo biniyé wódahgo nahaz'ą́ągo ádayiilaaígíí nikáá'dóó tsin bijeeh dilidgo łikání halchinii náádayiiłniihígíí nikáá'dóó nááhodiyoołnih áádóó nikáa'gi diné bits'in didoodlił. 
11:13:003:0	Áádóó t'áá éí bijį́ bee ééhózinii hach'į' áyiilaa kóníigo, Díí éí bee ééhózinii Bóhólníihii yee haadzí'ígíí át'é, Jó, bikáá' náá'iiniihí ahádooltǫǫłgo bikáa'gi łeeshch'iih éí hadadoozhosh. 
11:13:004:0	Nít'éé' aláahgo naat'áanii Jerobówam éí Diyin God yá halne'ii Béthelgi bikáá' náá'iiniihí yik'ijį' haadzíi'go yidiizts'ą́ą'go bikáá' náá'iiniihí bíighahdóó k'ízhdeeshchidgo ájíní, Daosxił. Áádóó hála' bee bik'ijį' k'ízhdeeshchidígíí ahaniníyáago sigan, áko doo t'ą́ą́' anízhdólnííh át'ée da silį́į́'. 
11:13:005:0	Diyin God yá halne'ii éí Bóhólníihii yee haadzíi'go bee ééhózinii áyiilaaígíí bik'ehgo bikáá' náá'iiniihí ałdó' ahááltǫ'go łeeshch'iih hadáázhoozh. 
11:13:006:0	Nít'éé' aláahgo naat'áanii éí Diyin God yá halne'ii yich'į' haadzíi'go ání, Bóhólníihii niDiyin God k'ad néinikąąhgo shá sodílzin, áko shíla' yá'át'ééh nídoodleeł. Áádóó Diyin God yá halne'ii éí Bóhólníihii náyooskango aláahgo naat'áanii bíla' hadaałt' é bá ánályaago t'áá át'é yę́ęgi át'é násdlį́į́'. 
11:13:007:0	Aláahgo naat'áanii éí Diyin God yá halne'ii ííłní, Tį', shighangóó nídiit'ashgo háádíílyįh áádóó bik'é nich'į' nidoolyéełii naa deeshłééł. 
11:13:008:0	Áádóó Diyin God yá halne'ii éí aláahgo naat'áanii ííłní, Nighan ałníí'dóó shaa dííní'ą́ą nidi doo ákǫ́ǫ́ nił deesh'ash da, doo nidi ákwii bááh deeshį́įł da, tó nidi doo deeshdlį́įł da, 
11:13:009:0	háálá Bóhólníihii kót'éego yee haadzíi'go áshidííniid, Bááh doo dííyį́įł da, tó ałdó' doo díídlį́įł da, áádóó yíníyá yę́ędę́ę́' doo t'áá ákóne' t' ą́ą́' nídíídáał da. 
11:13:010:0	Áko náánáłahjigo anídzoodzá; Bétheljį' jiníyá yę́ędę́ę́' doo t'áá ákóne' t'ą́ą́' nídzídzáa da. 
11:13:011:0	Nít'éé' Béthelgi Diyin God yá halne'ii haastih léi' kééhat'į́į́ lá; éí biye'ké baa yíkaigo t'áá éí bijį́ Béthelgi Diyin God yá halne'ii yaa naayáhígíí áádóó aláahgo naat'áanii yich'į' hahaasdzí'ígíí ałdó' bizhé'é yee yił dahoolne'. 
11:13:012:0	Áádóó bizhé'é ábíłní, Háajigoshą' ííyá? Háálá haye'ké éí Júdahdę́ę́' Diyin God yá halne'ii níyáhígíí ííyáajigoígíí hadayíísid. 
11:13:013:0	Áádóó haye'ké ábijiní, Télii shá bik' i dah asohnííł. Áko há yik'i dah da'aznilgo hoł dah diildloozhgo 
11:13:014:0	Diyin God yá halne'ii bikéé' dashdiiyáago chéch'ilyaagi sidáago bik'ízhníyá, áko ábizhdííniid, Da' niísh Diyin God yá halne'ii Júdahdę́ę́' níyáhígíí ánít'į́? Áko ání, Éí ásht'į́. 
11:13:015:0	Nít'éé' ánáábizhdoo'niid, Tį', shighangóó nídiit'ashgo bááh dííyį́į́ł. 
11:13:016:0	Áádóó ájíní, T'ą́ą́'góó nił nídeesht'ash doo shá bohónéedzą́ą da, índa doo nidi nił yah adeesh'ash da; kwe'é nahós'a'gi doo nidi adiidį́įł da, áádóó tó nidi doo diidlį́įł da, 
11:13:017:0	háálá Bóhólníihii shich'į' haadzíi'go ání, Áadi bááh doo dííyį́įł da índa tó doo díídlį́įł da, áádóó yíníyá yę́ędę́ę́' doo t'áá ákóne' t'ą́ą́' nídíídáał da. 
11:13:018:0	Áko áhodííniid, Shí lá ałdó' t'áá nigi át'éego Diyin God yá halne'ii nishłį́ ni; Bóhólníihii haadzíi'go diyingo naal'a'í shił hoolne'go ání, Bááh yidooyį́į́ł áádóó tó yidoodlį́į́ł biniyé nighandi bił nídíít'ash. Nidi éí honíí'aa'. 
