11:6:001:1	Sálaman éí Bóhólníihii bikin bii' sohodizin íílééh
11:6:001:0	Áko Ííjip kéyahdę́ę́' Ízrel dine'é ch'íná'náádóó bik'ijį' dį́įdi neeznádiindóó ba'aan tseebídiin nááhaijį' ahoolzhiizhgo Sálaman éí Ízrel dine'é binazhnit'áago dį́į́' náhááh góne', naaki nídízííd góne' Zif yiziłígíí binih Bóhólníihii yá kin áyi'niilaa. 
11:6:002:0	Aláahgo naat'áanii Sálaman éí Bóhólníihii yá kin áyiilaii éí náhást'édiindi ké silá áhoníłnééz, áádóó tádiindi ké silá áhoníłtéél, índa dego dízdiindóó ba'aan ashdladi ké silá ánízah. 
11:6:003:0	Kin bii' sohodizin bidáahjigo béédiní'ą́ągo chaha'ohígíí éí tádiindi ké silá áhoníłnééz; éí naaniigo kin áníłtélígíí t'áá bił aheeníłtso; kin bidáahjigo ashdla'áadahdi ké silá áníłtéél. 
11:6:004:0	Áádóó wóne'dę́ę́' tł'óo'jigo hadadiits'óozgo áádę́ę́' yah ada'deezdíin doo biniyé áyiilaa. 
11:6:005:0	Kin bá ahéé'ítł'inígíí binahjį' tsé ahéédaastł'ingo kin binázt'i'; kin áádóó hodiyingo haz'ánígíí ałdó' tł'óó'dę́ę́' binaagi ahééda'astł'ingo éí t'áá át'é bii' dahooghango áyiilaa. 
11:6:006:0	Áłtséhé góne' dahooghanígíí éí tsosts'idóó ałníi'go ké naazlá ádahoníłtso, ná'ádeí góne' dahooghanígíí náhást'éí ké naazlá ádahoníłtso, áádóó índa táá' ná'ádeí góne' dahooghanígíí éí neeznáádóó ałníi'go ké naazlá ádahoníłtso, háálá á daní'áhígíí éí doo kin bá nídaastł'inígíí bighá daaz'áa da doo biniyé kin bá nídaastł'inígíí bąąh dah náhást'ą́ągo ahééhool'áago áyiilaa, áko á daní'áhígíí bikáa'gi dah naaztą́. 
11:6:007:0	Áádóó kin álnéehgo tsé hasht'edaalne'di t'áá íłdįįd hasht'edaalyaago áádę́ę́' nidayiizhjaa', áko bee atsidí áádóó tséniłda índa béésh bee nida'anishígíida doo chodao'į́į́góó t'áadoo íits'a'í kin ályaa. 
11:6:008:0	Áłtséhé góne' dahooghanígíí shádi'ááhdę́ę'go yah a'atiin, áádóó bikáá' góde hááda'aldahígíí ná'ádeídi dahooghaníjį' haaz'á, áádóó táá' ná'ádeídi dahooghaníjį' haaz'á. 
11:6:009:0	Kót'éego kin ííléehgo á daní'áhígíí áádóó akáá' naazhoozhígíí éí dilk'is tsin neheeshjíí' yee ałtso áyiilaa. 
11:6:010:0	Kin t'áá át'é binahjį' dahooghango áyiilaa; hooghan t'ááłá'í ní'ánígo dego tsosts'idóó ałníí' ké naazlá ádanízah. Dilk'is bídáátsélígíí ha'naa nidaaz'áago kin bidadii'á. 
11:6:011:0	Áádóó Bóhólníihii éí Sálaman yich'į' haadzíi'go ání, 
11:6:012:0	Díí kin áníléhígíí bee nich'į' haasdziih; bee nihodiyé'áanii bik'ehgo yínááł ládą́ą́' áádóó bee nihodiyiish'aahii bi'íínísin ládą́ą́' índa shibik'eh ó'oo'níiłii t'áá át'é bik'eh honíł'į́įgo yínáałgo nizhé'é David yę́ę bich'į' bee haasdzíí' yę́ę éí ná bi'deeshłííł, 
11:6:013:0	áko Ízrel dine'é bitahgi honishłǫ́ǫgo shidine'é Ízrel doo yóó'adideesh'áał da. 
11:6:014:0	Kót'éego Sálaman kin ííléehgo ałtso áyiilaa. 
11:6:015:0	Áko kin biyi'dę́ę́' dilk'is tsin neheeshjíí' tsé bik'ijį' nideiskaadgo ahééhool'á; ni'dóó dego tsé bik'ijį' ádayiilaa, índa sáípres wolyéii tsin dantł'izii tsin neheeshjíí' ályaago ni'góó nideiskaad. 
11:6:016:0	Kin wóniijí tádiindi ké silá bíighahjį' dilk'is tsin neheeshjíí' bee ni'dóó dego tsé bik'ijį' sikaad ályaago ahééhool'á; kót'éego kin biyi' hodílzin bich'į'go agháago hodiyingo haz'ánígíí bá ahééhool'á. 
11:6:017:0	Éí agháago hodiyingo haz'ánígíí bidáahjigo hastą́diin ké silá áníłnééz. 
11:6:018:0	Kin biyi'dę́ę́' dilk'is tsin neheeshjíí' niilkaadígíí bik'i na'ashk'aazhgo adee' áádóó ch'ilátah hózhóón bééda'alyaago naashch'ąą'. Dilk'is tsin neheeshjíí' tsé bik'ijį' niilkaadígíí bee tsé doo daat'į́į́góó ályaa. 
11:6:019:0	Kin biyi' agháago hodiyingo haz'ání góne' Bóhólníihii bitsits'aa' bee aha'deet'áanii nidoot'áłígi yá hasht'ehoolaa. 
11:6:020:0	Agháago hodiyingo haz'ánígíí éí tádiindi ké silá áhoníłnééz áádóó tádiindi ké silá áhoníłtéél índa dego tádiindi ké silá ánízah, áádóó óola t'áá bízhání bik'ésti'go áyiilaa. Bikáá' náá'iiniihí éí dilk'is tsin neheeshjíí' bee ałdó' áyiilaa. 
11:6:021:0	Kót'éego Sálaman éí kin áyiilaaígíí biyi'dę́ę́' óola t'áá bízhání bik'ésti'go áyiilaa, áádóó agháago hodiyingo haz'ánígíí bidáahgi óola da'ahólzha'í ha'naa naneelzhee'go ałts'ą́ą́hjí bidíníilzhee'ígi dilk'is tsin neheeshjíí' ałts'ą́ą́hjí ha'naa naní'áhígíí óola bik'ésti'go áyiilaa. 
11:6:022:0	Áko kin t'áá át'é biyi'dę́ę́' óola bik'ésti'go ts'ídá ałtso kin haidiilaa, áádóó ałdó' agháago hodiyingo haz'ánígíí bíighahgi bikáá' náá'iiniihí niiní'ą́ągo t'áá át'é óola yik'íísti'.  
11:6:023:0	Agháago hodiyingo haz'ání góne' áliv tsin bee chérabim diyingo naal'a'í naakigo dego ashdla'áadahdi ké silá áníłnéezgo áyiilaa. 
11:6:024:0	Chérab bit'a' ła' éí tsosts'idóó ná'áłníí' ké silá áníłnééz, áádóó chérab náánáłahjiígíí éí ałdó' tsosts'idóó ná'áłníí' ké silá áníłnééz, índa bílátah bita' gi ashdla'áadahdi ké silá ánízah. 
11:6:025:0	Chérab náánáła'ígíí ashdla'áadahdi ké silá bita' ánízah; éí chérab t'áá áłah t'áá aheeníłtso áádóó t'áá aheełt'éego ályaa. 
11:6:026:0	Chérab ła' éí ashdla'áadahdi ké silá áníłnééz, áádóó náánáła'ígíí ałdó' t'áá ákóníłnééz. 
11:6:027:0	Áko diyingo naal'a'í chérabim wolyéhígíí kin wóniidi agháago hodiyingo haz'ánígi niinínilgo éí chérabim bita' k'íhineezláago áyiilaa, áko ła' bit'a' łahjí kin bidii'á, áádóó chérab náánáła'ígíí bit'a' éí ałdó' łahjí kin bidii'á, índa bit'a' náánáła'ígíí kin ałníi'gi ahidii'á. 
11:6:028:0	Áádóó diyingo naal'a'í chérabim wolyéhígíí óola bik'ésti'go áyiilaa.  
11:6:029:0	Áko kin biyi'dę́ę́' ahéédaneeskálígíí t'áá át'é tł'óó'dę́ę́' áádóó biyi'dę́ę́' binahjį' chérabim wolyéhígíí áádóó tsin sikaadii páam índa ch' ilátah hózhóón ąą ádaat'éego bik'ijį' na'ashk'aazhígóó neizhch'ąą'. 
11:6:030:0	Áádóó kin bii' ni'góó nideiskaadígíí éí óola bik'ésti'go áyiilaa. 
11:6:031:0	Áko agháago hodiyingo haz'ánígíí yah ahóót'i'ígíí éí áliv tsin bee dáń'dílkałgo áyiilaa, wódahdi ha'naa naní'áhígíí índa ałts'ą́ą́hjí dáádílkał bá íí'áhígíí ashdla'dę́ę'go bídazniik'ą́ągo áyiilaa. 
11:6:032:0	Naakigo dáádílkałígíí ałdó' áliv tsin bee ályaa; bikáa'gi diyingo naal'a'í chérabim áádóó tsin sikaadii páam índa ch'ilátah hózhóón ąą ádaat'éego bik'ijį' na'ashk'aazhígóó neizhch'ąą', áko óola bik'ésti'go ályaa, índa chérabim áádóó tsin sikaadii páam bikáá' óola bik'ésti'go ályaa. 
11:6:033:0	Áádóó ałdó' kin bii' sohodizin bidáádílkał ałts'ą́ą́hjí íí'áhígíí áliv tsin bee dį́į́'dę́ę́' bídazniik'ą́ągo áyiilaa. 
11:6:034:0	Áádóó naakigo dáádílkałígíí éí tsin sáípres wolyéhígíí bee ályaa. T'ááłá'í dáádílkałígíí naakigo ahą́ą́h nániidił, áádóó náánáła' dáádílkałígíí ałdó' naakigo ahą́ą́h nániidił. 
11:6:035:0	Áko diyingo naal'a'í chérabim wolyéhígíí áádóó tsin sikaadii páam índa ch'ilátah hózhóón ąą ádaat'éego bik'ijį' na'ashk'aazhígóó neizhch'ąą' áádóó óola ałt'ą́ą́'ígo bik'ésti'go áyiilaa. 
11:6:036:0	Áádóó nááda'iiłniihii bá haz'ánígi éí tsé hasht'e'nibída'astséelii táá' ałk'i nít'i'go bikáa'gi dilk'is bídáátsélígíí shizhoozhgo áyiilaa. 
11:6:037:0	Dį́į́' náhááh góne' éí nídízííd Zif yiziłígíí binih Bóhólníihii bikin bitł'ááh nástł'iní ályaa, 
11:6:038:0	áádóó ła'ts'áadah náhááh góne', tseebíí nídízííd góne' Bul yiziłígíí binih kin ts'ídá ałtso hadidzaa; ádoolnííł hodoo'niid yę́ęgi át'éego t'áá ákót'éego ályaa. Áko t'áá ájíléehgo tsosts'id nááhai.
