11:16:001:0	Nít'éé' Hanéínai biye' Jííhu éí Bóhólníihii bich'į' haadzíi'go Béíyasha yik'ijį' nilį́įgo kóní, 
11:16:002:0	Łeeshtahdóó nándiiłtį́įgo shidine'é Ízrel binanit'a'í nílį́įgo ániishłaago áádóó Jerobówam yaa naayáhígíí dah díníłkáa'go shidine'é Ízrel ni'iidzííh biih yínínilgo ádił nida'iisííh bee shá hwííníłchįįdígíí biniinaa, 
11:16:003:0	jó, Béíyasha ba'áłchíní náás ahoolchíiłii índa dabik'éí náás ahoolchíiłii nahjį' ádeeshłíiłgo Nííbat biye' Jerobówam ba'áłchíní náás ahoolchíiłii áshłaa yę́ęgi át'éego na'áłchíní náás ahoolchíiłii ałdó' ákódeeshłííł. 
11:16:004:0	T'áá háiida kin haal'áagi Béíyasha bits'ą́ą́dóó dajílíinii dazneeznánígíí éí łééchąą'í dahodoolghał áádóó t'áá háiida níléí tł'óo'di dazneeznánígíí éí tsídii nidaat'a'ii dahodooyį́į́ł. 
11:16:005:0	Áko łahjį' Béíyasha yaa naayáhígíí áádóó ayóó át'éego yaa naayáhígíí éí Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
11:16:006:0	Ákohgo Béíyasha éí dabizhé'é yę́ę ada'iishxaazhígi át'éego i'jííłhaazhgo Térzahgi yóó'áho'diilyaa, áádóó haye' Íílah hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'. 
11:16:001:1	Íílah nant'áá nít'éé'
11:16:007:0	Áádóó ałdó' Hanéínai biye' Jííhu éí Diyin God yá halne'ii binahjį' Bóhólníihii éí Béíyasha áádóó ba'áłchíní ahoolchíiłii yik'ijį' nilį́įgo haadzíí', háálá Bóhólníihii binááł doo yá'áshónígi ájíít'įįdígíí bee Bóhólníihii bá hojííłchįįd; éí Jerobówam ba'áłchíní náás ahoolchíiłii ádáát'įįdígi át'éego ádziidzaa índa Néídab jiisxį́. 
11:16:008:0	Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo naadiin hastą́ą́h náhááh binih Béíyasha biye' Íílah éí Térzah kin haal'áagi Ízrel dine'é yinant'áago naaki nááhai. 
11:16:009:0	Nít'éé' Térzahgi nijigháago haghan há yaa áhályáanii Árza bighan góne' ajidlą́ągo hoł honiidoigo há naal'a'í Zímrai hatsindaabąąs bijáád naakiígíí ałníí'dóó ánéelą́ą'go yinanit'a'í nilíinii hak'ijį' hodeez'ą́. 
11:16:010:0	Áko Zímrai ákóne' yah ííyáago hoł dzideesxaalgo hwiisxį́; Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo naadiin tsosts'id náhááh binih Zímrai hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'. 
11:16:011:0	Áko nant'á silį́į'go t'áá áko bikáá'dóó nahat'áii yikáá' dah neezdáago Béíyasha ba'áłchíní ałtso neistseed; diné t'áá ałtso t'áá ashiikéjį' dahak'éígíí índa dahak'isóó doo ła' ch'ééyáa da. 
11:16:012:0	Kót'éego Diyin God yá halne'ii Jííhu binahjį' Bóhólníihii éí Béíyasha yik'ijį' saad yee haadzí'ígíí bik'ehgo Zímrai éí Béíyasha ba'áłchíní ałtso íísdįįd, 
11:16:013:0	háálá Béíyasha índa biye' Íílah ádił ni'iidzííh t'áá át'é yee ni'iisí'ígíí áádóó eda'alyaii daahóhígíí bee Ízrel dine'é nida'iisíihgo ádajiilaaígíí bee Bóhólníihii Ízrel biDiyin God bá dahojííłchįįd. 
11:16:002:1	Zímrai nant'áá nít'éé'
11:16:014:0	Áko Íílah yaa naayáhígíí t'áá át'é índa íídą́ą́' ádahóót'įįdígíí éí Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
11:16:015:0	Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo naadiin tsosts'id náhááh binih Térzahgi Zímrai nant'áago tsosts'id yiską́. Áko bidine'é éí Gíbiithan kin haal'á Filístiya dine'é bíhígíí yik'ijį' nidahaazná. 
11:16:016:0	Nít'éé' Zímrai éí aláahgo naat'áanii yinahaz'ą́ągo áádóó yiyiisxį́įgo ałdó' diné nidahaaznánígíí dayíínii'; éí bąą t'áá éí bijį́ nida'iiznánígi Ízrel dine'é t'áá ałtso siláo dah deínéehii yinanit'a'í nilíinii Ámrii éí Ízrel binanit'a'í nilį́įgo ádayiilaa. 
11:16:017:0	Áádóó Ámrii índa Ízrel dine'é t'áá ałtso yił Gíbiithandę́ę́' Térzah kin haal'á góde haaskaigo áádóó yizéénáshzhiizhgo anadayííł'įįd. 
11:16:018:0	Nít'éé' Zímrai éí kin haal'á yisnáago yaa ákoniizį́į'go aláahgo naat'áanii bighan náwóne'é níléí ałníi'di haz'ání góne' yah ajííyáago ádík'ijį' bohozhdíínilgo dadziztsą́, 
11:16:019:0	háálá Bóhólníihii binááł doo yá'áshóonii baa nijigháago éí bee bąąhági át'éii bee ni'jiisíihgo Jerobówam jideeskáa'go áádóó yee ni'iisíihgo yaa naayáhígíí éí Ízrel dine'é ádił nida'iisíihgo ájiilaa. 
11:16:003:1	Ámrii nant'áá nít'éé'
