11:3:001:1	Sálaman éí Féro bitsi' ya'azyeh
11:3:001:0	Áádóó Sálaman éí Ííjip kéyahdóó aláahgo naat'áanii Féro iigeh binahjį' yił aha'deet'ą́ągo Féro bitsi' yił ahaa yít'áázh, áádóó David bikin haal'áagi bił ajíí'áazhgo t'áá hó haghan áádóó Bóhólníihii bikin bii' sohodizin índa Jerúsalem kin haal'áagi ditą́ągo binaa ahéé'ítł'inígíí ájíléhígíí ałtso ájiilaajį' ákwii bił haghan. 
11:3:002:1	Sálaman éí hódzą́ yíká sodoolzin
11:3:002:0	Nidi hodine'é éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi nááda'iiłniih nít'éé', háálá íídą́ą́' Bóhólníihii bikin bii' sohodizin bee wójíii t'ah doo álnéeh da. 
11:3:003:0	Sálaman éí Bóhólníihii ayóó'áyó'ní; bizhé'é David yę́ę yee nihwiiz'áanii yik'ehgo yigááł; t'áá hazhó'ó náájiiłniihígíí áádóó tsin bijeeh dilidgo łikání halchinii éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi náá'jiiłniih. 
11:3:004:0	Áádóó aláahgo naat'áanii éí Gíbiyan kin haal'áágóó náádi'yoołnih yiniyé ííyá, háálá éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaaígíí aláahgo áhoníłtso; ákwe'é Sálaman éí t'ááłáhídi mííl didlidgo nááhániihii éí bikáá' náá'iiniihí yikáa'jį' nááyiisnii'. 
11:3:005:0	Áko Gíbiyandi Sálaman éí tł'ée'go Bóhólníihii hach' į' yit'íní í'diilyaago baa nijiiyeełgo Diyin God kóshíłní jinízin, Shííníkeedígíí naa dideesh'ááł. 
11:3:006:0	Áádóó Sálaman ání, Shizhé'é David ná naal'a'í yę́ę ayóó át'éego baa a'áhí nínízingo ninááł yigáałgo t'áá aaníinii índa t'áá ákogi át'éii, áádóó bijéí t'áá ákwii át'éego nił yi'ash nít'éé'. Áádóó díí ayóó átéego bich'į' ná'áhwiinít'į́'í bá íínísin nít'éé', éí biye' ła' béíníłtį́įgo bibikáá'dóó nahat'áii yikáá' dah neezdá, éí díí jį́į́góó ákót'é. 
11:3:007:0	Áádóó k'ad, Bóhólníihii shiDiyin God nílíinii, shizhé'é David yę́ę bitsásk'ehgi ná naal'a'í nishłį́įgo aláahgo naat'áanii áshiinilaa; shíyee' áłchíní nahonishłin; ch'í'iidáahgo doodaii' yah aná'iidáahgo doo shił bééhózin da. 
11:3:008:0	Áádóó ná naal'a'í éí nidine'é nídininilígíí yitahgi naaghá; dine'é t'óó ahayóigo doo jóołta' ánéelą́ą' da. 
11:3:009:0	Éí bąą ná naal'a'í nishłíinii shijéí bee ak'idi'yiishtįįh áshíléehgo nidine'é bá nihodiyiish'aah doo, áko yá'ádaat'éehii índa doo yá'ádaat'éehii baa ákohiniisįįh doo. Jó, háishą' díí nidine'é t'áadoo bee néelą́'ígóó yíl'áhígíí bá nihozhdiyii'aahgo bízhneel'ą́? 
11:3:010:0	Áko Sálaman díí yiyííkeedígíí Bóhólníihii bąą bił hóózhǫǫd. 
11:3:011:0	Áádóó Diyin God áháłní, Jó, díí yíníkeedígíí doo t'áá ni as'ahgóó hinínáa da doo biniyé yííníkeed da, doodaii' adíít'įįłígíí doo ádá yííníkeed da, doodaii' ni'ana'í nidootsiłgo doo yííníkeed da, nidi t'áá ni ádá bee ak'idi'díítį́įłii éí t'áá ákwii ádaat'éii índa doo yá'ádaat'éehii baa ákohiniizįįh doo biniyé yííníkeed; éí biniinaa, 
11:3:012:0	shoo, t'áá yíníkeedígíí bik'ehgo íisdzaa; jó, honíyą́ą doo índa t'áadoo le'é baa ákonínízin doo biniyé naa diní'ą́; nítséedi t'áadoo ła' ákójít'éhí da nít'éé', áádóó nikéé' áhásdįįdóó doo ła' nigi át'éego nazhnit'áa da doo. 
11:3:013:0	Áádóó díí t'áadoo yííníkeedígíí t'áá áłah at'į́ índa ił ídlį́ éí naa diní'ą́, áko aláahgo naat'áanii danilíinii bitahgóó doo ni ánít'éhígi ádaat'éégóó ni'dííłdįįł. 
11:3:014:0	Ádíshníinii bik'ehgo yínáałgo nizhé'é David hiná yę́ęgi át'éego bee nihoyí'áanii índa shibik'eh ó'oo'níiłii bik'eh ánít'éego as'ahgóó hinínáago ándeeshłííł. 
11:3:003:1	Sálaman éí hóyą́ągo ánihodii'aah
11:3:015:0	Áko Sálaman ch'éédzídzid nít'éé'; shoo, nidziizyeel lá. Áádóó Jerúsalem kin haal'áadi jiníyá, áko Bóhólníihii bitsits'aa' bee aha'deet'áanii bich'į' nizhníyáago didlidgo nááhániihii náájiisnii', índa hózhǫ́ǫ́jí nááhániihii náájiisnii', áádóó há nidaal'a'í t'áá át'é bá áda'dzíísįįd. 
11:3:016:0	Nít'éé' asdzání nidilt'éego ałjiłnii nilį́įgo aláahgo naat'áanii yaa ní'áazhgo yidááhdóó yiizį'. 
11:3:017:0	Áádóó asdzání ła' ání, Bóhonishníihii, shí áádóó díí asdzání bił t'áá ła' kin bii' nihighango t'áá ákóne' honiidlǫ́ǫgo shí ashéłchį́. 
11:3:018:0	Áádóó shí ashéłchį́į́dóó bik'ijį' táá' yiską́ągo díí asdzání ałdó' ashchį́, áko t'áá áníidlah ákóne' nihighan; t'áá háiida éí doo nihił naháaztą́ą da, nihí t'éiyá. 
11:3:019:0	Áko tł'ée'go díí asdzání be'awéé' daaztsą́, háálá bik'izneeztį́į́ lá. 
11:3:020:0	Áádóó tł'é'ííłníi'go éí asdzání nídii'na'go shiyáázh shíighahdóó néidiiłtį́įgo ádíighahgóó niiníłtį́į́ lá; shí asdzání ná naal'a'í nishłíinii ashhoshgo ájíít'įįd, áádóó bí be'awéé' daaztsánígíí éí shíighahgóó niiníłtį́į́ lá. 
11:3:021:0	Áádóó abínígo she'awéé' bidi'yeesht'oł biniyé nídiishna', nít'éé' daaztsą́ą́ lá, nidi t'áá éí abíní hazhó'ó nééł'į́į'go, shoo, shiyáázh t'áá shí shéłchínígíí doo éí át'į́į da. 
