49:1:001:1	Pen . j .
49:1:002:1	Ar ol ei ymanerch , Y mae yn dangos vot yr achos pennaf oi iachawdwrieth hwy yn sefyll yn rydd etholedigeth Duw trwy Christ . Mae ef yn dangos ei wyllys da yn ei cyfor hwy , gan ddiolwch a gweddiaw Duw dros y ffydd hwy . Mawredd Christ .
49:1:001:0	PAul Apostol Iesu Christ , gan ewyllys Duw , at y Sainctæ , yr ei ’sy yn Ephesus , ar ffyðloniō in‐christ Iesu :
49:1:002:0	Rat a vo gyd a chwi , a’ thangneðyf , y gann Dduw ein Tat , a’ chan yr Arglwydd Iesu Christ .
49:1:003:0	Bendigedic vo Duw ’sef Tat ein Arglwydd Iesu Christ , yr hwn a’n bendithiawdd a phob bendith ysprytawl yn nefolion yn Christ ,
49:1:004:0	megis yd etholes ef nyni ynddaw ef , cyn na sailiat y byt , val y byddem sanctaidd , ac yn ddiargywedd geir y vron ef yn‐cariat :
49:1:005:0	yr hwn a’n rac dervynawdd ni , i vabwrieth trwy Iesu Christ yðo ehun , erwydd gwirvodd y ewyllys ef ,
49:1:006:0	er moliant gogoniant ei rat , trwy ’r hwn rat y cymeradwyawdd ef nyni yn ei garedic ,
49:1:007:0	y gan yr vn y mae i ni brynedigeth trwy y waed ef , nid amgen y madduant pechotae , erwydd y ’oludawc rat ef :
49:1:008:0	a’r hwn y bu ef yn ampl yn ein cyfor ym pop doethinep a’ dyall ,
49:1:009:0	ac a egoroð i ni ddirgelwch ei wyllys erwydd ei rad vodd , rhwn a lunieithesei ef ynðaw ,
49:1:010:0	nid amgen yn llywodraeth cyfllawnder yr amseredd vod yddaw gyd gynull yn vn bop peth , ac a’r ysydd yn y nefoedd , ac a’r ys ydd yn y ddaiar , sef yn‐Christ :
49:1:011:0	yn yr hwn hefyt in detholwyt pan in rac dervynwyt erwyð ei rac osodiat ef ,
49:1:012:0	yr hwn a weithreda bop dim erwydd cygcor y wyllys ehunan , pan yw i ni , yr ei cyntaf a ’obeithesam yn‐Christ , vot er mawl y ’ogoniant ef :
49:1:013:0	yn yr hwy hefyt y gobeitheso‐chvvitheu gwedy ywch glywed gair y gwirionedd , ’sef Euangel ein iechedvvrieth chwi , yn yr hon hefyt gwedy ywch gredu , ich inseliwyt ac Yspryt glan y gaddewit ,
49:1:014:0	yr hwn yw ernes ein etiveddiaeth , hyd brynedigeth y meddiant a bvvrcasvvyt er moliant y ’ogoniant ef .
49:1:015:0	Erwydd paam hefyt , gwedy i mi glybot son am y ffyð , ’sy genwch yn yr Arglwyð Iesu , a’r cariat ar ir holl Sainctæ ,
49:1:016:0	nyd wy ’n peidio a dyolvvlch drosoch , gan eich coffau yn vy‐gweddiae ,
49:1:017:0	ar vod y Duw ein Arglwydd Iesu Christ , Tat y gogoniant , roddy i chwi Yspryt doethinep , a’ datguddiat trwy y gydnabyddiaeth ef ,
49:1:018:0	a’r ’oleuo llygait eich dyall val y gwypoch pa vn yw gobaith y alwedigeth ef , a’ pha vn yvv golud y ’ogoneddus etiueddiaeth ef yn y Sainctæ ,
49:1:019:0	a’ pha vn yw y tra mowredd y veðiant ef yn ein cyfor , yr ei a gredwn , erwydd gweithrediat ei gadr‐nerth ef ,
49:1:020:0	yr hynn a weithiawð ef yn‐Christ , pan y cyfodawdd ef o veirw , ac e dodawdd ar ei ddeheulaw yn y nefoeð ,
49:1:021:0	tragoruwch oll llywodraeth , a’ meddiant , a’ gallu , ac Arglwyddiaeth , a’ phop Enw , a’r a enwir , nyd yn y byt hwn yn vnic , anyd hefyt yn yr hwn ’sy ar ddyvot ,
49:1:022:0	ac a ddarestyngawdd bop dim dan y draet , ac y dodes ef goruch pop dim y vod yn ben ir Ecclcs ,
49:1:023:0	yr hon yw y gorph ef , ’sef y gyflawnder ef yr hwn ’sy ’n cyflanwy pop peth ym‐pop peth .
