49:4:001:1	Pen iiij .
49:4:002:1	Mae ef yn ei hanog i warder , hirddioddef , i gariat a’ thangneddyf , Pop vn i wasanaethu ac adailad eu gylyð a’r dawn a roddes Duw yddaw , Gogelyd rac dysceidaeth ddiethr . Dody ymaith yr hen ymwreddiat y trachwanteu afradlawn , a’ rhodio ym‐buched newydd .
49:4:001:0	MIneu gan hynny y carcharor yn yr Arglwyð atolygaf yw’ch ar rodio yn teilwng o’r ’alwedigeth ich galwyt ,
49:4:002:0	ym‐pop gestyngeiddtra‐meddwl , a’ thirionder mewn dyoddefgarwch , gan ymgynnal eu gylyð trwy gariat ,
49:4:003:0	gan astudiaw cadw vndep yr Yspryt yn rhwymedigeth tangneddyf .
49:4:004:0	Vn corph ysydd , ac vn Yspryt , megis ac ich galwyt yn vn ’obaith eich galwedigeth .
49:4:005:0	Vn Arglwydd sy , vn ffydd , vn Batydd ,
49:4:006:0	vn Duw , a’ That oll , yr hwn ’sy goruwch oll , a’ thrwy oll , ac ynoch oll . Yr Epistol ar ddydd . S . Marc .
49:4:007:0	Eithr i bop vn o hanam y rhoet y Rat , erwydd y mesur dawn Christ .
49:4:008:0	Can hynny y dywait , Pan escendawdd y vynydd ir vchelder , ef a dduc ganto gaethiwed yn gaeth , ac a roddes roðion y ddynion .
49:4:009:0	( Velly , am y‐ddaw escendy , pa beth ydyw , anyd darvot yddaw hefyt ðescendy yn gyntaf ir partheu iselaf or ddaiar ?
49:4:010:0	Yr vn a ddescendawdd , yw ’r vn ac escendawdd , tra-goruwch yr oll nefoedd , val y cyflanwei ef bop dim )
49:4:011:0	Ef gan hyny a roddes rei y vot yn Apostolion , a’r ei yn Prophwyti , a’r ei yn Euangelwyr , a’r ei yn Vugelyð , ac yn Ddyscyawdwyr ,
49:4:012:0	er componi y Sainctæ , i waith , y wenidogeth , ac er adāilad corph Christ ,
49:4:013:0	yd y n y chyhyrddom oll ( yn vndeb ffydd a’ gwybodaeth Map Duw ) yn wr cwbl , ac ym mesur oedran cyflawnder Christ ,
49:4:014:0	val rhac llaw na byðom mwyach yn plant , yn bwhwmman ac yn ein trawsarwein gan bop awel dysceidaeth , wrth ddichell dynion , a’ hocced , er cynllwyn twyll .
49:4:015:0	Eithyr dilynwn wirionedd yn‐cariat , ac ym‐pop peth cynnyddu yddo ef , ’rhwn yw y pen , ’sef Christ ,
49:4:016:0	y gan yr hwn y bydd ir corph gwedy darvot ei gomponi ai gyssylltu ynghyt trwy’ bob cymmal , er ymdrefnyat , ( erwyð y grymustr ysydd ym‐mesur pop parth ) dderbyn cynnydd ir corph , er ei adailad yhun yn‐cariat . Yr Epistol y xix . Sul gwedy Trintot .
49:4:017:0	Hyn ynteu a ddywedaf , ac a testiaf yn yr Arglwydd , na bo y chwi o hyn allan rodio mvvy mal y rhotia Cenetledd eraill , yn‐gwagedd ei meðwl ,
49:4:018:0	ac ei meddwlvryd gwedy ei dywyllu , ac yn ddieithreit ywrth vucheð Dduwiol trwy’r anwybodaeth ysydd ynthwynt gan galated eu calonheu :
49:4:019:0	yr ei gwedy yddyn ddiddarbodi a ymroesont y ddrythyllwch , y wneuthuriad pop aflendit , yn vnchwant .
49:4:020:0	Eithr chwichvvi nyd velly y dyscesoch vvrth Christ .
49:4:021:0	A’s bu y chwi ar y glywet ef , ac o’ch dyscwyt gantho , megis y mae’r gwirionedd yn Iesu ,
49:4:022:0	sef bot ychwi ddodi ymaith erwydd yr ymwreddiat gynt ,
49:4:023:0	yr hen ddyn hvvnvv , yr hwn ’sy lygredic wrth y trachwanteu twyllodrus , ac adnewydder chwi yn yspryt eich meddwl ,
49:4:024:0	a’ gwiscwch y dyn newydd , yr hwn erwydd Duw a creawyt yn‐cyfrawnnder , a’ gwir sancteidrwyd .
49:4:025:0	Erwyd pa am bwrwch ymaith y celwyd , a’ dywedwch bawp vn wirionedd wrth ei gymydawc : can ys aelodeu yym yw gylydd .
49:4:026:0	A’s digiwch , ac na phechwch : nac aed haul ymachelyd ar eich digofeint ,
49:4:027:0	ac na rowch le i ddiavol .
49:4:028:0	A ledrataoð , na ledrataed mwy : eithr yn hytrach llavuried a’ gweithied ai ðwylo y peth ’sy dda , val y bo ganto yw roi ir vn a vo ac eisieu arno .
49:4:029:0	Na ðeued vn ymadrawdd llwgredic o’ch geneue : anyd yr vn a vo cymmwys , er mwyniant adailad , val y duco rat ir ei a ei clywant .
49:4:030:0	Ac na thristewch yr Yspryt glan Duw , gan yr hwn ich inseliwyt y ddydd y prynedigeth .
49:4:031:0	Bwrier ymaith ywrthych pop chwerwydd , a’ digofeint , a’ llid , a’ llefain , a’ chabl y gyd a’ phop drigioni .
49:4:032:0	Byðwch vwynion wrth eu gylydd , a’ thrugarogion , gan vaddeu yw gylydd , megis ac maddeuawdd Duw er mwyn Christ i chwitheu .
