49:6:001:1	Pen . vj .
49:6:002:1	Pa wedd y mae ir plant ymddwyn tu ac at ei tadeu , ai mameu , A’ hefyd yntwy tu at ei plant . Gweision tu ai perchen . Perchen gweison , tu ac atynt wynte . Annogiat ir drin ysprytol , a’ pha ryw arvae y dyliei y Christianocion ymladd a’ hwynt .
49:6:001:0	Y Plant , uvyddewch ich rieni yn yr Arglwyð : can ys hyn ’sy gyfiawn .
49:6:002:0	Anrydedda dy dat ath vam ( yr hwn yw’r gorchymyn cyntaf ac iddo addewit )
49:6:003:0	val y bo yn dda i ti , ac val y bych hir oesoc ar y ddaiar .
49:6:004:0	A’ chvvychvvi dade , na yrrwch eich plant i ddigio : eithyr maethddrinwch wy yn addysc , ac athraweth yr Arglwydd .
49:6:005:0	Y gweision , uvyddehewch ir ei sy yn Arglwyddi ywch , erwydd y cnawt , ac ofn ac echryn yn semplder eich calonæ megis i Christ ,
49:6:006:0	nyd a llygad‐wasanaeth , megis boddlonwyr dynion , eithyr megis gweision Christ , gan wneuthur wyllys Duw o’r galō ,
49:6:007:0	ac o wyllys da yn gwasanaethu’r Arglwyð , ac nyd dynion .
49:6:008:0	A’ gwybyðwch pa ddaoni pynac a wnel neb , ys hyny a dderbyn ef y gan yr Arglwyð , pa vn bynac ai caeth ai rrydd vo
49:6:009:0	A’r Arglwyddi gwnewch-vvitheu’r vn ryw betheu yddynt wy , gan vaddeu bygwthiavv : a’ gwybyddwch vot eich Arglwydd chwi ac wynt yn y nefoedd , ac nad oes braint‐gymeriat gyd ac efe . Yr Epistol y xxi . Sul gwedy Trintot .
49:6:010:0	Am ben hyn , vy‐vroder , ym‐nerthwch yn yr Arglwydd , ac yn cadernit y allu ef ,
49:6:011:0	Gwiscwch oll arvogeth Duw amdanoch , val y boch abl i sefyll yn erbyn oll gynllwynion diavol .
49:6:012:0	Can nad yw ein ymdrech ni yn erbyn cic a’ gwaed , yn amyn yn erbyn pendevigaetheu , yn erbyn meddianneu , ac yn erbyn llywodron bydol , tyvvosogion y tywyllwch y byd hwn , yn erbyn enwireddae ysprytawl , yr ei ynt yn y’r lleoedd vcheliō .
49:6:013:0	O bleit hyn cymerwch atoch oll arvogaeth Duw , val y galloch wrth ladd yn y dydd blin , a’ gwedy ywch ’orphen pop dim , allv sefyll yn sefydlawc .
49:6:014:0	Sefwch gan hyny , wedy amgylchwregesu eich clunieu a gwirionedd , ac ymwiscaw a’ dwyvronnec cyfiawnder ,
49:6:015:0	ac am eich traet ac escidiae paratoat yr Euangel tangneðyf .
49:6:016:0	Vch pen pop dim , cymerwch darian y ffyð , a’r hwn y gellwch ddiffoddi oll saethae tanllyt y vall ,
49:6:017:0	a’ chymrwch helym yr iechedwrieth , a’ chleddyf yr Yspryt , rhwn yw gair Duw .
49:6:018:0	A’ gweddiwch bop amser a’ phop ryw weddi ac ervyn yn yr Yspryt : a’ gwiliwch tu ac at hyn y gyd a phop astudrwydd a’ golochwyt dros yr oll Sainctæ ,
49:6:019:0	a’ thros‐y‐vinheu , ar roddy i mi ymadrodd , y agoriat vy‐geneu yn hyderus y venegi dirgelwch yr Euāgel rhon ydd wyf yn genadwri yddei ,
49:6:020:0	yn rhwym , val y bo ymy ddywedyt yn hyderus o hanei , megis y perthyn i mi ddywedyt yn y peth .
49:6:021:0	Ac val y gwypoch hefyd y wrth vy negeseu i , a’ pha beth ’rwyf yn ei wneuthur , Tychicus vy‐caredic vrawt a’ gwenidoc ffyðlon yn yr Arglwydd , a veneic y’wch yr oll betheu ,
49:6:022:0	yr vn a ddanvoneis i atoch er mwyn hyny , val y caffech wybot y wrth vy negeseu , ac val y conffortiei ef eich calonæ .
49:6:023:0	Tangneddyf vo y gyd a’r broder , a’ chariat gyd a ffydd o y wrth Dduw Dat , ac ywrth yr Arglwydd Iesu Christ . Rat
49:6:024:0	a vo y gyd a’r oll rei a garant ein Arglwydd Iesu Christ , yvv hammorwolaeth . Amen . * Hvvn a scrivenwyt o Ruuein , at yr Ephesieit , ac a ddanvonvvyt drwy lavv Tichicus .
