49:5:001:1	Pen . v .
49:5:002:1	Eu hannoc y mae i gariat , Eu rhubyddio y ymogelyd rrac aflendit cupyddtot , ymadrodd ampwyllic , a’ gau ddysc , Bot yn ddiseml . Ymogelyd rac meddwdot , Ymlawenhau a’ bod yn ddiolchgar parth a Duw , Ymestwng bawp yw gylydd . Mae ef yn traethu am priodas corphorawl ac vn ysprytawl rhwng Christ a’i Eccles .
49:5:001:0	BYddwch gan hynny ddilynwyr Duw , val plant caredigol ,
49:5:002:0	a’ rhodiwch yn‐cariat , megis in caroð Christ ninheu , ac y roddes y hunan y trosā , y vot yn offrwm ac aberth arogl arwynt tec y Dduw .
49:5:003:0	Eithyr godinep , a’ phop aflendit , neu cupyðdot , nac enwer chwaith yn eich plith , val y gwedda y Sainctæ , na chroesaneth ,
49:5:004:0	nac ymadrodd ynvyt , na chellwair , y pethau ny chyggweddant , eithr yn gynt rhoddy diolvvch .
49:5:005:0	Can ys hyn a wyddoch , am puteiniwr , na neb aflan , neu cupydd , yr hwn yw delw‐addolwr , nad oes yddo ddim etiueðieth yn‐teyrnas Christ , a’ Duw .
49:5:006:0	Na thwyllet nep chwi a gwac ’airiau : can ys o bleit cyfryw betheu y daw digofeint Duw ar y plāt anuvydd .
49:5:007:0	Na vyddwch gan hynny gyfeillion yddynt .
49:5:008:0	Can ys yr oeddech gynt tywyllwch , ac yr awrhon goleuni ydych yn yr Arglwydd : rhodiwch mal plant golauni ,
49:5:009:0	( can ys ffrwyth yr yspryt a hanoedd o bop daoni , ac vniondep , a’ gwirionedd )
49:5:010:0	gan yvvch broui hyn ’sy gymradwy gan yr Arglwydd .
49:5:011:0	Ac na vit yw’ch gyveillach a’r gweithredoeð anffrwythlon y tywyllwch , eithr ac yn gynt argyweddwch hvvy .
49:5:012:0	O bleit croesaneth yw bot adrodd y petheu , a wneir y ganthynt yn guðiedic .
49:5:013:0	Eithyr pop peth gwedy ’r argywedder gan y golauni , a eglurir : can ys golauni a eglurha bop peth oll .
49:5:014:0	Erwydd paam y dywait ef , Dyffro dydi ’sy yn cuscu , a’ chyvot yn dy sefyll ywrth y meirw , a’ Christ , a ’oleuha y‐ti . Yr Epistol yr xx . Sul gwedy Trintot .
49:5:015:0	Gwelwch gan hyny vot i chwi rodio yn ddiyscaelus , nyd val andoethion , amyn val doethion ,
49:5:016:0	gan brynu yr amser : can ys y dyddiae ’sy ðrwc .
49:5:017:0	Am hyny na vyddwch ampwyllogion , eithr dyellwch beth yw’ wyllys yr Arglwydd .
49:5:018:0	Ac na veddwoch a’r win , yn y peth y mae rhythni : eithyr cyflawner chwi a’r Yspryt ,
49:5:019:0	gan ymðiddan a chwychwi eichunain yn psalmae , ac emynnae , ac odlae ysprytawl , gan ganu , a’ psalmu ir Arglwydd yn eich calonæ ,
49:5:020:0	can ddiolvvch yn ’oystat am pop dim y Dduw sef y Tat , yn Enw ein Arglwyð Iesu Christ ,
49:5:021:0	gan ymddarestwng y’w gylydd yn ofn Duw .
49:5:022:0	Y gwragedd , ymestyngwch ich gwyr priawd , megis ir Arglwyð .
49:5:023:0	Can ys y gwr yw pen y wreic , megis ac y mae Christ yn ben yr Eccles , ac yntef yw ’r iachawdr y corph .
49:5:024:0	Can hyny mal y mae ’r Eccles yn ddarestyngedic i Christ , ac velly bot y gwragedd y’w gwyr priawd ym‐pop dim .
49:5:025:0	Y gwyr , carwch eich gwragedd eich un , megis ac y y carawð Christ yr Eccles , ac y rhoes y hunan drostei ,
49:5:026:0	val y saincteiddiai ef y hi , a’i charthu gan ’olchiat y dwfr trwy’r gair ,
49:5:027:0	val y gwnelei ef yhi yddo yhun yn Eccles ’ogoniantus , eb arnei vrycheun neu chrychni , neu ddim or cyfryw bethae : anyd hi bot yn sainctaidd ac yn ddigwyliedic .
49:5:028:0	Velly y dylei gwyr garu ei gwragedd , vegis y cyrph yhunain : hwn a garo ei wreic ei hun y car ehunan .
49:5:029:0	Can na chasaodd nebnu erioed ei gnawt yhun , anyd ei vagu a’i gynnesu , megis ac y gvvna ’r Arglwyð am yr Eccles .
49:5:030:0	Can ys aylodeu ydym yvv corph ef , ac oei gnawt , ac o ei escyrn .
49:5:031:0	O bleit hyn y gad dyn dat a’ mam , ac y glyn wrth ei wreic , ac y vyddant ill dau yn vn cnawt .
49:5:032:0	Dirgelwch mawr yw hyn : eithr dywedyt ydd wyf am Christ , ac am yr Eccles .
49:5:033:0	Cā hyny pop vn o hanoch , gvvnewch velly : caret pop vn ei wreic eihun , ’sef megis yhunan a’ bid ir wraic ofni hei gwr .
