49:2:001:1	Pen . ij .
49:2:002:1	Bod mawrygu Rat Christ , rhwn yw vnic achos iechedwrieth . Y mae yn dangos yddyn pa sut popul oeddynt cyn ei gorymchwel , A’ pha suwt ydyn yr awrhon yn‐Christ .
49:2:001:0	AChwitheu a vyvvocaodd ef , yr ei oeðech wedy meirw yn‐camweddae a’ phechotae ,
49:2:002:0	yn yr ei , gynt y rhodiech erwydd helhynt y byt hwn ac erwydd y tywysoc a lywadraetha yn yr awyr , ’sef yr yspryt , ’sy owrhon yn gweithiaw ym‐plant anuvyðdot ,
49:2:003:0	yn cyfrwng pa rei ydd oeddem ninheu hefyt yn cydtro gynt , yn trachwantae ein cnawt , gan wneuthur ’wyllyse y cnawt , a’r meddwliae , ac oeddem wrth anian yn blant digofeint , yn gystal ac eraill .
49:2:004:0	Eithr Duw yr hwn ’sy ’oludoc yn‐trugaredd , trwy ei vawr gariat a’r yn carodd ef ni ,
49:2:005:0	a’ phan oeddem wedy meirw gan pechote , a’n cyd vywhaodd ni yn‐Christ , gan rat pa vn yr iachawyt chwi , ac an cyd gyvodes ,
49:2:006:0	ac a’n cyflehaod yn y nefolion leoedd yn‐Christ Iesu ,
49:2:007:0	val y dangosei yn yr oesoedd rhac llaw y dirvawr olud y rat ef , trwy ei garedigrwydd y nyni in‐Christ Iesu .
49:2:008:0	O bleit can rat yr iacheir chwi trwy ffydd , a’ hyny nyd o hanoch y‐hunain : dawn Duw ydyw .
49:2:009:0	Nyd o weithrededd , rac y neb ymhoffy .
49:2:010:0	Can ys y weithred ef ydym wedy ein creau in‐Christ Iesu y weithrededd da , yr ei a ddarparodd Duw , val y rhodiem ynthwynt ,
49:2:011:0	Erwydd paam cofiwch ych bot gynt yn Genetloedd yn‐y cnawt , ac ich gelwit yn ddienwaediat gan yr ei’n , a elwir yr Enwaediat yn‐y cnawt , o waith dwyllaw ,
49:2:012:0	eich bot , meddaf , y pryd hyny eb Christ , ac yn ddieithredic y wrth wladwrieth Israel , ac yn estronieit ywrth yr ambodae’r addewit , ac eb obeith genwch , ac yn rei ddidduw yn y byt .
49:2:013:0	Ac yr awrhon in‐Christ Iesu , yr ei oeðech gynt ym‐pell , a wnaethpwyt yn agoseieit , ’sef trwy waed Christ .
49:2:014:0	Can ys efe yw’n tangneddyf , rhwn a wnaeth y ddoyblaid yn vn , ac a ddatododd y gayad y rhan‐baret ,
49:2:015:0	gā ðirymio trwy y gnawd ef y gelyniaeth , ’sef Deddyf y gorchymynnae yr hon ’sy yn hanuod o ’ordinadeu , y wneuthur y ðau yn vn dyn newyð ynðo yhun , gan wneuthur tangneddyf velly ,
49:2:016:0	ac val y cysiliai ef y ddau a Duw yn vn corph gan y grogiad ef , a’lladd gelyniaeth wrthei ,
49:2:017:0	ac a ddaeth , ac a Euangelawð dangneðyf ywch ’yr ei oeddech ym‐pell , ac ir ei oeddech agosieid .
49:2:018:0	Can ys trwyddaw ef y mae i ni y ddwyblaid dywysogeth at y Tat gan yr vn Yspryt . Yr Epistol ar ddydd S . Thomas .
49:2:019:0	Weithion gan hyny nyd yw‐ch’ mwy ddieithreit a’ dyvodieit : amyn cytddinasieit a’r Sainctæ , ac yn duylwyth tuy Duw ,
49:2:020:0	ac wedy eich adailad ar sailvaeniad yr Apostolion a’ Prophwyti , ac yntef Iesu Christ yn bod yn ben conglfaen ,
49:2:021:0	yn yr hwn yr oll adailad wedy’ gyssyltu , a dyf yn templ sanctaidd ir Arglwydd ,
49:2:022:0	yn yr hwn hefyt ych cyf adailwyt chwi y vot yn drigfan Duw gan yr Yspryt .
