49:3:001:1	Pen . iij .
49:3:002:1	Dangos y mae achos ei garchar . Deisyfu arnynt nad ymellyngent o ran y ’ovid ef , Ac erchi ar Dduw y mae ei cadarnhhan hwy yn ei Yspryt .
49:3:001:0	OBleit hyn ydd yvv vi Paul yn carcharor Iesu Christ dros‐y‐chwi y Genetloedd ,
49:3:002:0	a’s clywsoch ywrth y llywodraeth y Rat Duw a roed i mi yn eich cyfor ,
49:3:003:0	sef yvv hyny , bot Duvv gan ddatguddiat gwedy dangos y dirgelwch hyn y‐my ( val yr scrivenais vchod yn ychidic ’airiæ ,
49:3:004:0	wrth yr hyn pan ddarllenoch y gellwch wybot vy‐dyall yn‐dirgelwch Christ )
49:3:005:0	yr hwn yn oesoedd eraill ny’s eglurwyt i veibion dynion , val y mae’r awrhon wedy ddatguðiaw yw sainct Apostolion ef a’ Prophwyti gan yr Yspryt ,
49:3:006:0	’sef bot y Cenetloedd yn gyd etiueddion hefyt , ac yn cydcorph , ac yn gyfranogiō o y addewit ef in‐Christ gan yr Euangel ,
49:3:007:0	ir hon im gwnaed i yn wenidawc gan y ddawn y Rat Duw a roed y‐my erwydd grym y veddiant ef .
49:3:008:0	Sef y mivi y lleiaf o’r oll Sainctæ y rhoðwyt y Rat hwn , ar vot i mi Euangelu ym‐plith y Cenetloedd anchwiliadwy ’olud Christ ,
49:3:009:0	ac y eglurhau y y bawp pa vn yw cymddeithas y dirgelwch , yr hwn o ddechreuad y byt oeð guðiedic yn‐Duw , ’r hwn a greawð bop dim trwy Iesu Christ ,
49:3:010:0	er mwyn bot yr awrhon ir llywodraethae ac ir meddiannae yn y lleoedd nefolion yn wybodedic yddyn trwy’r Eccles yr amrywliavvs doethinep Duw ,
49:3:011:0	erwydd y rrac ’osodiat tragyvythawl , ’rhwn a weithiawdd ef yn‐Christ Iesu ein Arglwyð ,
49:3:012:0	y gan yr hwn y mae i ni hyder a hyfforddrwydd wrth ’obaith , gan ffyð yndo ef . Yr Epistol y xvi . Sul gwedy Trintot .
49:3:013:0	Erwydd paam ydd archaf arnoch nac ymellyngoch o bleit vy‐blinderae i er eich mwyn , yr hyn yw eich gogoniant .
49:3:014:0	O’r achos hyn y plygaf vy‐glinieu ar Dat ein Arglwydd Iesu Christ ,
49:3:015:0	( o ba vn yr henwir yr oll tuylwyth yn y nefoedd ac yn y ddaiar )
49:3:016:0	val y rhoddo y‐chwy erwydd golud eu ’ogoniant , megis ich nerther yn gadarn gan y Yspryt ef yn y dyn oddymewn ,
49:3:017:0	modd y trico Christ yn ych caloneu gan ffydd , mal gwedy eich gwreiddier a’ch dysyler yn‐cariat ,
49:3:018:0	y boch abl y amgyffred y gyd a’r ol Sainctæ , beth yw lled , a’ hyd a’ dyfnder , ac vchelder :
49:3:019:0	a’ gwybot cariat Christ , yr hwn ’sy tros wybodaeth , val ich llanwer ac oll gyflawnder Duw .
49:3:020:0	Iddaw ef can hyny pwy a ddychon dra lliosocau bop peth ar archom nai a veddyliom , erwydd y meddiant ’sy yn gweithiaw ynom ,
49:3:021:0	y bo gogoniant yn yr Eccles yn‐Christ Iesu , trwy’r oll genetlaethae yn oes oesoeð . Amē .
