1:18:001:1	Áízak doochíłígíí bee nihoot'ą́
1:18:001:0	Áko Bóhólníihii hach'į' yit'íní í'diilyaa ; Mámre bichéch'il naazkaadgi honíbaal bich'é'étiingi dzizdáago hwee honiigai .
1:18:002:0	Áádóó hajííghal , nít'éé' jó'akon , diné táa'go hanaashii naazį́įgo dziiłtsą́ , áko honíbaal bich'é'étiindóó nízhdii'na'go bidááh jílwodgo ni'jį' yaa ádziidzaago
1:18:003:0	ázhdííniid , ShiBóhólníihii , nihił nishłį́į́ ládą́ą́' nihinaal'a'í t'ááká bits'ą́ą́' dah doohkááh yíila' , t'áá shǫǫdí .
1:18:004:0	Haa'íshą' tó ła' nídidookáałgo nihikee' bee táádadoohgis , áádóó díí chéch'il biyaagi háádadoołyįh .
1:18:005:0	Ninaal'a'í baa noohkai ; ch'iyáán ła' nihá nídideeshkááł , áko éí bee nihik'éé dahodootahgo náánáohkah doo . Lą́'ąą , t'áá ádííníniidígi át'éego ánínééh , dahodííniid .
1:18:006:0	Áádóó Éíbraham honíbaal biyi' góne' Sárah bił yah ajoolwodgo ábizhdííniid , Tsxį́įłgo ak'áán táadi haaką́ągo taonihgo náneeskaadí ánílééh .
1:18:007:0	Áádóó Éíbraham habéégashii naakaigóó jílwod , áko béégashii yáázh yá'át'éehii neesk'ahii názhníłtį́įgo há naal'a'í baazhníłtį́ , áádóó tsį́įłgo néís'ah .
1:18:008:0	Áádóó abe' neesk'ęhígíí áádóó abe' índa béégashii yáázh nídzís'ahígíí nidziist'éego bich'į' nidziizką́ ; tsin biyaagi bíighahdóó dzizį́įgo da'ííyą́ą́' .
1:18:009:0	Áko ádahodííniid , Háájíshą' ne'asdzą́ą́ Sárah ? Áko ázhdííniid , Níbaal yii' sidá .
1:18:010:0	Áko Bóhólníihii ání , T'áá kojį' anáhoolzhiizhgo t'áá aaníí naa náádeeshdááł , jó'akon , ne'asdzą́ą́ ashkii yidoołchííł . Áko éí níbaal bich'é'étiindóó hane'jí wóne'dę́ę́' Sárah adíizts'ą́ą́' .
1:18:011:0	Áko Éíbraham índa Sárah t'áá ájíłah t'áá hazhó'ó ho'niitih ; Sárah éí doo ąądii níjídleeh da dzizlį́į́' .
1:18:012:0	Éí bąą Sárah t'áá hayi'ídi ádaa joodlohgo ájíní , Da' shí hasistihdóó bik'ijį' índa shahastiin bóhonishníihii haastihgoósh shił nááhoneeni doo ?
1:18:013:0	Áko Bóhólníihii éí Éíbraham áyidííniid , Ha'át'íishą' biniyé Sárah ádeidlohgo ání , T'áá aaníí hasistihgoósh awéé' shee hodooleeł ?
1:18:014:0	T'áá ha'át'íhídaásh Bóhólníihii ch'ééh íidooł'įįł ? Ákwe'é nihoolzhiizhgo naa náádeeshdááł , áko Sárah biyáázh hodooleeł .
1:18:002:1	Éíbraham éí Sádam kin haal'áhígíí yá ná'ookąąh
1:18:015:0	Ákohgo Sárah , Doo yishdloh da , jidííniid , háálá nídzíldzid , áko áháłní , Dooda , t'áá aaníí yídloh .
1:18:016:0	Áko diné nídiijée'go Sádam kin haal'áii yich'į'go dadéé'į́į́' , áko Éíbraham t'áá áyídíjį' hoł niikai .
1:18:017:0	Áko Bóhólníihii ádííniid , Da' baa nídiisdzáhígíísh Éíbraham bits'ąą dínéesh'į́į́ł ?
1:18:018:0	Jó , Éíbraham t'áá aaníí ayóó át'éii áádóó dine'é t'áá íiyisí bidziilii dooleeł , áádóó nahasdzáán bikáa'gi ał'ąą dine'é t'áá ałtso hanahjį' bik'ihozhdoodliił .
1:18:019:0	Hwééhasin ; ha'áłchíní áádóó haghangi kéédahat'íinii Bóhólníihii yik'ehgo dayíkáah doo biniyé t'áá ákogi ádaaníiłgo yá'át'éehgo ádaat'į́į dooleełgi bee jinootį́įł doo , áko Bóhólníihii éí Éíbraham yá haadzíi'ii yá íidoolííł .
1:18:020:0	Ákohgo Bóhólníihii ánáádoo'niid , Sádam kin haal'áii índa Gomárah kin haal'áii ayóó át'éego cha hahoyiinííh áádóó ádił da'ílzíihgo ts'ídá bąąh yínínígi ádaat'į́ ;
