1:43:001:1	Jóseph bínaaíké Bénjamin Ííjipgi yił nákai
1:43:001:0	Áko éí kéyahgi t'áá íiyisí hodichin .
1:43:002:0	Áko Ííjipdę́ę́' tł'oh naadą́ą́' nidadziizyį́ yę́ę ałtso dajííyą́ą'go hazhé'é ánááhodoo'niid , Náádóhkáahgo ch'iyáán ła' nináádahołniih .
1:43:003:0	Áko Júdah áhodííniid , T'áadoo naaki nilíní diné nihich'į' haadzíi'go ání , Nihitsilí t'áadoo bił noohkaigóó t'éiyá doo náádashiidoołtséeł da .
1:43:004:0	Nihitsilí nihitah díníł'a'go t'éiyá ákóyaa diikahgo ch'iyáán ła' nináádahidiilnih .
1:43:005:0	Áko éí doo nihił díníł'a'góó doo ákóyaa náádiikah da , háálá diné ánihiłní , Nihitsilí t'áadoo bił noohkaigóó t'éiyá doo náádashiidoołtséeł da .
1:43:006:0	Áádóó Ízrel ádííniid , Ha'át'íishą' biniyé doo shaa dajiinohba'góó , Nihitsilí ła' t'ah hólǫ́ , dadohníigo diné bił dahołne' ?
1:43:007:0	Áko ádahodííniid , Nihí índa nihik'éí yínanihídíłkidgo ání , Nihizhé'éésh t'ah hiná ? Nihitsilíísh ła' nááhódlǫ́ ? Áko t'áá nanihídíłkidgóó bee bił nídahwiilne' nít'éé' . Nihitsilí bił nínáánóhkááh nihididooniiłígíishą' , haash yit'éego nihił béédahózin doo ?
1:43:008:0	Áko Júdah éí bizhé'é Ízrel áyidííniid , Nihí áádóó ni lá índa niha'áłchíní yázhí t'áá ałtso doo dadíníi'néeł da , nidi dahinii'náa doo biniyé ashkii shił bi' níłnííh , áko dah didiikah .
1:43:009:0	Shí bá naashtłizh doo , áko biniyé nishiníłteeh . Doo bił naa náánísht'áázhgóó hool'áágóó bíni'dii shik'íhát'áah doo ;
1:43:010:0	doo nida'áhodiilziidgóó k'ad naakidi nániikai doo nít'éé' .
1:43:011:0	Áko hazhé'é Ízrel áhodííniid , T'áá aaníí t'áá ákót'éego kódaohnééh ; kéyahgi aneest'ą' ts'ídá yá'ádaat'éehii nihiyéél dabiyi'go t'áá níík'eh diné bich'į' dadohjááh ; éí ch'óh bijeeh áłch'į́į́dígo áádóó tsés'ná bitł'izh áłch'į́į́dígo áádóó jeeh łikání halchinígíí áádóó tłah ílíinii mir wolyéii áádóó neeshch'íí' t'áá ał'ąą ádaat'éii índa álman wolyéhígíí bił dadohjááh .
1:43:012:0	Béeso naakidi ákónánéelt'e'go dayínóhjáah doo . Índa béeso éí nihe'azis biih nídahaas'nil yę́ę éí ałdó' nídayínóhjáah doo ; doo t'áá ákónéehgo ádaat'į́į da sha'shin .
1:43:013:0	Hasht'e'ádadołnéehgo nihílááh ; nihik'is ałdó' bił diné baa nínáánóhkááh .
1:43:014:0	Áko Diyin God Aláahgo Ayóó'ábóodziilii éí diné nihaa a'ááh nízingo íidoolíiłgo nihitsilí ła'ígíí áádóó Bénjamin yił nihich'į' yéé'doołnih . Áko sha'áłchíní shighaa'nilgo éí shį́į́ shighaa'nil doo .
1:43:015:0	Áko aye' ké éí aneest'ą' atisgo yá'ádaat'éhígíí índa béeso naakidi ákónánéelt'e'ígíí dah dazhdiijaa' ; Bénjamin ałdó' bił dashdiikaigo Ííjip kéyah góyaa anáájookaigo Jóseph bidááhdóó nijíkai .
1:43:016:0	Áko Jóseph éí Bénjamin atah jiiłtsą́ągo hakin yaa áhályáanii ábizhdííniid , Díí diné shighan góne' yah ani'éésh . Áádóó aałk'ee áhóléehgo ałníní'ą́ągo díí diné shił da'dooyį́į́ł .
1:43:017:0	Díí diné éí t'áá Jóseph áhodííniidígi ádziidzaa ; Jóseph bighan góne' diné yah ajíí'eezh .
1:43:018:0	Áko Jóseph bighan góne' yah aho'doot'eezhígíí biniinaa nídadzisdzíidgo ádazhdííniid , Áłtséédą́ą́' nihe'azis biyi' béeso naaznil yę́ę biniinaa lą́ą ; nihik'i hodidoo'ááł índa danihiidoołtsołgo binaa'nil ádanihidoolííł , áádóó nihitélii nihighaidoo'nił biniyé yah anihi'doot'eezh ni .
1:43:019:0	Áko Jóseph bikin yaa áhályánígíí yich'į' niikaigo ch'é'étiingi yich'į' yádaałti' .
1:43:020:0	Áko ádazhdííniid , Shoo , nihinanit'a'í , nihí áłtséédą́ą́' ch'iyáán nidahidiilnih biniyé niikai .
1:43:021:0	Áádóó nída'njahgi niikaigo nihe'azis ąą ádeiilyaa nít'éé' ; t'ááłá'í niitínígo nihibéeso t'áá át'é azis bii' naaz'nil lá , áko éí béeso naa nídaniijaa' .
1:43:022:0	Ch'iyáán nidahidiilnih biniyé béeso ła' náádashiijaa' . Háí shį́į́ nihibéeso nihe'azis yiih ná yoo'nil lá doo nihił béédahózin da .
1:43:023:0	Áko ádííniid , Nihił dahózhǫ́ ; t'áadoo nídaałdzidí ; nihiDiyin God índa nihizhé'é biDiyin God éí béeso nihe'azis yiih yiyíínil ; shí nihibéeso nídiinil nít'éé' . Áko Símiyan haa néiníłtį́ .
1:43:024:0	Áko diné éí Jóseph bikin góne' yah ayíí'eezhgo tó yeiníką́ągo hakee' táádadzizgiz , áádóó dahatélii yá nida'azhjaa' .
1:43:025:0	Áko ałníní'ą́ągo Jóseph nádzáago t'áá jíík'eh baa dahizhdooníłígíí hasht'edajiilaa , háálá ákwii dazh'dooyį́įłgo dazdiizts'ą́ą́' .
1:43:026:0	Áádóó Jóseph nádzáago t'áá jíík'eh baa dahizhdooníłígíí bił yah adajiizhjaa'go ni'jį' bich'į' tsé'yaa dazhneeshjool .
1:43:027:0	Ákohgo ádajít'éhígíí yínahódéé łkidgo áhodííniid , Da' hastiin baa dahołne'ígíí nihizhé'é , éísh yá'át'ééh ? T'ahásh hiná ?
1:43:028:0	Áko ánáádabizhdoo'niid , Nihizhé'é ná naal'a'í doo át'éhí da , t'ah hiná . Áko bich'į' yaa ánáádadziidzaa .
1:43:029:0	Áádóó bitaadzizghalgo hatsilí Bénjamin hamá biyáázh jiiłtsą́ągo ázhdííniid , Da' díísh nihitsilí bee shił dahoołne'ígíí át'į́ ? Áádóó ábizhdííniid , Shiye' nílíinii , Diyin God naa jooba' le' .
1:43:030:0	Áko Jóseph hatsilí baa a'áhí jiniizį́į'go tsį́į́ł dzizlį́į́' , áko haa'ída deeshchah jinízingo jintéhí góne' yah ajííyáago t'áá íiyisí atínízhdindleehgo jíícha .
