1:6:001:1	Nihokáá' dine'é bibąąhági át'éii
1:6:001:0	Nahasdzáán bikáa'gi diné t'óó ahayóí silį́į'go bitsi'ké nidahaazhchį́ ,
1:6:002:0	áko Diyin God bits'ą́ą́dę́ę́' aye'ké danilíinii nihokáá' dine'é bitsi'ké dayiiłtsą́ągo bił danizhóní , áko t'áá bí deinízinígíí be'asdzą́ą́ ádayiilaa .
1:6:003:0	Áko Bóhólníihii ádííniid , ShiNíłch'i Diyinii doo t'áá áłahjį' nihokáá' dine'é náyookąąh da doo , háálá ats'íís k'ehgo nitsáhákees t'éí daznízin ; azhą́ ákót'ée nidi kodóó neeznádiindóó ba'aan naadiin nihwéédahaháah doo .
1:6:004:0	Éí yoołkááł yę́ędą́ą́' nahasdzáán bikáa'gi yé'iitsoh dahólǫ́ǫ́ nít'éé' , áádóó bik'ijį' Diyin God bits'ą́ą́dę́ę́' aye'ké danilíinii nihokáá' dine'é bitsi'ké yił ahaa dahaaskaigo ba'áłchíní dahazlį́į́' ; éí ałk'idą́ą́' diné ayóó ádaat'éii índa ch'ídabi'dit'áahii danilį́į́ nít'éé' .
1:6:005:0	Áko Bóhólníihii éí doo yá'ádaashóonii ayóó át'éego bee nihokáa'gi tsi'adeesdee'go áádóó bił ádaat'íinii t'áá ałtso bijéí yee t'ááłáhígi át'éego bąąhági át'éii yaa nitsídaakeesgo yoo'į́ .
1:6:006:0	Áko Bóhólníihii éí nihokáa'gi diné ájiilaaígíí bąąh háni' , índa hajéí biyi'di t'áá íiyisí háni' yiyiił'a' .
1:6:007:0	Áko Bóhólníihii ádííniid , Diné áshłaaígíí shíni' neis'ą́ ; éí bąą diné áádóó naaldlooshii áádóó nidaa'na'ii índa nidaat'a'ii t'áá bił nahasdzáán bikáá' áhodeeshdįįł .
1:6:002:1	Nóah éí tsinaa'eeł áyiilaa
1:6:008:0	Nidi Bóhólníihii bibee ajooba' yee Nóah yich'ooné .
1:6:009:0	Díí Nóah ba'áłchíní náás da'ahílchíihii ádaat'é : Nóah éí diné t'áá ákogi át'éii nilį́ , índa bíyoołkááłdą́ą́' t'áadoo bee bik'íhót'ahígóó Nóah éí Diyin God yił yi'ash .
1:6:010:0	Nóah haye'ké táá' há niheezhchį́ : Shem áádóó Ham índa Jéífeth daolyé .
1:6:011:0	Diyin God binááł éí nahasdzáán yíchxǫ'go bikáá'góó t'áá át'éé nít'éé' ádílááh nihinéést'e' .
1:6:012:0	Diyin God éí nahasdzáán yiníł'į́įgo t'áá íiyisí yíchǫ' lá , háálá ats'íís k'ehgo yildahii nináneel'ą́ąjį' t'áá íiyisí nida'iisíihgo ádadoolchxǫ' .
1:6:013:0	Áko Diyin God éí Nóah áyidííniid , Ats'íís k'ehgo yildahii nináneel'ą́ąjį' bá nihonít'i' dooleeł , háálá nahasdzáán bikáá'góó hó hwee t'áá át'éé nít'éé' ádílááh nihinéést'e' , áko k'ad nahasdzáán bikáa'gi áhodeeshdįįł .
1:6:014:0	Áko sáípres tsin bee tsinaa'eeł ádíílííł . Biyi' nidahwiisdzą́ągo ádíílííł , índa biyi'dę́ę́' áádóó bikáá'dę́ę́' łeejin dijé'ígíí bee dííjah .
1:6:015:0	Díí bik'ehgo ádíílííł : náásee dį́įdi neeznádiindóó ba'aan ashdladiindi ké siláago naaniigo tsosts'idiindóó ba'aan ashdladi ké siláago , índa dego éí dízdiindóó ba'aan ashdladi ké siláago ádíílííł .
1:6:016:0	Índa dego nineel'ą́ąjį' éí tsésǫ' t'ááłáhídi ké siláádóó ná'áłníi'go ahéédíítsih ; tsinaa'eeł booshk'iizhjígo dáádílkałgo ádíílííł ; ayaaígíí áádóó ata'giígíí áádóó adeígíí biyi' nidahwiisdzą́ągo ádíílííł .
1:6:017:0	Áko shí , t'áá shí shik'ehgo tó nahódoołkah ; nahasdzáán bikáa'gi nídídzihii nináneel'ą́ąjį' t'áá bił yá biyaagi ádahodeeshdįįł , áko nahasdzáán bikáa'gi ts'ídá ałtso dadínóonééł .
1:6:018:0	Nidi ni t'éiyá bohoníłdzilgo nił ałhadi'deesht'ááł , áko tsinaa'eeł biih díínááł , ni áádóó niye'ké áádóó ne'asdzą́ą́ índa niye'ké bida'asdzą́ą́ ałdó' , éí bił yah adííkah .
1:6:019:0	Áádóó bits'íís dahináanii nináneel'ą́ąjį' biką'ii índa bi'áadii naaki níláago tsinaa'eeł biih hidíí'ish , áko t'áá níighahgóó dahináago baa áhólyą́ą doo .
1:6:020:0	Nidaat'a'ii ał'ąą ádaat'éii áádóó naaldlooshii ał'ąą ádaat'éii índa nihokáá' nidaa'na'ii t'áá ałtso ał'ąą ádaat'éii éí naaki níláago naa dahakáahgo dahináago íínísin dooleeł .
1:6:021:0	Ch'iyáán ał'ąą ádaat'éii t'áá ałtso áłah ádíílíiłgo yah ahidííyééł ; éí nihich'iyą' áádóó dabich'iyą' doo .
1:6:022:0	Nóah díí bi'jiilaa ; Diyin God áhodííniidígíí t'áá ałtso bi'jiilaa .
