1:21:001:1	Áízak bi'dizhchį́
1:21:001:0	Áko Bóhólníihii t'áá ádííniidígi át'éego Sárah yaa naneeztą́ą́' , áko t'áá haadzí'ígi át'éego Sárah yá yi'iilaa .
1:21:002:0	Áko Sárah i'niiltsąąd , áádóó Éíbraham haastihdi índa biye' bá jishchį́ ; t'áá Diyin God hach'į' haadzí'íjį' ahoolzhiizhgo bohoolyaa .
1:21:003:0	Áádóó Éíbraham haye' Sárah há yishchínígíí Áízak bee jíízhi' .
1:21:004:0	Áko Diyin God t'áá áhodííniidígi át'éego Éíbraham haye' Áízak tseebíí biiską́ągo bąąh náhizhneeshgizh .
1:21:005:0	Éíbraham neeznádiin binááhaigo haye' Áízak há yizhchį́ .
1:21:006:0	Áko Sárah ádííniid , Diyin God yishdlohgo áshiilaa , áádóó t'áá ałtso deidiizts'ą́'ígíí shił daadloh dooleeł .
1:21:002:1	Héígar áádóó Íshmeiyel yóó'abi'dool'a'
1:21:007:0	Áádóó ánáázhdoo'niid , Háíyee' , Sárah be'awéé' yi'iiłt'o' dooleeł , Éíbraham yididooniił ? Jó'akon , haastihdi índa biye' bá shéłchį́ .
1:21:008:0	Áádóó awéé' dínéesą́ągo i'díít'óód , áko Éíbraham éí Áízak i'díít'óód bijį́ ayóó át'éego áda'íísįįd .
1:21:009:0	Áko Sárah éí Ííjip dine'é asdzání Héígar wolyéii biyáázh éí Éíbraham yá yishchínígíí t'óó há nahałt'i'go baa ákoniizį́į́' .
1:21:010:0	Éí bąą Éíbraham ábizhdííniid , Díí naalte' asdzání biyáázh t'áá bił ch'íninołchééh , háálá díí naalte' asdzání biyáázh éí shí shiyáázh Áízak bíí' dooleełii doo bił ałts'ą́ą́' adzíłk'iiz da doo .
1:21:011:0	Díí biniinaa Éíbraham biye' t'áá íiyisí yąąh bíni' .
1:21:012:0	Nidi Diyin God éí Éíbraham áyidííniid , Ashkii índa naalte' asdzání biniinaa t'áadoo yínííł nílíní ; Sárah áníłnínígíí t'áá ałtso yísíníłts'ą́ą́' , háálá Áízak bits'ą́ą́dóó na'áłchíní náás ahoolchíiłii bíká ádahodoo'niid .
1:21:013:0	Asdzání naalte' nilínígíí ałdó' biyáázh ła' dine'é ádeeshłííł , háálá éí niye' át'é .
1:21:014:0	Áko Éíbraham t'áá íiyisí abínígo nízhdii'na'go bááh áádóó tó abid bił nízhdiinilgo Héígar baazhnínilgo nihiiníłjid , áádóó ashkii bił dashdiił'a'go dah dii'áázh , áádóó Bíyer-shííba hoolyéedi kéyah bii' doo naagháhídi niji'aash .
1:21:015:0	Áko tó abid bii' tó ásdįįdgo ashkii ch'il nitsaa léi' biyaagi nizhníłtį́ .
1:21:016:0	Áádóó dashdiiyáago adilt'oh bíighah ánízahgi dzineezdá ; ashkii doo shinááł dadootsaał da jiníigo bits'áhwiiní'ą́ądi dzizdáago yéego jííchah .
