1:9:001:1	Diyin God éí Nóah yił aha'deet'ą́
1:9:001:0	Áko Diyin God éí Nóah áádóó biye'ké yik'ijisdli'go áyidííniid , Náásgóó niha'áłchíní náhoodleeł doo ; k'ee'ąą dínóht'įįhgo nahasdzáán bikáá' nihináánółt'eeh .
1:9:002:0	Nahasdzáán bikáa'gi naaldlooshii t'áá ałtso áádóó nidaat'a'ii t'áá ałtso áádóó nahasdzáán bikáá' naaldeehii t'áá ałtso índa táyi' naaldeehii t'áá ałtso ałdó' nihéédaaldzid doo , índa nihik'ee biyandahalyiz doo , áko bee nihídahólníih dooleeł .
1:9:003:0	Naaldeehii nináneel'ą́ąjį' nihich'iyą' doo , nanise' daadáanii nihaa diní'ánígi át'éego nihaa dinish'aah .
1:9:004:0	Nidi atsį' éí dił t'áá bii' hólǫ́ǫgo doo dadoohsį́įł da , ats'íís éí dił yee hiná .
1:9:005:0	Nihidił bee dahinohnáanii nihits'ádaazlį́įgo ánihiilaii ts'ídá t'áá k'ééhodideeshdlíłí ; naaldlooshii éí diné yiyiisxį́įgo éí diyoolyéełgo bee hwiideesh'aał , doodaii' diné dziisxį́įgo hodi'yoolyéełgo bee hwiideesh'aał ; t'áá háiida hak'is dziisxį́įgo hodi'yoolyéełgo bee hwiideesh'aał .
1:9:006:0	T'áá háiida diné bidił bits'ánílį́ ájiilaii daaztsą́ągo hó ałdó' hadił hats'ánílį́ áhodi'doolníiłgo dazdootsaał , háálá Diyin God éí diné t'áá bináłt'éego áyiilaa .
1:9:007:0	Áádóó nihí niha'áłchíní nídahoodleełgo k'ee'ąą nooht'į́įł le' , índa nahasdzáán bikáa'gi k'ee'ąą dínóht'įįhgo bilááh nááhdleeł le' .
1:9:008:0	Áko Diyin God kóníigo Nóah áádóó biye'ké yich'į' haadzíi'go ání ,
1:9:009:0	Shoo , shí lą́ą t'áá shí , nihí áádóó nihada'áłchíní náás da'ahílchíihii t'áá bił bohoníłdzilgo nihił ałha'dinisht'aah .
1:9:010:0	Áádóó hináanii nináneel'ą́ąjį' éí nidaat'a'ii áádóó alį́į́' índa nihokáá' naaldeehii t'áá ałtso éí tsinaa'eeł biyi'dę́ę́' bił ch'ííníkaígíí t'áá ałtso ałdó' bił ałha'dinisht'aah .
1:9:011:0	Áko bohoníłdzilgo nihił ałha'dideesht'ááł ; bits'íís dahólóonii t'áá ałtso éí doo tó bee ánáádooldįįł da ; doo nidi nahasdzáán bikáa'gi tó ánáábidoołdįįł da .
