1:2:001:0	Kót'éego yádiłhił áádóó nahasdzáán t'áá át'é ałtso ályaa .
1:2:002:0	Áádóó tsosts'id jį́ bich'į' hoolzhishgo Diyin God ałtso nijishnish , índa tsosts'id jį́ azlį́į'go ałtso nijishnishígíí bits'ą́ą́dóó háájoolyį́į́' .
1:2:003:0	Áádóó Diyin God éí tsosts'id jínígíí yik'ijisdli'go ats'áidiní'ą́ , háálá Diyin God ałtso nijishnishgo bits'ą́ą́dóó éí bijį́ háájoolyį́į́' .
1:2:004:0	Bóhólníihii Diyin God éí yádiłhił índa nahasdzáán áyiilaa bijį́į́dą́ą́' nahasdzáán índa yádiłhił bił niilyáii dahodideezlį́į́' .
1:2:005:0	Áko nahasdzáán bikáa'gi ch'il t'ah doo hadanisée da áádóó ch'il daadáanii t'ah doo hadanisée da , háálá Bóhólníihii Diyin God éí nahasdzáán bikáa'gi t'ah doo nahałtingo ííléeh da , índa diné dá'ák'eh yeinít'į́į dooleełígíí t'ah ádin ;
1:2:006:0	nidi nahasdzáán bits'ą́ą́dóó áhí hááshígishgo ni' t'áá át'é nít'éé' nínéíłtłoh .
1:2:001:1	Kéyah Ííden hoolyéedi dá'ák'eh
1:2:007:0	Áko Bóhólníihii Diyin God éí ni' bits'ą́ą́dóó łeezh yee diné áyiilaa áádóó biyol yee háníí' góne' bee iináanii yee ííyolgo diné hwii' sizíinii hinááh silį́į́' .
1:2:008:0	Áádóó Bóhólníihii Diyin God ha'a'aahjígo Ííden hoolyéedi dá'ák'ehgo áyiilaa , áko diné áyiilaaígíí ákwii niiníłtį́ .
1:2:009:0	Áádóó ni' bits'ą́ą́dóó áyiilaaígíí éí Bóhólníihii Diyin God éí tsin ał'ąą ádaat'éii yá'át'éehgo daníl'íinii índa yá'át'éehgo bąąhdóó da'adáanii hainííłt'ą́ . Éí dá'ák'ehgi iiná tsin ałdó' , índa tsin bineest'ą' bits'ą́ą́dóó yá'át'ééhjí áádóó doo yá'át'ééhjí bééhózin dooleełii hainíísą́ .
1:2:010:0	Áádóó tooh nílínígíí bee na'niyęęsh doo biniyé Ííden kéyahdóó dá'ák'ehgóó nílį́ , áádóó ch'ínílį́įgo dį́į́'góó ałts'ádaazlį́ .
1:2:011:0	Átséhí góne' tooh nílínígíí Páísan woosye' , éí kéyah Hávilah hoolyéhígíí t'áá át'é binázlį́ ; ákwe'é óola hólǫ́ .
1:2:012:0	Éí kéyah biyi' óola yá'át'ééh ; t'áá ákwe'é tsé bidéliyam índa ániks yolyéhígíí ałdó' hólǫ́ .
1:2:013:0	Naaki góne' tooh nílínígíí Gáíhan woosye' , éí kéyah Iithiyópiya hoolyéhígíí t'áá át'é binázlį́ .
1:2:014:0	Táá' góne' tooh nílínígíí Hídikel woosye' ; éí Asíriya bíighahgóó ha'a'aahjígo ch'ínílį́ . Dį́į́' góne' tooh nílínígíí Yufréítiiz woosye' .
1:2:015:0	Áko Bóhólníihii Diyin God éí Ííden kéyahdi dá'ák'ehgi diné bił jiní'áazhgo ákwii nizhníłtį́įgo dá'ák'eh yinaalnish áádóó yaa áhályą́ .
1:2:016:0	Áko Bóhólníihii Diyin God éí diné ádooníiłgi bee bá nihozhní'ą́ągo ájíní , Tsin naazkaadígíí bineest'ą' t'áá ałtso t'áá ni nínízingo niyą́ą doo ,
1:2:017:0	nidi tsin bineest'ą' bits'ą́ą́dóó yá'át'ééhjí índa doo yá'át'ééhjí bééhózin dooleełii ts'ídá doo dííyį́įł da , háálá bąąhdóó ííníyą́ą́' bijį́įdi t'áá aaníí dadíítsaał .
1:2:018:0	Áko Bóhólníihii Diyin God ánáádoo'niid , Diné t'áá sáhí naagháago doo bá yá'át'éeh da ; t'áá ákónéehee háká análwo' dooleełii há ádeeshłííł .
1:2:019:0	Áko Bóhólníihii Diyin God éí naaldeehii áádóó nidaat'a'ii t'áá ałtso ni' bits'ą́ą́dóó łeezh yee áyiilaa , áko haash yit'éego dabízhi' ádaazhdoolííł nízingo Ádam yaa yiizh'eezh , áko hináanii nináneel'ą́ąjį' t'áá bee dajíízhi'ígíí bízhi' daazlį́į́' .
1:2:020:0	Áádóó Ádam éí bízhi' ádajiilaii alį́į́' t'áá ałtso áádóó nidaat'a'ii índa nihokáá'góó naaldeehii t'áá ałtso bízhi' hólǫ́ǫgo ájiilaa , nidi Ádam t'áá ákónéehee háká análwo' dooleełii t'ah doo há álnéeh da .
1:2:021:0	Áko Bóhólníihii Diyin God éí Ádam yi'iiłhaazh , áko ajiiłhaazhgo hátsą́ą́' ła' hayíítą́ągo hatsį' ałch'į' ánáyiidlaa .
1:2:022:0	Áko Bóhólníihii Diyin God éí Ádam bítsą́ą́' hayíítánígíí yee asdzání áyiilaa , áádóó Ádam yich'į' yił ní'áázh .
1:2:023:0	Áko Ádam ádííniid , K'ad díí shits'inígíí bits'ą́ą́dóó ts'in áádóó shitsį'ígíí bits'ą́ą́dóó atsį' jílį́ , áko asdzání joolyée doo , háálá diné bits'ą́ą́dóó áho'diilyaa .
1:2:024:0	Éí bąą diné jílíinii hazhé'é índa hamá bits'ą́ą́' dashdidoogáałgo hwe'asdzą́ą́ t'éiyá bił jiináa doo , áko nizhdilt'é yę́ę ats'íís t'ááłá'í jileeh .
1:2:025:0	Áko Ádam índa hwe'asdzą́ą́ bił t'áá ájíłah t'áá jilchí'ígo niji'aash , ákondi doo baa yáznízin da .
