1:3:001:1	Diné doo ak'eh hóół'įįd da
1:3:001:0	Áko íídą́ą́' tł'iish agháago nítséékosii éí nihokáá'góó naaldeehii Bóhólníihii Diyin God ábiilaaígíí t'áá ałtso yiláahgo át'é . Áko asdzání áyidííniid , Da' t'áásh aaníí Diyin God kóní , Tsin t'áá ałtso dá'ák'ehgi naazkaadígíí t'áadoo bąąhdóó ohsání ?
1:3:002:0	Áádóó asdzání éí tł'iish áyidííniid , Tsin bineest'ą' yiidą́ biniyé dá'ák'ehgi naazkaadígíí nihaa deet'ą́ ,
1:3:003:0	nidi tsin bineest'ą' hólóonii dá'ák'eh ałníi'gi sikaadígíí éí Diyin God ánihiłní , Éí doo bąąhdóó adoohsį́įł da ; bidinoołchidgo éí dínóohnééł .
1:3:004:0	Áádóó tł'iish éí asdzání ánéidoo'niid , Doo t'áá aaníí dínóohnéeł da ,
1:3:005:0	háálá Diyin God bił bééhózin , éí bijį́ wooyą́ą'go jideezghaliigi ádoohnííł áádóó Diyin Godgi ánóht'ée doo ; yá'át'ééhjí índa doo yá'át'ééhjí nihił ééhodoozįįł .
1:3:006:0	Áádóó asdzání éí tsin bineest'ą' ch'iyáán yá'át'éehii át'éego áádóó bik'izhníghalgo hoł yá'íít'éehgo índa tsin la' t'áá hojíyą́ áhóle'ígi át'é dziniizį́į'go bineest'ą' ła' nizhdii'ą́ągo jííyą́ą́' , áádóó hahastiin ałdó' ła' baazhní'ą́ągo yiyííyą́ą́' .
1:3:007:0	Áko t'áá ájíłah jideezghaliigi ádziidzaago t'áá jilchí'ígo hoł bééhoozin , áko fig sikaadii bit'ąą' ahídazhdiiłkadgo bee átł'adziskał .
1:3:008:0	Áádóó honiik'aazgo dá'ák'ehgi Bóhólníihii Diyin God honíle'go biinéé' dzidiizts'ą́ą́' , áko Ádam hwe'asdzą́ą́ bił dá'ák'ehgi tsintahgi Bóhólníihii Diyin God bits'ąą nízdeest'į́į́' .
1:3:009:0	Áádóó Bóhólníihii Diyin God éí Ádam yíká ádííniidgo áyidííniid , Háadish naniná ?
1:3:010:0	Áko ázhdííniid , Dá'ák'ehgi niinéé' diséts'ą́ą'go nísísdzííd , háálá t'áá łinishchí'í ; éí bąą nídísht'į́į́' .
1:3:011:0	Áádóó Bóhólníihii ádííniid , Háísh , T'áá łiníchí'í , niłní ? Da' tsin doo bąąhdóó adííyį́įł da , nidishní yę́ęésh bąąhdóó ííníyą́ą́' ?
1:3:012:0	Áko diné ázhdííniid , Asdzání shéíníłtį́įgo bił naash'aashígíí éí sha'níłtsoodgo yíyą́ą́' .
1:3:013:0	Áádóó Bóhólníihii Diyin God éí asdzání áyidííniid , Díishą' ha'át'íí baa nisíníyá ? Áko asdzání ázhdííniid , Tł'iish shina'azlo'go bíniik'ehgo yíyą́ą́' .
1:3:014:0	Áádóó Bóhólníihii Diyin God éí tł'iish áyidííniid , Díí baa nisíníyáhígíí biniinaa alį́į́' t'áá ałtso biláahgo áádóó nihokáá'góó naaldeehii t'áá ałtso biláahgo hóyée'go ná ha'oodzíí' ; nibid bee nani'na' doo ; łeezh nildeełgo níyoołkáałgo hinínáa doo .
1:3:015:0	Áádóó ni índa asdzání bił ałk'ee diní'niihgo ádeeshłííł ; na'áłchíní índa éí ba'áłchíní yił ałk'ee dadi'niihgo ádeeshłííł ; éí nitsiits'iin yidoołjish ; ni éí bikétal dííłjish .
1:3:016:0	Asdzání ałdó' áyidííniid , Ts'ídá ayóó át'éego yínííł nide ánát'įįhgo i'niiłchíihgo ti'hoyíníihgo ádeeshłííł ; nił nahonigaahgo ni'iyíłchíih doo ; nahastiin bídin nílį́į doo , áádóó bí bóhoníłníih doo .
1:3:017:0	Áádóó Ádam ałdó' áyidííniid , Ne'asdzą́ą́ ánínígíí yísíníłts'ą́ą'go , Tsin doo bąąhdóó adííyį́įł da , nidishní yę́ę bąąhdóó ííníyą́ą́' ; éí bąą niniinaa ni' hóyée'go bá ha'oodzíí' ; nich' į' nahwii'náago nanilnishgo bits'ą́ą́dóó i'dílnahgo ni'dííłdįįł ;
1:3:018:0	ch'il dadeeníinii índa hosh ałdó' nich'į' hááhinoot'į́į́ł ; dá'ák'ehdóó nidanise'ii niyą́ą doo .
1:3:019:0	Łeezh nísínídlį́į'jį' nitásiil nahgóó ahíghaasgo nanilnishgo índa íyą́ą doo , háálá łeezh bits'ą́ą́dóó áni'diilyaago łeezh nílį́ , áko łeezh nídíídleeł .
1:3:020:0	Ádam éí hwe'asdzą́ą́ Íiv bee jíízhi' , háálá dajiináanii t'áá ádzíłtso hamá silį́į́' .
1:3:021:0	Áádóó Bóhólníihii Diyin God éí Ádam índa be'asdzą́ą́ ałdó' bá akágí éé' ájiilaa áádóó bee hazhdiilaa .
