1:23:001:1	Sárah daaztsą́ągo Éíbraham éí łeeh hwii'níłígíí yá nayiisnii'
1:23:001:0	Áko Sárah éí neeznádiindóó ba'aan naadiin tsosts'id binááhai ; kwíí nááhaijį' Sárah hináá nít'éé' .
1:23:002:0	Ákohgo Kírjath-árbagi t'áá ákwe'é Hííbran hoolyé ; Kéínan kéyah biyi'gi Sárah daaztsą́ , áko Éíbraham atínízhdindleehgo áá jiníyáago Sárah baa jííchah .
1:23:003:0	Áádóó Éíbraham bąąh daaztsáanii yits'ą́ą́' dah diiyá , áko Het ba'áłchíní yich'į' hahaasdzíi'go ádííniid ,
1:23:004:0	Shí dé'éyóní nishłį́ áádóó t'óó átsééd nihitah kééhasht'į́ ; łeeh ho'dii'níiłgi łahgo shaa hodinoh'aah , áko shąąh dadziztsánígíí áajį' yóó'áhodeeshłííł .
1:23:005:0	Áko Het ba'áłchíní Éíbraham yich'į' hadaasdzíi'go ádahodííniid ,
1:23:006:0	Shinanit'a'í , nihííníłts'ą́ą́' , ayóó át'é naat'áanii nihitahgi nílį́ . Nihitséní'ootséél aláahgo hózhónígi náhodii'aah ; ákwii nąąh daaztsánígíí łeeh dííłtééł ; nihí doo ła' bitséní'ootséél nits'ąą kódadiilníił da , índa nąąh daaztsánígíí ákwii yóó'ádíílííł .
1:23:007:0	Áko Éíbraham nízhdii'na'go éí kéyahgi kéédahat'ínígíí Het dine'é bich'į' yaa ádziidzaa .
1:23:008:0	Áádóó bił baa nídajit'į́įgo ájíní , Shąąh daaztsánígíí nii'ohjį' ádeeshłíłígíí nihił t'áá da'ákogo dashíínółts'ą́ą́' ; Zóhar biye' , Íífran shá ádabidohní ,
1:23:009:0	Makpííla hoolyéegi tséníhoodzánígíí éí Íífran bikéyah nihoneel'ánídi yóó'áda'alne' biniyé t'áá bą́ą́h ílínígo nihinááł sheididoo'ááł .
1:23:010:0	Áko Íífran éí Het ba'áłchíní yitahgi sidá ; nít'éé' Íífran , Het dine'é nilíinii bikin haal'áii bich'é'étiin góne' Het ba'áłchíní yah aheeskaígíí t'áá ałtso dabinááł Éíbraham áyidííniid ,
1:23:011:0	Dooda , shinanit'a'í shííníłts'ą́ą́' ; kéyahígíí áádóó biyi' tséníhoodzánígíí ałdó' t'óó naa dideesh'ááł ; shidine'é ba'áłchíní dabinááł naa dideesh'ááł , áko nąąh daaztsánígíí ákwii yóó'ádíílííł .
1:23:012:0	Áko Éíbraham éí kéyahgi kéédahat'ínígíí bich'į' yaa ádziidzaa .
1:23:013:0	Áádóó kéyahgi kéédahat'ínígíí t'áá ałtso dabinááł Íífran bich'į' hadzoodzíi'go ájíní , T'áá shǫǫdí shííníłts'ą́ą́' ; díí kéyah bik'é béeso nich'į' ni'deeshłéłígíí nídiinííł , índa ákwe'é shąąh daaztsáanii yóó'ádeeshłííł .
1:23:014:0	Íífran éí Éíbraham yich'į' haadzíi'go ání ,
1:23:015:0	Shinanit'a'í , shííníłts'ą́ą́' ; kéyahígíí dį́įdi neeznádiin shékel béésh łigaii bą́ą́h ílį́ ; éísh ha'át'éegoda baa nínáánéit'į́į doo ? Nílááh , nąąh daaztsáanii ákwii yóó'ádíílíí ł .
1:23:016:0	Áádóó Éíbraham éí Íífran haadzí'ígíí yidiizts'ą́ą'go Het ba'áłchíní dabinááł bee ha'oodzíi'ii íídą́ą́' béeso chodayooł'íinii bik'ehgo dį́įdi neeznádiin shékel béésh łigaii Íífran yá dah yidiyiilo' .
1:23:017:0	Áko Makpíílagi Mámre hoolyéhígíí bíighahgóó Íífran bikéyahígíí áádóó tsénihoodzánígíí índa éí kéyah nidanees'áníjį' tsin naazkaadii t'áá ałtso t'áá bił
1:23:018:0	Het dine'é áádóó kin haal'áii bich'é'étiin góne' yah aheeskaígíí t'áá ałtso dabinááł t'áá aaníí Éíbraham bíí' dooleeł biniyé baa deet'ą́ .
1:23:019:0	Áádóó bik'ijį' Mámre hoolyéédóó ha'a'aahjigo Makpííla kéyahgi tséníhoodzání góne' Éíbraham hwe'asdzą́ą́ yę́ę Sárah yóó'ájiilaa ; t'áá éí Kéínan kéyahgi Hííbran hoolyé .
1:23:020:0	Áko éí kéyah áádóó tséníhoodzánígíí Éíbraham bíí' dooleełgo tséní'ootséél dooleeł biniyé Het dine'é éí haa dahodeez'ą́ .
