1:20:001:1	Éíbraham áádóó Abímelek
1:20:001:0	Áádóó kéyah shádi'ááh bich'į'go Éíbraham jiníná , áko Kéídesh índa Shur bita'gi kééhojit'į́ , áádóó Gíírargi t' óó kónígháníjį' náájí'ná .
1:20:002:0	Áko Éíbraham hwe'asdzą́ą́ Sárah , Shideezhí át'é , jiníigo biniinaa Gíírar kin haal'áádóó aláahgo naat'áanii Abímelek wolyéii aníł'a'go Sárah yił anídaaskai .
1:20:003:0	Nidi Diyin God éí tł'ée'go biłee Abímelek yaa honíle'go áyidííniid , Jó , k'adę́ę yee' dantsaah ; díí asdzání bił néínít'ázhígíí bąą , háálá eii diné ła' be'asdzą́ą́ át'é .
1:20:004:0	Nidi Abímelek t'ah doo hodeelchíid da , áko ání , Bóhólníihii , da' dine'é t'áá ákogi ádaat'éiísh ałdó' nidííłtsił ?
1:20:005:0	Da' doósh , Shideezhí át'é , shizhdííniid da ? T'áá hó ałdó' , Shínaaí át'é , jidííniid . Doo shina'adlo'góó áádóó sha'át'e' ádingo íít'įįd .
1:20:006:0	Áko Diyin God biłee áhodííniid , T'áá aaníí doo nina'adlo'góó íínít'įįdígíí shił bééhózin ; shí ałdó' shich'į' bąąhági ádííníłígíí bits'ąą nííníshtą'go bąą bididíílchiłígíí t'áadoo bee na'di'ní'ą́ą da .
1:20:007:0	Éí bąą k'ad diné be'asdzą́ą́ baa náníłteeh , háálá Diyin God yá halne'ii nilį́ , áko ná sodidoolzįįłgo hinínáa doo . Doo baa néíníłtį́į́góó éí k'ad nił bééhodoozįįł , t'áá aaníí dadíítsaał , ni áádóó nik'éí t'áá ałtso dadínóohnééł .
1:20:008:0	Díí biniinaa Abímelek t'áá íiyisí abínídą́ą́' nízhdii'na'go há nidaal'a'í t'áá ałtso hágo bizhdííniidgo díí t'áá ałtso bee bił hojoolne' , áko diné t'áá íiyisí nídaasdzííd .
1:20:009:0	Áádóó Abímelek éí Éíbraham hágo yidííniidgo áyidííniid , Haashą' nihííníł'įįd ? Haashą' niishłaago shí áádóó shidine'é ałdó' ts'ídá doo yá'át'éehii biih nihíínínil ? Áshííníł'įįdígíí ts'ídá doo ádííníił da nít'éé' .
1:20:010:0	Áádóó Abímelek éí Éíbraham ánéidoo'niid , Ha'át'íísh nínízingo díí baa nisíníyá ?
1:20:011:0	Áádóó Éíbraham ázhdííniid , Diyin God k'ehgo dayíkáhígíí kwe'é ádin , sha'shin , áádóó she'asdzą́ą́ yiniinaa dashidiyoołhééł sha'shin niizį́į'go lá ásht'į́ ni .
1:20:012:0	Ákondi t'áá shideezhí át'é ni , shizhé'é bitsi' jílį́ , nidi shimá éí doo bich'é'é jílį́į da , áko she'asdzą́ą́ dzizlį́į́' .
1:20:013:0	Áko shizhé'é bighandóó hááyáago Diyin God éí tádíshnéehgo áshiilaago Sárah ábidííniid , Nibee ajooba' bee shaa jiiníba'go t'áá hidiit'aashgóó , Shínaa'í át'é , shidiníi doo .
1:20:014:0	Ákohgo Abímelek éí dibé áádóó béégashii índa diné nidaalte' áádóó asdzání nidaalte' díí t'áá ałtso Éíbraham yeinínil , áádóó Sárah hwe'asdzą́ą́ ałdó' haa néiníłtį́ .
1:20:015:0	Áádóó Abímelek ádííniid , Jó , kǫ́ǫ́ shikéyah , t'áá nił yá'áhoot'éhígi kééhót'į́į doo .
1:20:016:0	Sárah éí áyidííniid , Jó'akon , nínaaí t'ááłáhídi miil béeso baa nínil ; éí diné bił naahkaígíí índa diné náádaała' dabinááł t'áá ákogi ánít'é ni'doo'niidígíí bééhoozingo bee k'ééházdǫǫd .
1:20:017:0	Áko Éíbraham éí Diyin God yich'į' sodoolzin , áko Diyin God éí Abímelek néidiisá , hwe'asdzą́ą́ ałdó' , asdzání há nidaalte' ałdó' , áádóó ha'áłchíní nidahwiizlį́į́' .
1:20:018:0	Háálá Bóhólníihii éí Abímelek bighangi asdzání kéédahat'ínígíí t'áá ałtso Éíbraham be'asdzą́ą́ Sárah biniinaa doo da'ałchíígóó áyiilaa nít'éé' .
