1:24:001:1	Áízak be'asdzą́ą́ dooleełígíí bá nídiiltį́
1:24:001:0	Áko Éíbraham lą'í binááhai , t'áá hazhó'ó haastih , áko Bóhólníihii t'áá ałtsoní yee Éíbraham yik'ijidlí .
1:24:002:0	Áádóó Éíbraham haghangi há naal'a'í alą́ąjį'ígíí hwee hólóonii yaa áhályánígíí ábizhdííniid , T'áá shǫǫdí , shitsoosk'id biyaa adílnííh .
1:24:003:0	Áko Bóhólníihii biniiłt'aa éí Diyin God nilį́įgo yádiłhił índa nahasdzáán bee bóhólníihii bee shich'į' ádee hadidíídzih , Kéínan dine'é bitah kééhasht'ínígíí bitsi'ké shiye' be'asdzą́ą́ dooleeł biniyé doo ła' bá nídidííłtéeł da .
1:24:004:0	Nidi shikéyahgóó shik'éí bich'į' díínááł ; áadi índa shiye' Áízak be'asdzą́ą́ dooleełígíí bá nídidííłtééł .
1:24:005:0	Áko há naal'a'í áhodííniid , Díí kéyahjį' asdzání doo shikéé' bíni'góoshą' , áko kéyah yíníyáádę́ę́' ákǫ́ǫ́ daats'í niye' bił deesh'ash .
1:24:006:0	Áko Éíbraham áhodííniid , T'ááká ákǫ́ǫ́ shiye' bił dóó'ash lágo .
1:24:007:0	Bóhólníihii Diyin God yá'ąąshdi hólóonii , éí shizhé'é bighandę́ę́' índa shik'éí bikéyahdę́ę́' ch'íshiníł'a' , éí shich'į' ádee haadzíi'go ání , Na'áłchíní náás da'ahílchíihii díí kéyah baa dideesh'ááł ; t'áá éí bidiyingo naal'a'í nilą́ąjį' yidooł'aałgo áádę́ę́' shiye' be'asdzą́ą́ dooleełígíí bił nídíít'ash .
1:24:008:0	Áko asdzání doo nikéé' bíni' dago doo nihodiit'i'góó ch'ídíínááł , ákondi shiye' t'éiyá doo ákǫ́ǫ́ bił díí'ash da .
1:24:009:0	Áko naal'a'í éí Éíbraham hananit'a'í bitsoosk'id biyaa azhdoolnii'go díidí bee ádá nihozhdeet'ą́ .
1:24:010:0	Ákohgo naal'a'í honanit'a'í bibighą́ą́'ask'idii neeznáá bee dashdiiná , honanit'a'í binaalye'é danizhónígíí ał'ąą ádaat'eełii ła' bóóltą'go hasht'e'ízh'diilyaago Mesopotéímiyagóó Néíhor bikin haal'áajį' dashdiiná .
1:24:011:0	Áko éí kin haal'áádóó tł'óo'gi tó hahadleeh léi'gi i'íí'ą́ągo jiníyá ; ákwe'é haghą́ą́'ask'idii nitsidadéesgo'go ájiilaa ; ts'ídá áajį' anáhwiilzhíishgo asdzání tó háádayiidloh .
1:24:012:0	Áko sozdilzingo ájíní , Bóhólníihii nílíinii , shinanit'a'í Éíbraham biDiyin God nánooshkąąh ; díí jį́ shíká anilyeed ; Éíbraham shinanit'a'í baa jiiníbaah .
1:24:013:0	Jó , díí tó hahadleeh bíighahgóó sézį́ , índa diné dabitsi'ké kintahdę́ę́' tó hadeidiyoo'ááł yiniyé deíkááh ,
1:24:014:0	áko bíni' ákónééh ; éí ch'ikę́ę́h ábidideeshniił , T'áá shǫǫdí nitóshjeeh nani'aahgo adeeshdlį́į́ł , áko ádidooniił , Ídlą́ índa nighą́ą́'ask'idii ałdó' bá tó hahideesh'ááł , áko ííshją́ą́ éí dooleeł ; ninaal'a'í Áízak bá nídiniłtínígíí át'į́į doo , áko éí bee shił bééhodoozįįłgo shinanit'a'í baa jiisiníbaah doo .
1:24:015:0	Áádóó t'ah doo niyájíłtééhgóó ákódzaa , jó'akon , Éíbraham bitsilí Néíhor be'asdzą́ą́ Mílkah biyáázh Biithúwel bitsi' Rebékah éí tóshjeeh biwos dah si'ą́ągo ch'íníyá .
1:24:016:0	Áko ch'ikę́ę́h diné t'ah doo bee haleehii jílį́ , hodi'níl'į́įgo t'áá íiyisí jízhóní ; diné t'ah doo hwéédahoosįįh da . Éí tó hahadleeh góyaa ajííyáago tóshjeeh tó bii' hééł ájiilaago háádzísdzá .
1:24:017:0	Naal'a'í hadááh yílwodgo áhodííniid , T'áá shǫǫdí , tó áłch'į́į́dígo nitóshjeeh biyi'dę́ę́' ła' yishdlą́ .
1:24:018:0	Áko , Shinanit'a'í , ídlą́ , bizhdííniidgo t'áá áko hálák'eejį' hatóshjeeh yaa ájiilaago tó hazhníką́ .
1:24:019:0	Ajoodlą́ą́'dóó bik'ijį' áhodííniid , Nighą́ą́'ask'idii ałdó' ałtso da'oodlą́ą'jį' tó bá hahideesh'ááł .
1:24:020:0	Tsį́įłgo łį́į́' yii' da'adlání biyi'jį' tó yáájii'áahgo tó hahadleeh góyaa anáádzoodzáago bighą́ą́'ask'idii t'áá ałtso tó bá hadziiz'ą́ .
1:24:021:0	Áko diné t'óó nitsíkeesgo doo yáłti'góó biniyé níyáhígíí daats'í Bóhólníihii iiniizį́į́' , nízingo sizį́ .
1:24:022:0	Áádóó ákódzaago ghą́ą́'ask'idii ałtso da'oodlą́ą'go óola yoostsah índa óola látsíní naakigo da'ílíinii baazhnínil .
1:24:023:0	Áko ájíní , T'áá shǫǫdí shił hólne' , háishą' bitsi' nílį́ ? Nizhé'é bighandiísh t'áá nída'njah ? bizhdííniid .
1:24:024:0	Ch'ikę́ę́h ádííniid , Mílkah biyáázh éí Néíhor yá yishchínígíí Biithúwel bitsi' nishłį́ .
1:24:025:0	Áko ánáádoo'niid , Tł'oh naadą́ą́' bitsǫz índa łį́į́' bich'iyą' t'áá nihíneel'ą́ , áádóó dínóohjahgi t'áá haz'ą́ .
1:24:026:0	Áko diné yaa ádzaago Bóhólníihii yich'į' nahasáago
1:24:027:0	ádííniid , Shinanit'a'í Éíbraham biDiyin God baa ha'niih doo ; éí bibee aa a'ááh hasin áádóó bit'áá aaníinii t'áadoo yee shinanit'a'í yaa yooznah da . Atiindę́ę́' yisháałgo Bóhólníihii shilą́ąjį' hólǫ́ǫgo shinanit'a'í bik'isóó bighanjį' níyá .
1:24:028:0	Áádóó ch'ikę́ę́h dah diilwodgo bimá bik'éí díidí yee yił nahasne' .
1:24:029:0	Áko Rebékah bínaaí ła' hólǫ́ éí Léíban wolyé , áko Léíban tó hahadleehgóó diné bich'į' jílwod .
