1:33:001:1	Jéíkab áádóó Íísa ałch'į' k'énáhásłį́į́'
1:33:001:0	Áádóó Jéíkab hajííghalgo jidéé'į́į́' ; nít'éé' Íísa aadę́ę́' diné dį́įdi neeznádiin yił yinééł . Áko áłchíní ałts'ájíínilgo Líyah áádóó Réíchel ła' baazhnínil , índa asdzání naaki á naal'a'í ałdó' ła' baazhnínil .
1:33:002:0	Áko á naal'a'í índa bada'áłchíní alą́ąjį' nizhnínil , índa náá'ákéé' góne' Líyah áádóó ba'áłchíní nináájí'nil , áádóó Réíchel índa Jóseph éí ts'ídá akéédę́ę́' nizhnínil .
1:33:003:0	Áádóó éí oonéłígíí bíighah ch'ízhníyáago hánaaí baazhníyáajį' tsosts'idi ni'jį' yaa ádziidzaa .
1:33:004:0	Nidi Íísa hadááh yílwodgo hazénázhchid , áádóó hazts'ǫs , áko t'áá ájíłah jííchah .
1:33:005:0	Áádóó Íísa hajííghal , nít'éé' asdzání índa áłchíní yiyiiłtsą́ągo ání , Eiishą' bił yíkahígíí háí ádaat'į́ ? Áko ájíní , Ná naal'a'í ba'áłchíní éí Diyin God jooba'ii beinínilígíí ádaat'į́ .
1:33:006:0	Ákohgo asdzání nidaalte' bada'áłchíní yił áháníjį' hach'į' niikaigo yaa ádaadzaa ,
1:33:007:0	áádóó Líyah ba'áłchíní yił áháníjį' hach'į' niikaigo ałdó' yaa ánáádaadzaa , áádóó bik'ijį' Jóseph índa Réíchel áháníjį' niní'áazhgo yaa ánáánádzaa .
1:33:008:0	Áko Íísa ání , Ha'át'íishą' biniyé t'óó ahayóí shidááh da'niiskaad ? Áádóó ázhdííniid , Shinanit'a'í nílíinii , díí ajooba' bee shich'oha'néego shaa nitsíníkees doo biniyé danéelkaad .
1:33:009:0	Áko Íísa ánáádoo'niid , Shee hólónígíí t'áá ákódígo nisin , shitsilí ; éidíígíí bíni'dii t'áá ni dooleeł .
1:33:010:0	Áko Jéíkab ádííniid , Dooda , nánooshkąąh , k' ad ajooba' bee shich'oha'nínígíí nił hóshǫ́ǫ́ ládą́ą́' , naa diní'ánígíí ni doo biniyé nídiilé ; Diyin God binii' jiiłtsą́ nahalingo ninii' yiiłtsą́ , háálá shaa nił hózhǫ́ .
1:33:011:0	T'áá shǫǫdí nánooshkąąh , shibee ak'ihojidlíii naa diní'ánígíí nídiinííł , háálá éí Diyin God yee shaa joozba' ; shee hólónígíí t'áá ákódígo shił bíighah . Áádóó bee hozhniiltee'go índa nízhdiinil .
1:33:012:0	Áko Íísa ádííniid , Tį' nídidii'néełgo yii'neeł doo ; shí nihilą́ąjį' yisháał doo .
1:33:013:0	Áko ábizhdííniid , Shinanit'a'í bił bééhózin ; áłchíní doo dadijáad da , índa ayázhí dahólǫ́ǫgo bił yishnééł , áko ła'a jį́da tsį́įłgo dínéeskaadgoda ałtso dínóonééł .
1:33:014:0	Haa'íshą' , shinanit'a'í nílíinii , ná naal'a'í bilą́ąjį' náá'nééł , áko Síyerdi shinanit'a'í baa níyáajį' shilį́į́' índa sha'áłchíní t'áá bik'ehígo yii'néeł doo .
1:33:015:0	Áko Íísa ádííniid , Haa'íshą' diné bił naashkaígíí ła' nił ninish'nííł . Áko ájíní , Éíshą' ha'át'íí biniyé ? Shinanit'a'í nílíinii , háni'dii ajooba' t'éí bee shich'oha'néego shąąh tsídíkees .
1:33:016:0	Áko índa t'áá éí bijį́ Síyergóó Íísa dah nízhdii'ná .
1:33:017:0	Áko Sákath hoolyéejį' Jéíkab níná ; ákwe'é dahasbį' , índa bilį́į́' ałdó' yá chaha'oh ádayiilaa ; éí biniinaa ákwe'é Sákath hoosye' .
1:33:018:0	Áádóó Kéínan kéyahgi Shííkem kin haal'áajį' t'áadoo át'éhígóó Jéíkab jiníná ; Péídan-éíram hoolyéédę́ę́' níjoo'néełgo éí kin haal'áhígíí bíighahgi haníbaal nizhnínil .
1:33:019:0	Áko haníbaal nizh'nínil yę́ęgi kéyah ła' nidziis'nii' ; Shííkem bizhé'é Héímor wolyéii baa nidziis'nii' ; éí neeznádiin béeso bik'é nizhnínil .
1:33:020:0	Áko ákwe'é bikáá' náá'iiniihí ájiilaago El Élohi Ízrel hoolyée doo , jidííniid .
