1:39:001:1	Jóseph áádóó Pátifer be'asdzą́ą́
1:39:001:0	Áko Jóseph éí Ííjip kéyahdi hoł íldee' , áádóó Íshmeiyel dine'é hoł yíkaígíí bits'ą́ą́dóó Féro bisiláo binanit'a'í , Pátifer wolyéii nahwiisnii' .
1:39:002:0	Áko Jóseph éí Bóhólníihii bił hólǫ́ , áádóó diné bohónéedzáanii dzizlį́į́' , áko Ííjip diné honanit'a'í nilíinii bighan góne' kééhojit'į́į́ nít'éé' .
1:39:003:0	Áko honanit'a'í éí Bóhólníihii hoł hólǫ́ǫgo áádóó baa nijigháhígíí t'áá ałtso Bóhólníihii há náás áyoolíiłgo yiyiiłtsą́ .
1:39:004:0	Jóseph éí ajooba' bee bich'oha'néego bąąh tsízdeezkééz , áko há naal'a'go haghan índa hwee hólóonii t'áá ałtso yinant'áa doo biniyé bee bíhojoos'níí' .
1:39:005:0	Haghan índa jit'ínígíí t'áá ałtso yinant'áago ájiilaadóó wóshdę́ę́' Jóseph biniiłt'aa Bóhólníihii éí Ííjip diné bighan yik'ijisdli' , ákohgo bighan góne' hólóonii índa bidá'ák'ehdi hólóonii t'áá ałtso yee Bóhólníihii hak'ijisdli' .
1:39:006:0	Jit'ínígíí t'áá ałtso bee Jóseph bíhojoos'níí' , áko doo baa nitsídzíkees da ; t'áá hazhó'ó jidooyį́įłii t'éiyá . Jóseph éí diné bíiyisii nilį́ áádóó baa dzólní .
1:39:007:0	Ákódzaadóó bik'ijį' Jóseph hananit'a'í be'asdzą́ą́ hadánoos'níi'go áhodííniid , Shił níteesh .
1:39:008:0	Nidi doo íiznízingóó hananit'a'í be'asdzą́ą́ ábizhdííniid , Shoo , shinanit'a'í bighan góne' hólóonii baa áháshyáanii doo yaa nitsíkees da , áádóó bee hólóonii t'áá ałtso yee shíhoos'níí' .
1:39:009:0	Díí kin biyi' doo ła' shiláahgo ájít'éhí da , índa t'áadoo shąąh yi'íní da , t'áá hazhó'ó ni t'éiyá , háálá be'asdzą́ą́ nílį́ . Áko ha'át'éegoshą' díí ts'ídá doo yá'áshónígi ádeeshnííł , áádóó ałdó' Diyin God bich'į' ádił adeesih ?
1:39:010:0	Áko t'áá ákwíí jį́ hach'į' yáłti'go , Díníitish , doodaii' , Shił síníké , ch'ééh hałníigo doo dzíists'ą́ą' da .
1:39:011:0	Łah Jóseph náázhdeesh'nishgo wóne'é yah ajííyáago kindóó diné doo ła' ákóne' naagháa da .
1:39:012:0	Áko ha'éé' yąąh dah neeshjį́įdgo , Shił níteesh , hałní áádóó ha'éé' t'áá ákǫ́ǫ́ dah yoołtsosgo tł'óó'góó ch'íjílwod .
1:39:013:0	Ákódzaago ha'éé' t'áá ákǫ́ǫ́ dah yoołtsosgo t'óó honíł'į́įgo bits'ą́ą́' ch'íjílwodgo
1:39:014:0	t'áá áko bikindóó diné yich'į' hadoolghaazhgo ání , Shoo , Hííbrew diné t'óó bee ádílááh t'éiyá yiniyé yił nát'áázh lá . Shił dínóotish yiniyé shił yah ííyá , nidi yéego hadeeshghaazh .
1:39:015:0	Áko hadeeshghaazhgo yidiizts'ą́ą'go bi'éé' t'áá ákǫ́ǫgo dah diilwodgo ch'élwod .
1:39:016:0	Áko ha'éé' t'áá ákǫ́ǫ́ neiłtsoosgo hananit'a'í nádzá ,
1:39:017:0	áádóó t'áá éí saadígíí yee yił hoolne'go ání , Hííbrew naal'a'í kwe'é bił néínít'ázhígíí t'óó bee ádíláahgo shił yah ííyá .
1:39:018:0	Ákódzaago yéego hadeeshghaazhgo bi'éé' t'áá ákǫ́ǫgo ch'élwod .
1:39:019:0	Áádóó ákódzaago hananit'a'í be'asdzą́ą́ , Ninaal'a'í kóshiilaa , níigo yił hoolne' , áko yidiizts'ą́ą'go t'áá íiyisí yik'ee báhóóchįįd .
1:39:020:0	Áko Jóseph hananit'a'í hoł dah dii'áazhgo aláahgo naat'áanii bi'awáalyaaí shijé'é góne' yah ahóółt'e' ; ákwe'é awáalyaa dzizdá .
1:39:021:0	Nidi Bóhólníihii éí Jóseph yił hólǫ́ǫgo yaa a'áhí nízin , índa awáalyaaí yaa áhályáanii bił jílį́įgo áhoolaa .
1:39:022:0	Áko awáalyaaí yaa áhályáanii awáalyaa naazhjé'ígíí t'áá ałtso yee Jóseph yíhoos'níí' ; ákwii yaa naakaígíí t'áá ałtso hó hak'ehgo baa na'aldeeh nít'éé' .
1:39:023:0	Awáalyaaí yaa áhályáanii éí Jóseph bee hóhólníihii łá'í nidi doo yaa nitsíkees da , háálá Bóhólníihii hoł hólǫ́ , áádóó baa nijigháhígíí Bóhólníihii há náás kóyoolííł .
